x1,x2,x3,label
0.0346,0.4258,0.0572,0
0.5997,0.3245,0.0992,0
0.5353,0.3116,0.7391,0
0.2294,0.2137,0.6386,0
0.0538,0.5762,0.3779,0
0.1003,0.1887,0.8034,0
0.4659,0.4863,0.2469,1
0.4528,0.8879,0.7685,1
0.8573,0.8599,0.3888,1
0.2884,0.5093,0.6157,0
0.1092,0.0651,0.6265,0
0.5087,0.2696,0.7572,0
0.4625,0.2405,0.838,0
0.5394,0.3373,0.6724,0
0.6627,0.1991,0.4481,0
0.43,0.0968,0.4933,0
0.3282,0.4229,0.1134,0
0.0948,0.16,0.8275,0
0.4715,0.9611,0.5396,1
0.941,0.3495,0.0008,1
0.1231,0.1224,0.9299,0
0.4546,0.6272,0.3792,1
0.0163,0.7123,0.744,0
0.7744,0.9822,0.6272,1
0.3342,0.7287,0.755,1
0.2693,0.0277,0.9786,0
0.2833,0.8328,0.6656,1
0.664,0.8978,0.1636,1
0.0039,0.5215,0.1815,0
0.2254,0.1462,0.0068,0
0.1748,0.5007,0.3947,0
0.3614,0.5958,0.2648,1
0.0926,0.9651,0.4949,1
0.9555,0.725,0.8189,1
0.0895,0.8783,0.1128,1
0.3528,0.683,0.026,1
0.0992,0.0145,0.9182,0
0.5655,0.9909,0.6691,1
0.6259,0.633,0.6349,1
0.789,0.2093,0.1879,1
0.3338,0.5829,0.6621,0
0.5498,0.7859,0.3626,1
0.3715,0.5328,0.8231,0
0.1542,0.3173,0.7357,0
0.5776,0.0237,0.2035,0
0.1467,0.9457,0.076,1
0.0925,0.1685,0.642,0
0.2404,0.8746,0.6051,1
0.4203,0.5896,0.8708,1
0.8732,0.0195,0.8602,0
0.3973,0.9095,0.4112,1
0.5079,0.5003,0.2342,1
0.3394,0.2524,0.3788,0
0.9437,0.2895,0.2211,1
0.8082,0.841,0.9664,1
0.7524,0.5312,0.8226,1
0.0626,0.3965,0.0854,0
0.0448,0.4631,0.138,0
0.6924,0.312,0.1059,1
0.5175,0.9217,0.795,1
0.3133,0.3219,0.0239,0
0.6775,0.2811,0.1573,1
0.0944,0.9409,0.4072,1
0.8655,0.5172,0.9588,1
0.1728,0.7685,0.8524,0
0.1963,0.9169,0.876,1
0.1278,0.9123,0.6193,1
0.5973,0.1248,0.5295,0
0.1024,0.4392,0.3317,0
0.2872,0.4042,0.3944,0
0.7082,0.1801,0.6704,0
0.3631,0.6963,0.3873,1
0.3308,0.4303,0.6248,0
0.0106,0.979,0.1878,1
0.5195,0.8341,0.3063,1
0.9466,0.4384,0.2552,1
0.323,0.7843,0.9069,1
0.7522,0.0361,0.1703,0
0.6784,0.4671,0.2385,1
0.9312,0.2324,0.9946,1
