x1,x2,x3,label
0.2187,0.9593,0.4731,1
0.591,0.6727,0.5968,1
0.8515,0.5691,0.1453,1
0.9462,0.3966,0.7201,1
0.6927,0.2839,0.2289,1
0.7108,0.1936,0.1874,0
0.5541,0.4536,0.1492,1
0.5483,0.8593,0.6156,1
0.0873,0.2081,0.0931,0
0.8018,0.9216,0.414,1
0.3615,0.1753,0.8969,0
0.0168,0.946,0.4293,1
0.9938,0.1908,0.814,1
0.024,0.8527,0.5471,0
0.7828,0.9375,0.3314,1
0.2453,0.5402,0.318,0
0.9865,0.1875,0.5415,1
0.7321,0.3463,0.8871,1
0.006,0.1242,0.6772,0
0.836,0.9524,0.3016,1
0.7495,0.7177,0.9254,1
0.7247,0.6657,0.711,1
0.0008,0.365,0.5334,0
0.0144,0.1968,0.9968,0
0.7877,0.9564,0.0872,1
0.7766,0.9234,0.0784,1
0.405,0.8638,0.2859,1
0.9789,0.285,0.2157,1
0.6899,0.2663,0.6436,1
0.6132,0.6536,0.2659,1
0.9316,0.344,0.6227,1
0.4964,0.5452,0.8584,1
0.7112,0.1803,0.7582,0
0.2821,0.9447,0.7226,1
0.0881,0.4612,0.4799,0
0.5244,0.2101,0.7147,0
0.1067,0.9873,0.4169,1
0.0716,0.2184,0.7138,0
0.9106,0.768,0.8231,1
0.9117,0.9383,0.6815,1
0.2013,0.5159,0.0728,0
0.8421,0.311,0.8106,1
0.308,0.3105,0.0896,0
0.5954,0.5985,0.5238,1
0.6721,0.8376,0.7624,1
0.5691,0.968,0.4364,1
0.3507,0.1786,0.5334,0
0.2698,0.7946,0.1125,1
0.8166,0.0499,0.0705,0
0.2302,0.3299,0.7675,0
0.5334,0.6589,0.0707,1
0.0913,0.8098,0.5326,0
0.9802,0.1182,0.5622,1
0.5927,0.1282,0.6974,0
0.0064,0.8694,0.7638,0
0.8199,0.0468,0.3446,0
0.5529,0.7738,0.3711,1
0.6491,0.7157,0.709,1
0.449,0.1056,0.5105,0
0.1884,0.2445,0.4625,0
0.5543,0.5224,0.9975,1
0.6947,0.6682,0.9357,1
0.1685,0.2896,0.2185,0
0.2718,0.2721,0.8653,0
0.8925,0.4266,0.8916,1
0.3931,0.5908,0.4768,1
0.5269,0.8556,0.3483,1
0.5799,0.1066,0.9469,0
0.6898,0.4879,0.7532,1
0.4763,0.965,0.8628,1
0.1284,0.7804,0.7833,0
0.7028,0.3086,0.1149,1
0.3023,0.656,0.3498,1
0.7011,0.5537,0.5037,1
0.4797,0.7087,0.9476,1
0.4313,0.6777,0.4043,1
0.9355,0.3002,0.4485,1
0.8223,0.3103,0.2986,1
0.7356,0.4521,0.1748,1
0.3384,0.8962,0.3025,1
