x1,x2,x3,label
0.6877,0.1897,0.7651,0
0.1378,0.2502,0.758,0
0.059,0.4803,0.5029,0
0.4111,0.1017,0.496,0
0.9422,0.1604,0.1566,1
0.7207,0.7335,0.9735,1
0.63,0.2387,0.0472,0
0.2196,0.3096,0.5743,0
0.9213,0.9985,0.1026,1
0.9208,0.4659,0.5808,1
0.4952,0.5638,0.7573,1
0.1012,0.4405,0.9145,0
0.4104,0.0649,0.7092,0
0.9571,0.694,0.0255,1
0.4458,0.1643,0.4985,0
0.1212,0.7747,0.562,0
0.2852,0.6933,0.9376,0
0.9962,0.8662,0.7059,1
0.531,0.3748,0.7655,0
0.3432,0.9575,0.6074,1
0.5538,0.8693,0.8203,1
0.4008,0.7881,0.5542,1
0.0027,0.648,0.1209,0
0.4757,0.1666,0.0272,0
0.1075,0.156,0.8429,0
0.2008,0.0109,0.3546,0
0.8742,0.5964,0.8526,1
0.9991,0.2113,0.9629,1
0.5818,0.6857,0.6692,1
0.8412,0.1913,0.5659,1
0.3581,0.5624,0.4024,0
0.5199,0.454,0.0798,0
0.35,0.0299,0.1356,0
0.6868,0.0044,0.53,0
0.1355,0.8182,0.5082,0
0.3523,0.4041,0.4448,0
0.1807,0.952,0.0891,0
0.7471,0.4958,0.207,1
0.1554,0.3012,0.3491,0
0.4279,0.4628,0.0579,0
0.672,0.5023,0.3707,0
0.7791,0.1742,0.8245,1
0.0174,0.7657,0.1318,0
0.735,0.5452,0.4879,1
0.7853,0.0117,0.6714,0
0.1725,0.8037,0.6953,0
0.7924,0.1548,0.4479,0
0.2225,0.2811,0.8555,0
0.5874,0.2293,0.83,1
0.0071,0.1789,0.5947,0
0.0568,0.2191,0.1757,0
0.3497,0.1784,0.9821,0
0.8432,0.0033,0.8185,1
0.3482,0.8538,0.1788,0
0.7152,0.6072,0.1744,1
0.5534,0.2261,0.3166,0
0.5685,0.9382,0.1486,1
0.655,0.8109,0.9472,1
0.5367,0.1795,0.0478,0
0.972,0.8018,0.4709,1
0.499,0.4592,0.4458,0
0.6369,0.2199,0.1769,0
0.256,0.6574,0.6953,0
0.5071,0.7969,0.4837,1
0.735,0.9386,0.1493,1
0.6359,0.2171,0.4542,0
0.1553,0.8217,0.6916,0
0.1905,0.2917,0.6928,0
0.4892,0.816,0.3244,1
0.8094,0.7374,0.7706,1
0.622,0.1131,0.3026,0
0.434,0.7724,0.5874,1
0.7904,0.4006,0.0698,0
0.0376,0.9555,0.936,1
0.0287,0.0722,0.4155,0
0.7465,0.0184,0.9463,1
0.9836,0.2968,0.1002,1
0.9262,0.214,0.3534,1
0.7594,0.3676,0.4129,1
0.1276,0.6968,0.2309,0
0.8043,0.0744,0.9149,1
0.0682,0.7523,0.4253,0
0.4067,0.2485,0.7439,0
0.1214,0.7093,0.5594,0
0.7647,0.0233,0.6163,1
0.9775,0.5092,0.891,1
0.4215,0.7536,0.2438,0
0.5609,0.9159,0.4465,1
0.9552,0.0372,0.8455,1
0.0191,0.8757,0.8656,0
0.7976,0.5705,0.6225,1
0.8343,0.8875,0.9113,1
0.471,0.3838,0.3124,0
0.6626,0.5902,0.7116,1
0.4423,0.7234,0.4549,0
0.8314,0.673,0.3227,1
0.8648,0.31,0.3412,1
0.52,0.0397,0.8181,0
0.0886,0.2573,0.3316,0
