time,value
1,96.29
2,104.97
3,94.66
4,112.34
5,102.96
6,106.7
7,126.36
8,119.89
9,107.04
10,123.35
11,112.54
12,112.88
13,127.56
14,130.77
15,123.28
16,128.25
17,121.1
18,130.57
19,148.0
20,144.47
21,152.71
22,133.55
23,140.51
24,139.68
25,146.44
26,151.38
27,148.53
28,153.13
29,156.52
30,162.99
31,152.3
32,150.04
33,156.67
34,164.76
35,166.98
36,151.13
37,166.82
38,174.91
39,196.38
40,175.13
41,166.02
42,170.6
43,171.15
44,162.95
45,178.59
46,182.6
47,190.45
48,186.11
49,204.72
50,186.7
51,175.04
52,184.91
53,203.25
54,199.18
55,208.02
56,200.92
57,211.13
58,201.63
59,206.85
60,214.79
