x1,x2,x3,label
0.5007,0.2556,0.0969,0
0.9142,0.5524,0.686,1
0.0261,0.0903,0.1486,0
0.732,0.9001,0.9023,1
0.5225,0.0911,0.8484,0
0.2992,0.8906,0.1021,1
0.4808,0.1615,0.8282,0
0.1811,0.8723,0.2762,1
0.9409,0.9067,0.1003,1
0.7234,0.2968,0.676,1
0.641,0.8064,0.2776,1
0.8082,0.6497,0.2479,1
0.7509,0.0852,0.9902,0
0.5816,0.1592,0.2699,0
0.3422,0.1763,0.9033,0
0.1887,0.2205,0.8451,0
0.5579,0.565,0.473,1
0.9904,0.2564,0.7026,1
0.744,0.6698,0.4121,1
0.7549,0.8147,0.5305,1
0.0811,0.3688,0.6869,0
0.2931,0.6268,0.3052,0
0.3308,0.9781,0.2123,1
0.3244,0.8798,0.4643,1
0.9999,0.663,0.0586,1
0.5901,0.0291,0.7936,0
0.2445,0.0158,0.4586,0
0.5194,0.0943,0.9379,0
0.4981,0.4451,0.8246,0
0.2794,0.5518,0.2349,0
0.383,0.365,0.5327,0
0.1999,0.5164,0.6433,0
0.6967,0.3024,0.2148,1
0.8035,0.2006,0.8637,1
0.6508,0.7195,0.3938,1
0.1262,0.3611,0.5012,0
0.347,0.2562,0.7763,0
0.8192,0.2343,0.1665,1
0.2014,0.2837,0.1767,0
0.763,0.3706,0.345,1
0.4621,0.0501,0.0768,0
0.7048,0.4231,0.7027,1
0.4659,0.8604,0.7102,1
0.1799,0.2586,0.1001,0
0.4276,0.9435,0.0411,1
0.3014,0.5967,0.7771,0
0.8522,0.5443,0.4115,1
0.4221,0.463,0.7498,0
0.3041,0.6964,0.941,1
0.5265,0.0262,0.4923,0
0.1418,0.3727,0.5375,0
0.5942,0.4337,0.643,1
0.1161,0.873,0.0911,1
0.0967,0.4577,0.426,0
0.0393,0.5133,0.8027,0
0.977,0.0889,0.0994,1
0.0709,0.7676,0.4537,0
0.2168,0.7328,0.7985,0
0.0658,0.459,0.2776,0
0.8404,0.817,0.1288,1
0.0926,0.2879,0.1786,0
0.6304,0.9186,0.6073,1
0.8617,0.018,0.893,0
0.7956,0.1085,0.1133,0
0.4955,0.6688,0.0414,1
0.5629,0.7825,0.7128,1
0.5885,0.1956,0.9662,0
0.8058,0.9842,0.5882,1
0.7051,0.2234,0.7467,0
0.8231,0.9997,0.3816,1
0.6431,0.5848,0.3838,1
0.3184,0.3699,0.1149,0
0.5915,0.6552,0.3194,1
0.7268,0.006,0.693,0
0.3607,0.7838,0.5738,1
0.2958,0.1445,0.3039,0
0.3463,0.4945,0.4901,0
0.4916,0.1596,0.7326,0
0.941,0.8973,0.5906,1
0.3774,0.3679,0.0229,0
