x1,x2,x3,label
0.6012,0.1956,0.5331,0
0.0138,0.2275,0.8421,0
0.8711,0.088,0.1834,1
0.9704,0.5006,0.416,1
0.6707,0.2122,0.6902,0
0.5314,0.337,0.3105,0
0.1861,0.6351,0.7606,0
0.38,0.6196,0.7406,1
0.1602,0.4428,0.2033,0
0.0863,0.4443,0.2247,0
0.7425,0.2687,0.4029,1
0.2661,0.1736,0.2267,0
0.4022,0.9775,0.1439,1
0.3938,0.5865,0.044,1
0.4386,0.233,0.9668,0
0.4722,0.1513,0.8887,0
0.0403,0.2544,0.9218,0
0.6537,0.2132,0.3146,0
0.5539,0.3124,0.8144,0
0.9073,0.4263,0.5674,1
0.6124,0.937,0.5446,1
0.5585,0.1325,0.0073,0
0.2201,0.3707,0.7627,0
0.5401,0.8606,0.8063,1
0.486,0.2615,0.9847,0
0.0726,0.8439,0.4212,0
0.9928,0.1444,0.6104,1
0.3824,0.4616,0.2816,0
0.2729,0.8189,0.3326,1
0.7967,0.9609,0.709,1
0.5525,0.4606,0.9221,1
0.1995,0.9364,0.0957,1
0.5231,0.9751,0.0997,1
0.9192,0.5505,0.4232,1
0.1927,0.9177,0.1048,1
0.0835,0.8719,0.4489,1
0.0326,0.36,0.7422,0
0.7773,0.7874,0.1967,1
0.3468,0.7812,0.2047,1
0.8298,0.0535,0.5422,0
0.2402,0.6012,0.1462,0
0.5696,0.0701,0.0004,0
0.8633,0.604,0.6853,1
0.735,0.8416,0.8096,1
0.5195,0.6837,0.0464,1
0.7325,0.572,0.3269,1
0.8717,0.7539,0.9136,1
0.0734,0.9673,0.6087,1
0.303,0.9893,0.5678,1
0.6302,0.9414,0.6456,1
0.6036,0.6826,0.4084,1
0.0843,0.0565,0.557,0
0.1145,0.4573,0.115,0
0.3454,0.5071,0.2115,0
0.449,0.7001,0.639,1
0.9385,0.2844,0.126,1
0.0084,0.0597,0.139,0
0.9983,0.4379,0.6826,1
0.2011,0.4916,0.6542,0
0.2028,0.3011,0.9572,0
0.3424,0.6796,0.981,1
0.1615,0.8255,0.5778,1
0.7978,0.9561,0.6352,1
0.3076,0.7685,0.6241,1
0.5259,0.2955,0.7125,0
0.7371,0.9049,0.0559,1
0.4586,0.3969,0.2673,0
0.7554,0.3144,0.1031,1
0.7796,0.5417,0.5679,1
0.7354,0.8315,0.0487,1
0.1566,0.7991,0.3559,1
0.4037,0.6956,0.9092,1
0.9724,0.1697,0.2261,1
0.3281,0.9899,0.9739,1
0.5013,0.4311,0.8902,0
0.6064,0.6995,0.5409,1
0.5461,0.4509,0.8535,1
0.3219,0.1692,0.9664,0
0.1359,0.0693,0.1717,0
0.883,0.2806,0.4792,1
