x1,x2,x3,label
0.0797,0.4462,0.9217,0
0.0436,0.5459,0.7886,0
0.8615,0.7624,0.8706,1
0.4056,0.7325,0.3771,0
0.1814,0.3348,0.7926,0
0.0342,0.3723,0.1201,0
0.2157,0.4513,0.401,0
0.3144,0.171,0.0059,0
0.6136,0.2637,0.9801,1
0.8942,0.6727,0.5726,1
0.4473,0.3374,0.8347,0
0.9162,0.6036,0.612,1
0.915,0.3242,0.5771,1
0.0845,0.9007,0.1679,0
0.9992,0.248,0.559,1
0.6161,0.0622,0.8664,0
0.2612,0.0568,0.4382,0
0.819,0.1608,0.1875,0
0.3868,0.3421,0.6697,0
0.1218,0.219,0.514,0
0.8824,0.5435,0.5995,1
0.9755,0.2902,0.6635,1
0.9286,0.2712,0.3144,1
0.99,0.1154,0.1141,1
0.8227,0.331,0.217,1
0.8908,0.7032,0.5522,1
0.7467,0.453,0.414,1
0.6752,0.0227,0.5324,0
0.0864,0.0111,0.7841,0
0.3547,0.5538,0.1148,0
0.0409,0.9094,0.6259,0
0.6386,0.1727,0.1923,0
0.4002,0.7482,0.0051,0
0.2076,0.757,0.4414,0
0.4191,0.7307,0.8629,1
0.1682,0.8294,0.468,0
0.012,0.069,0.948,0
0.2082,0.9257,0.3319,0
0.0861,0.9544,0.0829,0
0.5279,0.334,0.4594,0
0.5555,0.9079,0.2687,1
0.3476,0.0613,0.0667,0
0.2017,0.2873,0.7569,0
0.2918,0.5209,0.6478,0
0.8245,0.3401,0.4305,1
0.6242,0.0696,0.9782,1
0.5962,0.2894,0.9895,1
0.7882,0.2818,0.509,1
0.6229,0.4845,0.0871,0
0.4726,0.2416,0.1078,0
0.5108,0.7223,0.0871,0
0.8279,0.5431,0.0837,1
0.7171,0.5926,0.2087,1
0.6967,0.4944,0.085,0
0.6303,0.3514,0.4863,1
0.4748,0.9781,0.2812,1
0.9285,0.2672,0.7861,1
0.4905,0.385,0.9946,1
0.5271,0.4368,0.385,0
0.4633,0.6362,0.039,0
0.65,0.3253,0.0841,0
0.4009,0.4265,0.0575,0
0.5135,0.145,0.9535,0
0.1204,0.6317,0.9491,0
0.6746,0.5365,0.7952,1
0.3144,0.0141,0.5974,0
0.9006,0.299,0.0584,1
0.8148,0.9769,0.3874,1
0.5029,0.4679,0.4135,0
0.1807,0.1657,0.5268,0
0.4523,0.6404,0.7061,1
0.172,0.6414,0.5968,0
0.1226,0.8205,0.8642,0
0.1471,0.4114,0.6113,0
0.1899,0.8272,0.6622,0
0.9251,0.6972,0.8922,1
0.292,0.1642,0.9605,0
0.1597,0.4817,0.343,0
0.0678,0.2621,0.3119,0
0.4503,0.2345,0.1048,0
0.569,0.2717,0.0095,0
0.0105,0.9368,0.0248,0
0.0284,0.8059,0.4673,0
0.1193,0.7424,0.8541,0
