x1,x2,x3,label
0.9792,0.9504,0.4544,1
0.7854,0.8906,0.476,1
0.608,0.4519,0.7677,1
0.647,0.0195,0.8581,0
0.6294,0.1894,0.3368,0
0.863,0.5681,0.1211,1
0.704,0.6152,0.86,1
0.6188,0.8633,0.3716,1
0.9936,0.3484,0.134,1
0.3083,0.0021,0.4318,0
0.21,0.5552,0.203,0
0.4134,0.7257,0.4257,1
0.6525,0.3536,0.5924,1
0.8353,0.328,0.1375,1
0.3061,0.0992,0.2133,0
0.7475,0.7287,0.1062,1
0.937,0.8634,0.8643,1
0.8145,0.3219,0.2461,1
0.9554,0.3697,0.2,1
0.1671,0.7818,0.3118,0
0.6038,0.3785,0.112,1
0.3418,0.5198,0.2418,0
0.543,0.6812,0.8283,1
0.7648,0.0467,0.6936,0
0.9675,0.1385,0.3118,1
0.0399,0.3294,0.3364,0
0.4452,0.3156,0.8872,0
0.7102,0.5632,0.6852,1
0.7757,0.8885,0.5265,1
0.3282,0.4718,0.8911,0
0.5367,0.436,0.0421,1
0.8771,0.5981,0.4532,1
0.2626,0.7721,0.7098,1
0.5945,0.682,0.4115,1
0.8566,0.7102,0.2988,1
0.4883,0.0812,0.9204,0
0.0105,0.5301,0.9623,0
0.6933,0.5397,0.7261,1
0.2091,0.519,0.6195,0
0.9187,0.2092,0.5337,1
0.6828,0.9022,0.8371,1
0.3102,0.066,0.8018,0
0.3949,0.8328,0.6507,1
0.8879,0.651,0.0323,1
0.1853,0.5566,0.4287,0
0.6045,0.0332,0.06,0
0.1748,0.2293,0.6514,0
0.894,0.2822,0.3841,1
0.6373,0.651,0.8811,1
0.1664,0.9083,0.5692,1
0.2491,0.5786,0.1743,0
0.8812,0.457,0.7587,1
0.3951,0.6407,0.7344,1
0.8793,0.4264,0.0517,1
0.4389,0.041,0.115,0
0.2953,0.7226,0.0577,1
0.6739,0.9044,0.3167,1
0.8455,0.4287,0.459,1
0.6272,0.9296,0.6583,1
0.2889,0.0153,0.8628,0
0.4801,0.9363,0.2227,1
0.0264,0.8823,0.8781,0
0.999,0.0561,0.4355,1
0.5308,0.2235,0.2444,0
0.7017,0.4941,0.0589,1
0.8518,0.8583,0.2774,1
0.0915,0.6295,0.976,0
0.9685,0.9703,0.096,1
0.3509,0.5526,0.9609,0
0.636,0.7214,0.9412,1
0.7552,0.4332,0.6649,1
0.6181,0.3461,0.7448,1
0.0037,0.5659,0.8353,0
0.2462,0.785,0.0871,1
0.3452,0.5153,0.5299,0
0.0448,0.6233,0.6093,0
0.5651,0.2839,0.3875,0
0.5312,0.524,0.7397,1
0.4718,0.8392,0.7322,1
0.0321,0.3483,0.5416,0
