x1,x2,x3,label
0.2307,0.4828,0.0332,0
0.3256,0.2536,0.0495,0
0.3414,0.8158,0.028,1
0.4252,0.2658,0.0123,0
0.6475,0.1257,0.6411,0
0.4491,0.7251,0.1101,1
0.0442,0.939,0.578,1
0.3504,0.0185,0.2165,0
0.662,0.0296,0.6857,0
0.5755,0.232,0.1013,0
0.553,0.2673,0.7177,0
0.3296,0.4734,0.9996,0
0.8089,0.1503,0.1387,1
0.4469,0.1627,0.3904,0
0.8264,0.6955,0.5318,1
0.4452,0.6983,0.7282,1
0.7467,0.3646,0.2355,1
0.2067,0.5988,0.4558,0
0.4165,0.2259,0.4717,0
0.6869,0.5684,0.2873,1
0.5169,0.6912,0.5223,1
0.642,0.2419,0.6134,0
0.9404,0.1199,0.9257,1
0.01,0.278,0.6243,0
0.213,0.0067,0.7878,0
0.3868,0.2714,0.2714,0
0.3912,0.7977,0.194,1
0.6702,0.0761,0.7225,0
0.3239,0.2401,0.6573,0
0.6887,0.1604,0.7787,0
0.6385,0.6662,0.7894,1
0.8527,0.1806,0.2249,1
0.8689,0.9161,0.653,1
0.565,0.2061,0.579,0
0.9586,0.86,0.1017,1
0.7828,0.5562,0.2534,1
0.9976,0.2828,0.1358,1
0.8472,0.6084,0.9584,1
0.4984,0.7895,0.166,1
0.8365,0.5374,0.6513,1
0.8092,0.246,0.8019,1
0.8513,0.5002,0.5703,1
0.2614,0.6191,0.3436,0
0.5214,0.5855,0.3747,1
0.4758,0.3794,0.941,0
0.3723,0.1584,0.4274,0
0.9754,0.125,0.3965,1
0.4246,0.0429,0.5653,0
0.59,0.9834,0.0146,1
0.3587,0.368,0.311,0
0.7581,0.0947,0.6908,0
0.8286,0.5698,0.4464,1
0.8088,0.869,0.3078,1
0.5967,0.305,0.454,0
0.7952,0.1676,0.6523,1
0.3399,0.2954,0.461,0
0.5736,0.0368,0.7008,0
0.7213,0.1411,0.7875,0
0.6723,0.8604,0.9491,1
0.9166,0.5406,0.9995,1
0.4522,0.2561,0.9002,0
0.3265,0.0393,0.5913,0
0.6146,0.8748,0.3657,1
0.4182,0.487,0.7649,0
0.7124,0.6039,0.9984,1
0.659,0.7581,0.7614,1
0.1903,0.9065,0.7883,1
0.5183,0.8724,0.6868,1
0.5726,0.157,0.2205,0
0.0621,0.6928,0.5271,0
0.9882,0.2416,0.6189,1
0.1056,0.0778,0.1821,0
0.9274,0.6959,0.9028,1
0.7697,0.9161,0.1403,1
0.4934,0.3297,0.3573,0
0.0628,0.7661,0.0009,0
0.0169,0.9931,0.1618,1
0.1532,0.1434,0.1777,0
0.6628,0.0443,0.2346,0
0.255,0.6062,0.7207,0
