x1,x2,x3,label
0.7293,0.894,0.2009,1
0.8249,0.8154,0.9392,1
0.4585,0.5245,0.279,0
0.4771,0.1823,0.7712,0
0.8816,0.4184,0.9359,1
0.5141,0.4599,0.2844,0
0.6246,0.8722,0.4728,1
0.6432,0.0482,0.0654,0
0.3607,0.7096,0.6997,0
0.4146,0.8104,0.9915,1
0.0842,0.888,0.186,0
0.5981,0.3169,0.1487,0
0.7092,0.5118,0.2418,1
0.5359,0.5042,0.2041,0
0.3615,0.9348,0.2291,0
0.0422,0.5089,0.6666,0
0.9506,0.8562,0.0424,1
0.3647,0.6963,0.4845,0
0.4408,0.6093,0.2484,0
0.8725,0.566,0.3314,1
0.2419,0.1868,0.1944,0
0.9147,0.0385,0.3696,1
0.3525,0.5574,0.4006,0
0.5444,0.8817,0.9149,1
0.1406,0.2269,0.5899,0
0.775,0.1155,0.7339,1
0.0833,0.9632,0.1485,0
0.3945,0.5769,0.7382,0
0.8246,0.8642,0.8924,1
0.9211,0.5145,0.1913,1
0.1434,0.1767,0.7777,0
0.6483,0.2605,0.8394,0
0.1675,0.4979,0.0671,0
0.6745,0.4061,0.3829,1
0.4956,0.0409,0.9649,0
0.3673,0.9259,0.0709,0
0.1583,0.1588,0.5397,0
0.7606,0.5307,0.0754,1
0.773,0.901,0.8129,1
0.7508,0.9254,0.9422,1
0.8678,0.3138,0.8922,1
0.3344,0.1269,0.1748,0
0.9931,0.2093,0.0448,1
0.1599,0.1411,0.3207,0
0.6592,0.4901,0.8121,1
0.0835,0.1136,0.544,0
0.9766,0.8989,0.3816,1
0.9047,0.3528,0.3235,1
0.5298,0.2598,0.1848,0
0.4244,0.4346,0.0706,0
0.4229,0.1444,0.9192,0
0.0422,0.2063,0.9919,0
0.4495,0.8631,0.0647,0
0.2614,0.5546,0.2384,0
0.0253,0.0434,0.2094,0
0.3023,0.1461,0.979,0
0.4772,0.4435,0.0596,0
0.8911,0.7962,0.3185,1
0.3954,0.7233,0.8263,1
0.9517,0.4083,0.0757,1
0.5865,0.5889,0.3295,1
0.9261,0.5655,0.9975,1
0.0671,0.0666,0.8769,0
0.9015,0.7986,0.2899,1
0.1187,0.4068,0.2538,0
0.4037,0.6097,0.8371,1
0.3909,0.8961,0.6455,1
0.1462,0.7993,0.4398,0
0.173,0.7005,0.0857,0
0.3803,0.561,0.1787,0
0.0102,0.9126,0.0307,0
0.1792,0.7963,0.7024,0
0.0061,0.1082,0.6326,0
0.6194,0.8558,0.9234,1
0.1816,0.9589,0.5118,0
0.131,0.0058,0.588,0
0.9742,0.1662,0.6476,1
0.1162,0.6564,0.5641,0
0.9416,0.8233,0.4398,1
0.8098,0.517,0.4423,1
0.6411,0.1568,0.3258,0
0.1964,0.6396,0.7684,0
0.8975,0.6326,0.9519,1
0.906,0.4811,0.1171,1
0.6056,0.3156,0.6069,1
0.4937,0.1236,0.3687,0
0.38,0.9925,0.9823,1
0.5145,0.4599,0.218,0
0.4676,0.1231,0.5449,0
0.9918,0.0254,0.8386,1
0.783,0.6832,0.7537,1
0.6271,0.5203,0.2788,1
0.2779,0.3787,0.7671,0
0.9473,0.0041,0.9306,1
0.343,0.6814,0.4032,0
0.6142,0.4494,0.6918,1
