x1,x2,x3
42.34,23.44,77.19
52.83,25.44,82.68
57.27,26.62,86.48
60.13,29.66,79.0
49.97,29.78,68.58
52.18,30.35,58.49
39.59,20.32,86.14
52.74,28.68,59.05
56.19,27.9,87.08
60.31,23.33,55.61
61.89,38.48,72.93
46.92,30.44,75.03
39.46,25.87,79.7
52.05,34.72,85.79
52.19,34.88,73.57
39.7,28.55,75.86
42.25,35.76,75.4
58.42,38.24,83.65
58.24,26.47,54.83
55.8,28.87,74.3
52.82,30.46,69.35
61.22,39.01,62.16
52.26,22.72,50.06
66.66,34.44,79.39
47.68,28.65,87.9
53.2,27.45,68.87
60.97,32.46,74.19
56.5,31.68,66.72
48.81,28.23,79.18
62.7,31.16,54.9
46.51,37.74,79.36
48.61,27.48,78.36
48.03,26.67,80.6
55.78,25.72,53.88
47.41,22.32,68.46
64.71,30.7,86.52
59.28,32.81,87.64
44.43,26.53,56.38
50.07,22.57,58.4
37.14,27.78,67.41
45.8,31.58,74.18
52.3,24.64,69.89
47.54,27.85,65.91
36.62,32.36,54.6
35.52,30.98,59.5
40.86,32.53,66.58
64.09,27.21,68.98
47.82,28.38,68.38
49.48,25.49,71.73
41.97,20.43,62.38
49.5,23.21,60.18
55.57,23.04,74.45
65.97,42.05,64.99
44.94,31.82,75.36
49.31,29.67,95.92
52.26,26.31,71.76
45.96,32.72,65.0
50.69,37.45,59.12
54.43,29.07,58.6
56.22,35.14,49.69
52.03,30.58,74.01
65.08,20.9,59.01
48.01,32.73,82.72
39.07,37.73,66.16
59.13,34.49,73.84
57.82,20.47,91.38
46.74,30.53,83.79
58.5,27.72,81.19
52.3,32.9,56.62
57.63,37.58,61.85
64.12,36.7,66.1
59.07,28.29,60.48
53.31,25.41,62.23
46.68,30.68,76.3
45.36,25.75,72.18
48.65,25.47,71.55
54.13,25.59,70.87
49.99,34.14,78.68
55.58,28.34,66.76
34.32,29.76,87.14
57.69,28.0,89.09
38.66,35.66,71.63
63.71,26.46,58.99
50.67,30.17,76.93
43.1,28.92,74.56
37.45,33.97,77.53
64.78,31.55,75.35
46.23,27.15,71.77
51.35,33.91,68.45
49.75,30.07,78.53
50.63,32.87,69.69
42.86,30.72,81.35
59.9,25.43,73.15
53.08,30.01,80.67
62.39,43.07,68.48
44.68,28.53,65.68
44.78,35.05,63.33
39.85,22.63,50.74
52.62,34.26,66.11
49.48,39.89,61.5
58.15,23.87,73.58
47.73,28.49,83.46
51.76,34.34,92.67
44.33,38.42,80.65
50.54,21.69,63.86
48.28,36.57,84.82
37.96,21.58,56.92
35.0,36.6,69.27
40.76,29.5,72.27
43.07,27.26,55.17
58.48,29.28,71.06
56.85,32.12,48.25
39.57,31.53,61.43
58.88,38.09,64.4
34.45,25.83,73.97
51.64,30.98,68.51
54.18,22.93,71.96
66.31,28.17,67.26
31.81,37.06,61.73
53.19,27.77,72.9
