x1,x2,x3,label
0.0053,0.2727,0.9492,0
0.8762,0.9608,0.1147,1
0.63,0.3041,0.0437,0
0.959,0.2182,0.802,1
0.416,0.8173,0.0684,1
0.4631,0.2417,0.0159,0
0.7216,0.2649,0.9272,1
0.3151,0.9516,0.1519,1
0.6119,0.0157,0.7081,0
0.6009,0.6955,0.6755,1
0.3175,0.66,0.1681,1
0.485,0.5533,0.4855,1
0.8983,0.0318,0.4661,0
0.9598,0.5146,0.7369,1
0.6445,0.7988,0.2286,1
0.4841,0.3796,0.752,0
0.0068,0.7252,0.7587,0
0.8985,0.4928,0.1083,1
0.6592,0.4027,0.817,1
0.6466,0.0128,0.9802,0
0.2703,0.4951,0.8422,0
0.9415,0.5335,0.4813,1
0.9159,0.6507,0.294,1
0.3605,0.4725,0.6727,0
0.6473,0.1529,0.1968,0
0.3373,0.5776,0.7245,0
0.7649,0.9258,0.7354,1
0.7271,0.9569,0.9624,1
0.7415,0.6743,0.1655,1
0.2811,0.6996,0.5612,1
0.7494,0.9607,0.6684,1
0.8963,0.4526,0.3844,1
0.7461,0.0946,0.2637,0
0.9357,0.838,0.7458,1
0.1734,0.6148,0.1062,0
0.8224,0.2566,0.414,1
0.6016,0.9507,0.6976,1
0.4226,0.6116,0.7587,1
0.5054,0.9304,0.382,1
0.7503,0.568,0.145,1
0.7353,0.7217,0.8374,1
0.3856,0.1896,0.5415,0
0.8319,0.2887,0.054,1
0.5157,0.9134,0.7361,1
0.1743,0.4775,0.6647,0
0.063,0.3461,0.609,0
0.2313,0.9171,0.8846,1
0.8826,0.6274,0.414,1
0.0332,0.8385,0.0324,0
0.6568,0.1606,0.9246,0
0.5856,0.8591,0.6493,1
0.8418,0.5089,0.9929,1
0.7855,0.8314,0.4312,1
0.9299,0.7707,0.1601,1
0.3843,0.7686,0.2468,1
0.7943,0.5185,0.0207,1
0.0078,0.6107,0.8133,0
0.9689,0.6781,0.4183,1
0.3563,0.7227,0.836,1
0.9933,0.4642,0.2624,1
0.5698,0.2745,0.1642,0
0.0139,0.8323,0.4636,0
0.2272,0.4119,0.3783,0
0.1018,0.2542,0.7172,0
0.9151,0.4257,0.9587,1
0.6561,0.775,0.3423,1
0.7867,0.7138,0.867,1
0.3459,0.0453,0.8078,0
0.4821,0.3065,0.6422,0
0.9375,0.8999,0.1794,1
0.6165,0.8242,0.7344,1
0.6486,0.5305,0.5634,1
0.7899,0.8353,0.8014,1
0.1773,0.624,0.6844,0
0.4867,0.0091,0.6815,0
0.286,0.7151,0.9259,1
0.1289,0.9144,0.1729,1
0.3364,0.4226,0.3692,0
0.0506,0.5834,0.508,0
0.3828,0.7993,0.8559,1
