x1,x2,x3,label
0.1388,0.7269,0.0693,0
0.3164,0.8763,0.2478,0
0.428,0.5511,0.5633,0
0.2772,0.9196,0.5223,0
0.3021,0.648,0.2494,0
0.2833,0.0983,0.8326,0
0.3076,0.5596,0.434,0
0.0558,0.2942,0.9295,0
0.4686,0.0136,0.6918,0
0.6515,0.4545,0.4581,1
0.957,0.8755,0.804,1
0.4859,0.975,0.1299,1
0.3263,0.4636,0.3816,0
0.9523,0.922,0.6045,1
0.7905,0.4484,0.0228,0
0.6757,0.1831,0.5122,0
0.3139,0.5649,0.1909,0
0.0264,0.4299,0.9879,0
0.7117,0.5405,0.0839,1
0.1603,0.0373,0.9979,0
0.4683,0.4816,0.3279,0
0.1941,0.1629,0.1035,0
0.5317,0.2286,0.2733,0
0.4984,0.9797,0.3244,1
0.543,0.2372,0.0308,0
0.4809,0.8608,0.0704,0
0.5893,0.2092,0.4319,0
0.0791,0.2117,0.3498,0
0.8539,0.8397,0.8649,1
0.9986,0.4712,0.1386,1
0.2258,0.7097,0.0149,0
0.4583,0.355,0.4617,0
0.9316,0.4069,0.3219,1
0.8777,0.4458,0.5094,1
0.0247,0.3227,0.659,0
0.4358,0.2082,0.9033,0
0.4481,0.6472,0.9138,1
0.0214,0.6513,0.7916,0
0.1717,0.8289,0.6872,0
0.3124,0.8007,0.4436,0
0.6941,0.4455,0.701,1
0.8135,0.5162,0.3015,1
0.4138,0.2508,0.3519,0
0.0273,0.3637,0.2581,0
0.3522,0.3784,0.3233,0
0.0702,0.5387,0.0785,0
0.9711,0.8494,0.8832,1
0.0402,0.2791,0.2829,0
0.5293,0.8001,0.1288,0
0.62,0.7873,0.2869,1
0.5661,0.8342,0.2856,1
0.8442,0.8823,0.7168,1
0.8419,0.6795,0.7716,1
0.2679,0.7404,0.4592,0
0.6272,0.3731,0.6516,1
0.1191,0.4607,0.1892,0
0.487,0.9144,0.0658,1
0.8814,0.6743,0.4391,1
0.432,0.3012,0.4469,0
0.8686,0.8109,0.6112,1
0.0743,0.892,0.9824,1
0.1726,0.0574,0.7494,0
0.5659,0.3654,0.426,0
0.6238,0.4519,0.8927,1
0.1974,0.5369,0.172,0
0.7677,0.2381,0.3285,0
0.371,0.296,0.3678,0
0.8214,0.8306,0.5922,1
0.0362,0.8363,0.5352,0
0.9872,0.0963,0.8655,1
0.0085,0.1207,0.5939,0
0.0958,0.6535,0.1911,0
0.6825,0.9643,0.2027,1
0.4643,0.6171,0.3382,0
0.8327,0.8618,0.3348,1
0.7066,0.645,0.2836,1
0.845,0.2423,0.6822,1
0.2829,0.8122,0.8437,1
0.3217,0.6081,0.5975,0
0.5565,0.5277,0.0521,0
