x1,x2,x3
48.32,29.51,89.73
48.84,35.14,60.48
45.9,26.03,65.73
54.68,36.21,74.36
46.36,34.6,59.35
47.58,30.53,71.03
39.53,39.38,84.69
46.0,27.65,62.84
46.31,28.04,75.3
40.75,37.04,65.72
59.1,33.29,72.54
63.28,29.91,63.32
43.89,31.22,76.24
52.66,26.03,82.42
51.94,33.94,67.49
58.78,33.88,71.54
47.61,23.85,66.66
58.96,28.85,93.38
54.4,31.18,56.62
48.87,38.66,65.93
52.62,31.78,61.0
49.67,36.51,71.67
51.7,36.64,87.14
66.14,29.6,84.69
47.52,39.0,72.49
50.96,40.61,62.62
46.32,26.08,85.38
48.8,28.16,82.79
53.23,36.21,54.7
39.84,28.92,77.69
66.23,25.28,78.6
57.09,32.32,75.16
50.11,33.75,65.52
46.44,25.0,64.44
56.81,24.58,84.4
48.66,39.07,83.4
39.51,36.99,81.03
37.44,35.4,61.53
43.08,34.03,66.99
57.02,31.96,55.51
47.58,30.46,73.72
50.21,23.58,56.93
66.42,33.24,89.74
47.56,26.27,63.86
42.97,26.61,73.46
66.16,30.64,66.46
40.71,28.11,72.56
58.25,33.1,71.28
53.17,34.41,67.98
55.88,32.65,79.94
54.45,37.79,87.28
50.68,33.61,83.24
48.82,31.93,55.74
53.5,35.03,60.76
59.63,33.28,71.71
41.47,26.22,64.62
52.87,29.76,52.98
39.09,31.95,67.03
57.45,18.16,73.23
70.97,30.42,64.85
35.26,37.91,62.84
46.39,26.07,58.04
55.86,25.19,64.76
58.68,28.26,79.63
45.39,25.78,70.94
56.73,34.28,66.95
58.88,35.05,61.48
56.26,36.42,83.87
45.43,35.08,72.19
46.81,35.14,57.47
48.68,26.01,84.62
42.89,32.14,63.76
65.27,22.67,79.74
51.17,33.4,75.24
51.76,28.94,81.99
39.02,35.8,59.93
37.32,29.55,65.59
44.13,37.11,76.55
35.45,32.78,71.95
34.39,23.66,68.53
53.18,34.9,64.74
56.3,23.14,73.95
43.46,26.32,62.94
57.46,37.03,85.0
43.62,25.44,76.96
49.57,32.27,73.36
54.41,32.63,74.35
51.3,30.84,57.04
46.81,31.42,57.05
43.07,27.69,74.03
49.85,18.12,73.54
50.52,28.75,80.76
46.33,35.3,66.71
54.37,20.8,50.32
61.67,29.6,75.5
45.03,26.95,81.8
45.43,32.3,68.92
47.29,29.67,53.91
55.61,34.24,58.66
51.05,22.86,75.95
57.68,23.87,70.84
36.5,31.67,76.81
51.51,31.39,72.31
53.67,29.52,63.25
52.11,23.69,66.44
55.57,36.45,58.82
49.85,35.29,73.5
33.69,40.37,63.53
44.82,30.0,64.19
59.65,26.8,96.57
50.97,21.87,57.67
59.21,37.11,78.96
42.74,25.55,74.94
48.63,32.26,57.66
53.39,28.52,79.6
47.96,25.97,63.77
31.38,37.19,67.45
55.46,33.21,74.99
57.83,33.74,50.33
51.12,29.6,76.48
