x1,x2,x3
49.02,30.36,63.34
51.93,30.85,76.74
48.64,34.41,83.95
55.49,24.72,67.37
43.35,32.52,51.54
45.97,30.83,48.5
53.3,26.19,56.11
50.03,33.17,84.69
50.79,26.73,79.9
56.07,31.95,62.44
56.85,31.68,73.44
48.89,35.72,73.6
45.99,29.52,78.91
36.88,27.2,67.29
43.2,27.15,51.28
41.71,26.3,72.67
42.78,44.44,68.21
55.99,26.66,61.58
55.8,28.5,85.93
49.52,35.48,57.98
46.93,39.64,63.22
59.73,26.29,78.02
47.2,23.94,70.45
41.02,38.89,68.58
33.49,30.37,66.14
53.22,25.27,57.12
39.08,25.66,75.08
42.69,32.78,66.45
61.22,29.98,55.8
42.12,18.97,70.9
47.9,33.24,77.52
63.54,25.85,61.21
55.15,39.87,65.2
36.78,28.75,75.9
34.07,23.77,67.91
46.6,34.24,65.74
48.0,33.27,61.38
58.22,39.55,71.25
50.52,32.66,47.89
36.85,36.43,69.64
30.88,34.05,69.29
52.71,23.29,78.02
49.07,29.77,71.41
64.55,37.62,62.99
56.22,29.27,59.43
52.11,40.11,68.59
53.22,22.5,77.19
65.55,34.39,57.97
41.64,32.21,78.96
45.99,37.02,69.13
53.94,19.18,80.14
58.21,30.41,82.61
52.2,28.38,79.2
52.98,21.13,69.35
41.2,34.06,56.49
58.61,33.72,67.07
60.94,29.44,68.16
63.25,26.89,52.34
56.52,21.19,52.69
57.62,24.79,78.38
51.37,19.57,79.1
37.93,38.52,59.18
50.72,40.04,73.24
43.52,31.96,75.75
53.16,19.8,86.02
48.32,30.13,76.35
53.29,32.89,82.75
62.18,29.51,62.36
44.57,25.71,68.35
52.82,21.01,65.39
58.58,23.75,52.03
55.44,31.44,74.78
39.3,27.4,74.17
37.76,34.71,74.11
43.25,29.18,95.15
66.83,22.98,53.3
48.56,31.77,73.2
51.35,27.63,57.32
65.29,27.85,75.08
43.81,16.77,47.59
33.01,26.88,63.25
46.68,29.78,65.8
49.06,30.28,73.52
40.75,27.29,61.58
46.61,36.43,66.36
44.55,34.54,58.43
52.94,29.06,75.64
50.6,37.66,68.25
55.85,32.73,93.68
35.31,31.73,55.17
41.16,36.37,77.51
46.97,33.3,71.7
49.02,34.2,66.17
50.86,31.12,80.31
44.96,35.24,74.74
31.59,34.68,72.98
56.99,26.55,68.32
56.49,23.02,64.75
59.08,31.52,90.86
32.27,30.33,59.42
58.65,28.94,57.06
42.69,26.79,71.25
42.62,29.08,50.16
59.47,24.13,68.15
50.06,31.02,68.2
42.33,24.34,78.35
28.44,25.76,76.64
51.41,36.1,69.11
38.96,22.12,69.45
58.37,26.83,74.01
32.26,34.48,52.45
45.9,36.02,73.12
54.4,23.86,84.82
55.48,20.48,70.55
52.29,29.45,54.98
38.05,38.14,65.82
61.25,40.67,67.36
57.61,29.96,75.18
41.04,33.74,88.1
67.8,30.4,73.36
