x1,x2,x3
44.87,28.45,70.22
53.23,30.95,61.33
47.91,29.92,73.8
61.59,24.68,47.05
58.94,29.31,60.2
49.36,26.6,56.23
52.76,27.02,56.18
69.8,34.44,66.06
47.04,32.05,90.55
48.83,24.56,71.98
38.1,27.34,65.35
32.07,27.95,59.7
45.43,35.77,80.64
40.2,29.74,82.1
39.06,37.14,74.78
43.76,31.39,77.08
46.58,35.87,65.75
50.05,26.71,65.09
44.6,30.16,82.35
49.74,25.29,74.61
54.73,29.48,68.48
58.48,26.97,54.69
42.04,25.84,51.24
61.48,33.59,61.43
51.1,23.17,40.19
58.85,23.83,64.58
33.27,29.31,74.18
51.08,38.68,65.07
63.29,33.21,74.42
48.16,29.4,59.25
51.37,34.76,68.03
36.27,38.06,57.63
39.41,23.78,61.87
39.35,27.58,74.0
42.62,30.37,71.35
56.7,35.85,69.96
46.66,35.03,59.4
53.97,31.69,77.43
46.08,22.51,83.8
50.88,28.54,59.13
43.31,31.65,63.61
34.77,27.14,84.74
44.51,33.07,71.34
44.34,32.68,92.29
50.06,23.51,70.73
57.73,25.89,74.2
57.44,26.47,71.66
59.74,23.18,83.74
48.67,33.76,73.26
44.71,34.8,80.48
43.13,34.16,72.08
44.42,33.03,57.65
61.07,38.49,70.58
52.72,35.58,54.85
39.65,28.47,68.96
57.62,23.83,49.58
57.73,35.43,76.32
43.82,24.19,69.43
52.57,31.13,61.98
60.52,36.28,56.83
47.88,25.05,74.24
48.58,30.96,91.8
42.22,33.58,71.73
41.69,29.43,78.57
42.2,39.1,71.16
49.88,34.39,79.89
48.31,32.83,44.42
43.21,19.43,48.32
46.0,33.99,72.87
55.79,37.47,72.31
38.66,24.94,68.04
50.93,26.2,55.01
51.07,32.71,58.78
47.2,25.54,62.73
51.07,32.75,54.01
55.59,36.36,71.87
43.04,37.91,80.77
51.9,34.84,50.0
37.26,31.28,71.69
42.82,29.98,76.38
52.35,32.77,66.14
46.44,35.14,60.7
46.06,37.08,64.62
41.88,32.95,58.61
46.55,28.31,46.03
45.51,33.54,69.31
40.91,22.91,69.76
57.03,32.55,63.22
43.63,31.01,78.96
48.18,24.46,75.37
58.04,29.63,74.95
52.05,26.44,63.64
56.19,33.34,66.28
56.36,31.56,63.38
53.64,28.99,57.98
49.44,37.05,67.68
54.4,29.2,76.92
34.64,26.92,57.8
47.64,31.28,64.03
46.61,28.64,65.47
45.85,23.55,52.84
53.6,38.04,78.4
57.9,20.81,67.2
52.16,27.2,64.6
38.66,31.11,71.25
45.66,28.45,73.15
60.99,30.6,69.85
53.66,24.84,79.46
50.66,31.73,59.89
50.14,29.62,63.27
54.31,27.7,69.32
44.93,28.8,69.33
63.35,33.29,56.57
59.78,30.12,53.19
39.47,40.25,67.26
51.36,31.48,55.01
47.71,32.03,88.82
52.0,37.15,76.61
45.15,31.94,67.11
53.08,26.48,101.29
