x1,x2,x3,label
0.2469,0.3591,0.5366,0
0.7253,0.764,0.6321,1
0.4167,0.3644,0.2745,0
0.1424,0.2696,0.2363,0
0.9191,0.988,0.3729,1
0.8974,0.7024,0.7841,1
0.4515,0.3374,0.6503,0
0.3423,0.3105,0.1638,0
0.6806,0.5944,0.2918,1
0.3378,0.045,0.4375,0
0.3626,0.6486,0.0204,1
0.2597,0.9898,0.416,1
0.7645,0.3672,0.9562,1
0.3809,0.3716,0.0571,0
0.7805,0.0971,0.5131,0
0.2285,0.7446,0.5802,1
0.3283,0.4531,0.03,0
0.0624,0.2532,0.4669,0
0.5488,0.2123,0.7053,0
0.7002,0.5988,0.1728,1
0.3747,0.8145,0.712,1
0.5235,0.6804,0.7343,1
0.6593,0.4049,0.7861,1
0.1972,0.3877,0.5487,0
0.623,0.4898,0.0562,1
0.1611,0.176,0.3683,0
0.3331,0.7675,0.5896,1
0.9933,0.2418,0.7778,1
0.7189,0.9622,0.8133,1
0.4002,0.5038,0.2768,0
0.5334,0.2664,0.3306,0
0.671,0.8866,0.567,1
0.2398,0.0279,0.5171,0
0.5008,0.5836,0.1788,1
0.3896,0.6849,0.1606,1
0.7604,0.0693,0.2832,0
0.8861,0.8061,0.2146,1
0.5459,0.3324,0.3896,0
0.058,0.3848,0.6973,0
0.0597,0.175,0.7825,0
0.0434,0.3916,0.4227,0
0.7821,0.1799,0.8307,1
0.4223,0.823,0.8271,1
0.8021,0.1234,0.7625,0
0.5797,0.7639,0.0434,1
0.9784,0.0627,0.1867,1
0.8041,0.2771,0.0448,1
0.1969,0.4001,0.3342,0
0.4963,0.6279,0.3697,1
0.1246,0.9895,0.9858,1
0.9647,0.0609,0.0389,1
0.0051,0.6699,0.4705,0
0.1992,0.1445,0.0184,0
0.8718,0.4605,0.6219,1
0.7327,0.0515,0.0687,0
0.6963,0.5202,0.3113,1
0.4144,0.6272,0.3003,1
0.1018,0.7986,0.8628,0
0.4793,0.8785,0.653,1
0.8306,0.307,0.7376,1
0.7067,0.7272,0.5634,1
0.2462,0.3742,0.1516,0
0.1384,0.2694,0.5449,0
0.9924,0.3071,0.641,1
0.4439,0.3407,0.3578,0
0.6428,0.6921,0.3175,1
0.2447,0.5586,0.4334,0
0.0065,0.2636,0.4052,0
0.8654,0.0898,0.5667,1
0.5709,0.6896,0.7568,1
0.5369,0.0854,0.0025,0
0.8925,0.5841,0.0806,1
0.4844,0.7794,0.6455,1
0.0473,0.6608,0.0519,0
0.1267,0.4629,0.1513,0
0.5256,0.1428,0.5976,0
0.1587,0.1925,0.6655,0
0.1431,0.5617,0.023,0
0.7077,0.1662,0.9027,0
0.6811,0.8511,0.0864,1
