x1,x2,x3
49.91,32.15,71.04
52.34,34.3,55.24
44.68,22.47,69.79
59.66,29.24,82.45
47.43,33.14,69.79
37.89,34.48,76.77
40.5,32.76,66.68
44.25,34.14,82.17
55.67,33.14,63.5
53.28,20.46,74.09
44.01,31.8,61.15
51.82,20.31,55.92
45.41,33.52,54.78
50.3,24.03,75.66
50.09,29.65,78.66
49.72,34.07,82.7
51.65,26.66,68.36
52.94,30.7,67.65
51.79,31.65,73.74
38.61,23.86,61.3
52.02,24.03,65.88
53.55,35.02,67.88
46.74,34.86,68.28
50.82,27.43,61.79
59.23,28.04,53.33
52.19,33.46,71.85
38.09,21.12,58.94
66.5,31.4,80.27
54.27,31.34,68.88
53.89,21.68,80.12
61.09,31.82,66.96
56.52,24.45,75.32
57.63,33.55,60.85
54.28,35.37,73.89
49.02,32.35,64.63
56.96,30.8,55.32
53.89,37.41,79.56
69.2,37.1,63.74
55.91,36.17,84.08
44.22,28.36,87.73
58.81,29.54,71.13
54.15,28.88,59.65
56.3,34.92,51.59
60.01,21.7,71.85
46.13,42.17,53.09
60.06,36.7,61.49
47.64,37.67,77.62
44.36,27.12,76.68
44.02,24.82,79.28
47.74,30.63,86.56
52.03,30.19,77.02
54.76,34.06,76.29
62.6,30.53,57.7
52.58,23.69,87.39
47.57,31.05,68.98
51.99,24.91,68.35
43.72,24.49,85.34
54.74,30.41,72.17
52.46,29.99,62.56
44.49,25.81,65.17
50.24,31.15,84.07
45.62,36.22,50.35
49.51,32.61,77.4
56.78,42.69,89.27
50.2,34.43,64.76
51.33,35.24,79.31
53.56,26.05,66.15
41.45,34.11,66.3
55.08,27.24,56.74
59.07,30.49,78.87
53.72,27.27,67.06
40.86,30.1,69.64
47.03,26.74,74.7
52.81,30.93,73.55
43.6,45.17,68.25
66.04,26.76,65.26
63.6,27.17,82.01
47.04,24.99,69.13
55.56,23.33,78.0
36.87,37.5,86.17
51.02,31.68,84.48
67.64,26.24,60.6
56.25,28.94,73.4
47.24,27.78,81.84
43.25,32.74,70.43
39.8,28.53,62.25
65.3,37.97,56.24
51.97,32.78,66.07
59.41,23.76,58.39
48.87,36.66,59.56
58.81,25.68,64.74
48.69,37.67,97.73
60.9,30.18,64.65
53.37,25.4,67.58
43.68,20.97,78.56
41.38,22.01,59.91
51.0,38.52,78.06
45.74,32.77,68.6
43.97,30.4,58.46
51.69,27.69,69.93
56.42,29.64,77.33
52.06,27.95,71.13
45.51,26.37,64.52
64.47,31.55,61.24
57.13,27.79,88.66
47.21,37.58,51.49
50.75,24.74,73.39
57.35,30.68,54.2
64.93,30.36,87.05
47.53,36.55,91.82
55.49,35.09,81.96
47.95,22.96,75.84
61.49,31.58,76.68
61.79,23.75,50.27
50.46,37.51,75.02
51.55,33.51,67.15
35.01,31.01,65.3
59.51,30.3,69.12
45.72,38.14,63.68
53.08,30.23,60.44
