x1,x2,x3,label
0.7077,0.2329,0.7304,0
0.7732,0.0197,0.0165,0
0.8824,0.4313,0.0479,1
0.2821,0.9545,0.4339,0
0.2008,0.5938,0.1334,0
0.6463,0.0131,0.4319,0
0.9286,0.8342,0.9746,1
0.343,0.0858,0.4784,0
0.9576,0.0945,0.0625,1
0.9991,0.1439,0.8437,1
0.6184,0.9194,0.7042,1
0.7547,0.5659,0.9834,1
0.3393,0.271,0.765,0
0.5062,0.6228,0.8071,1
0.3193,0.5943,0.0045,0
0.5457,0.8832,0.9366,1
0.0108,0.3395,0.0798,0
0.9291,0.6155,0.8736,1
0.4294,0.4172,0.7968,0
0.4486,0.4673,0.418,0
0.2422,0.3137,0.3733,0
0.1886,0.7409,0.7787,0
0.4294,0.1385,0.6363,0
0.6469,0.4228,0.7206,1
0.6213,0.8633,0.7234,1
0.4933,0.322,0.0819,0
0.8585,0.6135,0.5377,1
0.3885,0.3147,0.6916,0
0.5891,0.3584,0.3876,0
0.4574,0.9649,0.2859,1
0.8374,0.6375,0.5789,1
0.7206,0.2309,0.819,1
0.0716,0.8269,0.7761,0
0.4688,0.4615,0.6021,0
0.1169,0.7635,0.5747,0
0.8613,0.3733,0.868,1
0.5604,0.9704,0.1921,1
0.2497,0.6024,0.1181,0
0.315,0.2043,0.8952,0
0.1552,0.2905,0.2701,0
0.7553,0.1487,0.5649,0
0.6002,0.3267,0.5915,0
0.0446,0.9967,0.7622,0
0.9337,0.9447,0.8399,1
0.3636,0.9193,0.2182,0
0.2755,0.4695,0.4881,0
0.1134,0.3014,0.0879,0
0.1961,0.7121,0.6477,0
0.9581,0.434,0.3323,1
0.7153,0.7246,0.7962,1
0.8972,0.9146,0.4509,1
0.8678,0.6229,0.8431,1
0.8159,0.0055,0.2956,0
0.2329,0.616,0.1265,0
0.2755,0.1539,0.5867,0
0.7247,0.2389,0.4275,1
0.9022,0.7821,0.7613,1
0.1611,0.2235,0.3505,0
0.3812,0.096,0.5161,0
0.4253,0.4801,0.517,0
0.2636,0.7482,0.7076,1
0.6396,0.2107,0.5911,0
0.8794,0.0356,0.4591,1
0.5001,0.1807,0.8682,0
0.9925,0.8509,0.9664,1
0.5278,0.0874,0.9071,0
0.4723,0.4275,0.9253,0
0.7382,0.3822,0.3202,1
0.6008,0.7075,0.8362,1
0.7028,0.5002,0.5692,1
0.1187,0.2568,0.0955,0
0.8232,0.2112,0.9619,1
0.5303,0.0448,0.3995,0
0.5098,0.2281,0.5813,0
0.166,0.2782,0.5898,0
0.4686,0.6003,0.3711,0
0.1213,0.3574,0.1096,0
0.0516,0.1438,0.63,0
0.433,0.2496,0.6562,0
0.9928,0.4966,0.6681,1
0.2959,0.3362,0.274,0
0.5367,0.9897,0.9832,1
0.9811,0.4643,0.5359,1
0.1841,0.5709,0.174,0
0.5998,0.3527,0.2044,0
0.2332,0.3302,0.7505,0
0.5911,0.6597,0.186,0
0.2644,0.5311,0.9472,0
0.0728,0.8504,0.6921,0
0.8896,0.5439,0.1488,1
0.181,0.4256,0.159,0
0.4236,0.7922,0.5016,0
0.0269,0.4381,0.3499,0
0.4915,0.7409,0.2875,1
0.2864,0.8232,0.3449,0
0.2811,0.3868,0.8117,0
0.3379,0.7344,0.6505,0
0.2876,0.8272,0.4306,0
0.4787,0.9653,0.1413,0
0.9984,0.0287,0.6281,1
0.1043,0.0325,0.9872,0
0.2718,0.8727,0.8993,1
0.0196,0.4638,0.353,0
0.7327,0.0864,0.4215,0
0.4218,0.1712,0.0598,0
0.8261,0.4827,0.3639,1
0.7021,0.8147,0.1033,1
0.2936,0.6248,0.3782,0
0.7019,0.3634,0.1576,0
0.3375,0.6209,0.2921,0
0.0471,0.3346,0.4877,0
0.6436,0.4155,0.5103,1
0.9165,0.1105,0.2815,1
0.0416,0.3284,0.3372,0
0.5035,0.108,0.737,0
0.1808,0.6527,0.1064,0
0.85,0.4233,0.6177,1
0.0617,0.7777,0.8655,0
0.5439,0.3274,0.1955,0
0.7657,0.1467,0.4031,0
0.0935,0.6978,0.4779,0
0.8715,0.1582,0.8324,1
0.2647,0.9198,0.1448,0
0.6553,0.9177,0.638,1
0.2947,0.3877,0.3524,0
0.8174,0.879,0.8272,1
0.8704,0.5856,0.8962,1
0.889,0.4752,0.4687,1
0.6784,0.64,0.6373,1
0.5524,0.1973,0.6922,0
0.4909,0.6825,0.061,0
0.2724,0.3675,0.1194,0
0.9913,0.4228,0.9036,1
0.1665,0.8908,0.5155,0
0.9694,0.2315,0.5654,1
0.7847,0.5139,0.1345,1
0.4632,0.5419,0.9633,1
0.8371,0.3335,0.5296,1
0.7464,0.7522,0.0506,1
0.6426,0.6383,0.7199,1
0.874,0.8492,0.9014,1
0.6173,0.8408,0.2247,1
0.4207,0.8228,0.9236,1
0.1208,0.2494,0.3203,0
0.8288,0.7512,0.5583,1
0.1071,0.2323,0.6935,0
0.6588,0.4973,0.7298,1
0.4233,0.0548,0.2765,0
0.6392,0.7857,0.2549,1
0.3012,0.7718,0.5941,0
0.8233,0.5465,0.793,1
0.6751,0.9881,0.5205,1
0.9275,0.159,0.9671,1
0.7271,0.7086,0.5999,1
0.3475,0.5498,0.1906,0
0.1776,0.8618,0.2669,0
0.4625,0.7088,0.4202,0
0.7785,0.2327,0.8968,1
0.3951,0.1808,0.7096,0
0.5885,0.5917,0.4993,1
0.7683,0.8017,0.2912,1
0.5276,0.3363,0.3672,0
0.3703,0.9208,0.0992,0
0.8541,0.3273,0.9414,1
0.0186,0.5027,0.2897,0
