x1,x2,x3
52.17,26.72,86.76
37.25,33.91,66.11
44.36,25.01,78.53
45.46,30.43,76.38
40.19,31.36,75.25
58.32,31.54,76.41
54.14,31.92,64.53
51.33,40.15,63.2
44.03,35.32,71.34
53.94,28.62,66.69
57.61,35.33,80.56
53.25,29.71,88.29
55.61,32.63,73.57
62.42,37.61,79.44
49.57,33.23,70.05
53.89,24.56,70.76
35.75,28.56,47.52
50.16,25.32,67.53
68.32,37.36,97.02
43.74,26.25,81.61
54.63,28.44,70.88
42.17,32.1,70.22
52.58,42.71,46.11
40.08,25.67,65.15
47.91,26.77,63.35
53.89,38.89,100.84
37.83,31.06,79.48
54.56,29.52,78.01
64.07,31.81,80.11
57.02,31.09,48.77
38.44,38.3,69.88
42.53,34.93,76.75
35.53,28.38,62.8
49.54,33.57,78.42
51.0,22.26,66.05
65.6,30.49,75.57
40.46,33.67,63.82
54.04,27.71,79.82
45.84,24.85,61.31
35.72,28.52,77.21
42.37,28.44,65.67
54.28,27.23,49.51
40.61,29.12,63.16
50.03,36.04,72.71
70.03,34.8,78.24
56.7,34.09,64.75
52.77,34.11,71.32
54.89,30.62,82.06
46.07,36.1,72.52
51.93,27.54,83.33
52.78,28.11,51.56
38.32,26.06,79.15
41.49,36.5,82.21
71.15,36.36,80.4
59.01,29.04,75.1
54.59,26.3,78.62
65.44,32.04,73.9
47.76,36.54,61.79
47.71,29.52,72.03
59.77,33.63,77.11
42.97,29.29,80.8
56.51,27.68,73.62
34.23,30.58,85.22
44.96,29.53,63.98
46.43,34.61,83.2
50.62,27.15,74.46
54.21,34.21,83.02
42.5,28.07,70.85
61.06,32.96,61.59
35.15,37.1,62.23
48.9,30.34,73.38
49.0,37.7,76.9
56.1,25.65,73.28
35.55,27.99,81.81
66.51,29.32,73.86
43.41,24.4,79.86
54.37,28.01,72.43
54.87,39.04,73.69
55.9,32.39,46.99
40.49,27.09,68.87
50.72,23.28,66.05
50.74,36.54,68.11
47.05,34.34,55.22
43.97,27.43,70.04
45.98,32.27,49.76
46.52,23.42,82.96
63.32,35.17,80.71
62.92,24.19,62.67
42.55,28.21,60.88
47.06,30.2,71.37
56.46,41.04,83.55
54.06,28.65,58.68
46.35,36.8,68.54
46.16,37.86,62.29
43.98,18.91,68.32
35.17,23.43,49.14
43.94,25.18,67.53
42.78,30.96,63.84
59.34,27.96,77.27
53.93,31.03,54.86
50.98,29.34,49.76
36.6,31.4,67.79
42.19,33.88,62.68
54.11,32.41,78.7
29.43,39.79,55.34
27.1,21.14,86.64
39.17,32.18,66.58
53.24,25.5,66.22
50.72,26.92,50.2
54.9,36.29,78.28
42.0,27.87,83.85
49.21,29.81,74.4
46.03,31.7,66.35
47.89,27.22,68.4
42.63,26.87,73.68
63.81,24.5,58.11
54.04,34.12,86.91
40.47,31.83,63.46
59.52,26.08,47.86
49.62,35.44,77.52
