x1,x2,x3
43.38,25.76,73.92
54.53,25.88,69.92
50.11,31.02,65.36
53.05,29.36,83.95
48.29,24.47,50.7
48.9,28.11,60.22
42.13,23.71,80.12
47.79,35.07,77.76
45.82,22.11,76.25
49.09,27.64,55.07
47.04,31.65,65.45
51.07,34.1,68.7
45.19,32.92,58.03
63.12,26.9,66.93
55.1,29.23,73.41
52.94,33.5,65.13
50.38,28.74,84.18
29.73,22.76,74.43
57.56,36.46,64.8
54.6,22.47,54.39
48.86,29.03,78.08
48.6,31.85,74.77
47.6,30.16,67.68
42.6,21.77,45.62
59.18,25.24,74.28
51.57,28.15,75.43
37.86,36.18,81.99
58.31,27.78,73.66
48.49,37.07,65.43
32.71,28.26,64.96
48.13,27.19,66.72
41.92,24.97,59.69
46.57,31.46,65.48
47.67,24.36,62.17
37.35,21.55,65.44
59.03,21.97,64.71
42.38,25.26,68.11
47.99,27.18,66.88
58.68,30.6,55.6
49.51,33.01,69.02
43.12,34.56,75.11
40.19,31.51,70.03
59.05,25.64,74.79
40.29,32.73,91.84
50.32,33.29,74.46
37.94,31.54,69.4
61.26,28.53,65.96
33.59,29.83,79.14
39.8,26.32,64.88
53.88,33.23,61.95
42.42,33.45,81.15
47.96,31.16,59.08
64.91,31.97,75.09
48.73,25.0,75.69
58.4,32.7,71.72
45.68,34.36,67.53
54.53,34.35,68.22
47.22,19.82,64.31
73.12,30.68,78.49
54.95,22.74,47.48
44.02,29.54,76.69
49.46,32.1,68.2
72.76,33.21,73.84
58.24,34.43,89.69
47.4,30.11,68.02
44.82,32.48,58.33
50.48,29.42,73.91
54.76,28.61,65.08
63.34,35.88,69.93
52.15,32.23,74.45
57.92,37.28,79.61
39.28,29.58,63.98
49.62,28.82,92.01
63.03,31.82,73.67
38.81,28.13,76.74
63.89,30.42,61.18
53.32,28.4,78.65
47.47,30.87,61.84
37.39,31.05,74.42
44.61,36.68,59.9
48.67,29.34,81.12
59.32,30.92,78.63
50.26,30.45,71.33
55.53,30.84,49.75
46.35,29.04,61.02
46.09,29.44,87.08
54.43,29.76,73.53
54.09,29.59,63.89
48.59,25.69,57.49
46.3,26.5,67.71
42.53,23.8,52.16
58.44,34.65,61.67
44.4,31.28,73.86
52.79,24.07,85.03
61.07,42.14,71.69
37.79,23.18,69.77
47.82,20.99,77.76
57.25,38.6,69.68
42.06,37.52,77.35
48.5,26.05,80.51
57.01,27.1,67.21
50.47,23.93,64.69
58.33,26.74,64.85
48.62,29.62,61.24
53.63,26.16,73.81
56.85,41.93,81.86
48.02,22.7,62.29
42.1,25.67,49.31
61.23,35.64,85.95
43.36,40.7,69.59
40.56,32.23,67.13
58.88,24.94,76.42
38.38,31.1,78.43
37.25,37.05,70.82
50.43,32.75,86.8
62.07,25.31,57.68
42.25,33.98,79.9
49.26,25.76,65.73
53.03,26.74,63.94
41.31,26.04,65.82
