x1,x2,x3,label
0.1456,0.6488,0.0816,0
0.9702,0.0872,0.6308,1
0.829,0.8686,0.812,1
0.309,0.7445,0.1882,1
0.0298,0.3567,0.9102,0
0.5483,0.797,0.9629,1
0.0772,0.2206,0.6625,0
0.5731,0.1179,0.2802,0
0.9506,0.4882,0.5952,1
0.9323,0.8903,0.6931,1
0.7371,0.2194,0.0732,1
0.5578,0.2922,0.9841,0
0.0765,0.7387,0.323,0
0.0825,0.0965,0.3397,0
0.212,0.4162,0.0522,0
0.7515,0.1636,0.5831,0
0.2531,0.1072,0.2422,0
0.3394,0.2577,0.8937,0
0.838,0.0979,0.7563,0
0.8578,0.064,0.8587,0
0.2667,0.5475,0.981,0
0.5578,0.7377,0.0794,1
0.1465,0.7493,0.9361,0
0.116,0.5665,0.7001,0
0.7581,0.0099,0.7763,0
0.7719,0.2476,0.7718,1
0.1052,0.3832,0.3989,0
0.2914,0.9052,0.8116,1
0.434,0.4812,0.1894,0
0.215,0.1991,0.6088,0
0.0234,0.611,0.4768,0
0.3009,0.7877,0.7866,1
0.8896,0.0142,0.7751,0
0.9349,0.3833,0.5233,1
0.953,0.7533,0.2436,1
0.0353,0.8469,0.0457,0
0.4457,0.5898,0.8092,1
0.2681,0.032,0.6915,0
0.878,0.0544,0.9288,0
0.0425,0.5948,0.8007,0
0.7599,0.869,0.1032,1
0.6728,0.0313,0.6877,0
0.0913,0.9041,0.929,1
0.4745,0.5848,0.2599,1
0.1878,0.1448,0.7385,0
0.7915,0.7136,0.6748,1
0.9367,0.8901,0.9435,1
0.03,0.2488,0.0215,0
0.6737,0.8368,0.7385,1
0.7015,0.1182,0.8539,0
0.1032,0.3866,0.7914,0
0.5599,0.8285,0.2739,1
0.5128,0.5742,0.3346,1
0.3232,0.7188,0.2277,1
0.3113,0.1796,0.3975,0
0.3674,0.7358,0.6159,1
0.0474,0.3016,0.0987,0
0.1112,0.2793,0.8892,0
0.9173,0.5726,0.2757,1
0.641,0.8347,0.3794,1
0.3363,0.2841,0.0057,0
0.2433,0.9472,0.3009,1
0.4163,0.144,0.5628,0
0.4186,0.8245,0.8882,1
0.2684,0.0217,0.5281,0
0.8524,0.1327,0.9299,1
0.7641,0.3955,0.2969,1
0.6069,0.8213,0.632,1
0.0136,0.9367,0.0234,1
0.378,0.3932,0.3864,0
0.0424,0.204,0.139,0
0.3168,0.5707,0.2679,0
0.4579,0.7539,0.1209,1
0.9855,0.232,0.3445,1
0.3318,0.4658,0.663,0
0.2118,0.4044,0.719,0
0.116,0.2368,0.7341,0
0.4337,0.156,0.4552,0
0.7965,0.6422,0.6309,1
0.9824,0.5837,0.5556,1
