x1,x2,x3,label
0.6204,0.5514,0.004,1
0.9586,0.9493,0.4171,1
0.8541,0.4215,0.8427,1
0.0764,0.1345,0.7256,0
0.7454,0.3738,0.8905,1
0.2619,0.3847,0.1624,0
0.5944,0.428,0.5651,1
0.4144,0.1369,0.3104,0
0.314,0.5272,0.6019,0
0.251,0.8248,0.7487,1
0.1626,0.1516,0.2409,0
0.4764,0.4089,0.2727,0
0.6603,0.8515,0.0736,1
0.2562,0.6994,0.2004,1
0.3471,0.5355,0.3119,0
0.1917,0.8228,0.8135,1
0.4168,0.8602,0.1997,1
0.512,0.9168,0.6092,1
0.666,0.5556,0.0949,1
0.8587,0.3377,0.5491,1
0.9926,0.4078,0.0176,1
0.2364,0.0412,0.9399,0
0.4803,0.1838,0.5502,0
0.0821,0.5445,0.1127,0
0.6107,0.9476,0.3145,1
0.9163,0.275,0.133,1
0.6028,0.7597,0.608,1
0.2624,0.404,0.2651,0
0.9319,0.2534,0.5952,1
0.5291,0.4423,0.3637,1
0.1936,0.6205,0.0572,0
0.246,0.0801,0.8771,0
0.3951,0.5861,0.7295,1
0.4171,0.891,0.2749,1
0.523,0.4727,0.1383,1
0.4005,0.9154,0.5261,1
0.2368,0.3802,0.602,0
0.0161,0.0923,0.8948,0
0.5332,0.4665,0.3363,1
0.5068,0.4618,0.2244,1
0.7906,0.7193,0.3956,1
0.0648,0.8038,0.1063,0
0.3372,0.4822,0.7825,0
0.4358,0.6579,0.2931,1
0.333,0.0419,0.2706,0
0.4711,0.9037,0.1554,1
0.6901,0.7865,0.0614,1
0.94,0.7117,0.2569,1
0.6054,0.5462,0.0537,1
0.2361,0.4428,0.5599,0
0.0474,0.1416,0.991,0
0.1344,0.275,0.895,0
0.8429,0.867,0.6529,1
0.663,0.7442,0.2241,1
0.2343,0.2813,0.8343,0
0.9068,0.2707,0.6636,1
0.2422,0.8033,0.1236,1
0.2538,0.7827,0.4343,1
0.2644,0.8155,0.8896,1
0.2237,0.7709,0.4212,1
0.2322,0.788,0.5063,1
0.4267,0.4918,0.0209,0
0.0747,0.6001,0.9174,0
0.7516,0.2127,0.7273,1
0.3807,0.4149,0.0546,0
0.302,0.9799,0.6215,1
0.8077,0.6582,0.6866,1
0.4127,0.2629,0.781,0
0.627,0.3593,0.9263,1
0.3279,0.2112,0.4776,0
0.9255,0.4589,0.6262,1
0.9415,0.1085,0.582,1
0.0314,0.9404,0.1158,1
0.0726,0.6743,0.8216,0
0.2284,0.0669,0.8616,0
0.5657,0.1726,0.3142,0
0.9886,0.9572,0.3853,1
0.3388,0.0505,0.0836,0
0.6655,0.2124,0.8415,0
0.3839,0.5868,0.1537,1
