x1,x2,x3
41.2,29.59,78.48
54.5,25.1,59.58
45.38,32.08,70.44
42.06,32.33,58.8
61.47,32.51,74.7
47.24,27.14,51.83
53.48,26.83,72.06
51.4,24.82,62.73
29.93,34.92,74.89
53.15,29.2,62.54
50.63,23.02,79.74
33.07,26.6,80.03
59.83,24.22,69.92
32.79,21.98,68.16
56.26,30.9,53.87
53.29,19.64,61.49
46.56,29.68,56.23
44.53,27.09,70.21
56.19,33.64,56.27
54.64,25.93,75.26
29.13,33.67,53.51
41.78,36.74,62.74
68.96,30.65,69.58
49.45,27.36,80.27
33.19,27.77,73.96
48.18,32.49,57.07
46.86,38.53,54.87
44.39,29.84,85.92
44.37,32.93,55.25
44.32,26.97,64.02
56.16,34.74,73.95
52.17,31.42,81.71
50.6,34.93,49.82
44.83,26.73,73.99
50.63,27.52,67.2
45.95,32.51,65.15
54.79,24.46,80.4
41.66,34.36,65.86
43.97,30.3,64.04
40.24,37.21,60.96
48.4,34.57,96.55
51.61,25.54,52.06
48.32,23.72,72.12
41.79,33.99,60.65
46.77,24.72,66.19
44.67,31.16,63.88
58.11,32.12,76.51
31.86,33.18,71.66
41.33,32.61,87.82
55.09,36.79,61.45
50.2,26.54,77.56
52.96,19.41,70.06
51.67,27.39,90.17
42.06,30.89,74.6
43.44,34.2,51.72
54.02,38.11,64.94
53.09,31.84,64.75
47.37,34.66,69.94
45.5,28.93,64.76
47.28,25.25,69.56
51.9,26.97,76.1
48.54,26.63,58.88
40.73,21.18,59.22
47.06,23.88,80.77
55.38,23.85,61.3
51.54,23.87,62.52
52.92,32.73,68.18
45.63,32.73,72.46
63.71,36.22,80.89
57.46,30.78,102.51
48.36,35.91,77.0
52.12,25.02,55.77
58.67,26.14,70.39
56.28,31.87,67.76
50.85,37.59,67.92
50.56,29.2,69.42
46.6,28.61,89.51
57.18,29.94,74.02
47.7,31.19,72.8
47.42,32.57,60.02
50.5,31.51,62.07
36.39,30.41,60.22
55.0,28.93,73.93
55.83,33.21,64.57
44.35,28.61,72.87
48.38,22.25,73.59
50.93,31.4,69.45
40.42,27.24,73.97
37.59,25.47,71.52
51.47,36.63,76.44
58.86,25.64,65.68
60.68,35.65,52.23
51.05,32.98,76.65
54.71,27.52,82.89
68.89,38.87,50.73
46.3,32.23,56.96
33.16,31.29,64.25
50.04,34.19,67.17
64.61,28.93,78.14
53.51,33.06,62.86
51.08,23.47,55.79
56.52,34.4,61.33
55.82,30.34,73.82
46.15,38.41,62.25
66.39,20.02,73.11
32.74,33.54,61.83
50.69,36.53,66.83
57.09,37.92,87.14
47.34,28.88,78.26
49.12,29.2,69.42
59.33,36.79,90.77
47.22,29.98,67.55
35.21,37.35,72.66
43.46,29.78,76.57
48.59,32.74,73.94
52.34,30.63,77.86
45.4,38.07,59.64
48.17,30.27,55.48
50.37,26.84,74.93
51.06,31.65,51.87
