x1,x2,x3,label
0.6797,0.7812,0.6973,1
0.5737,0.8717,0.215,1
0.101,0.697,0.0574,0
0.4814,0.6789,0.1505,1
0.4499,0.0639,0.5664,0
0.365,0.9131,0.0643,1
0.6273,0.8837,0.3657,1
0.9398,0.0327,0.7355,1
0.3439,0.6493,0.6991,1
0.5905,0.7744,0.4747,1
0.7609,0.4132,0.0674,1
0.3061,0.4552,0.6634,0
0.2652,0.5012,0.3748,0
0.1559,0.7583,0.6144,0
0.1201,0.9322,0.325,1
0.3864,0.4607,0.1476,0
0.6631,0.5468,0.9553,1
0.4418,0.1841,0.5206,0
0.7564,0.2131,0.0089,1
0.4947,0.8251,0.4552,1
0.4194,0.8708,0.7298,1
0.7827,0.927,0.556,1
0.4207,0.6316,0.8236,1
0.5552,0.1741,0.4828,0
0.4356,0.455,0.0747,0
0.9505,0.241,0.2965,1
0.0985,0.9469,0.8824,1
0.3261,0.0572,0.8242,0
0.2638,0.1872,0.2382,0
0.2486,0.8518,0.1035,1
0.6923,0.4598,0.5833,1
0.3015,0.3133,0.3832,0
0.7667,0.2841,0.074,1
0.318,0.1189,0.9535,0
0.1577,0.1838,0.49,0
0.3204,0.1397,0.7709,0
0.7751,0.0446,0.2189,0
0.5748,0.4749,0.6602,1
0.4618,0.1624,0.422,0
0.5949,0.0683,0.9677,0
0.3382,0.5956,0.6519,0
0.2564,0.7639,0.6282,1
0.6615,0.178,0.8854,0
0.1063,0.6298,0.5577,0
0.7587,0.5789,0.3053,1
0.9358,0.116,0.1428,1
0.6496,0.2934,0.6899,0
0.859,0.6585,0.7341,1
0.489,0.7602,0.7382,1
0.4449,0.2902,0.7261,0
0.8143,0.6883,0.7968,1
0.657,0.0774,0.36,0
0.9122,0.9848,0.0535,1
0.1196,0.5264,0.9656,0
0.3843,0.3263,0.2029,0
0.3186,0.2881,0.5119,0
0.9872,0.2839,0.1581,1
0.9108,0.8622,0.0609,1
0.0796,0.3326,0.9063,0
0.7978,0.4787,0.9306,1
0.5637,0.5911,0.6339,1
0.0203,0.0822,0.8491,0
0.951,0.3966,0.5096,1
0.5527,0.2192,0.1045,0
0.3534,0.2194,0.8642,0
0.8374,0.7965,0.8188,1
0.7989,0.1393,0.9312,0
0.4593,0.9036,0.3175,1
0.9536,0.9397,0.8555,1
0.0662,0.4406,0.2284,0
0.4011,0.5955,0.6558,1
0.8973,0.4078,0.0934,1
0.0576,0.8032,0.0106,0
0.578,0.1176,0.3897,0
0.6818,0.6376,0.1879,1
0.1137,0.0348,0.0063,0
0.9397,0.1552,0.9906,1
0.2162,0.2804,0.451,0
0.5777,0.3592,0.4323,0
0.8653,0.1833,0.4349,1
