x1,x2,x3,label
0.4015,0.5006,0.3981,0
0.536,0.7618,0.8668,1
0.3329,0.5669,0.4303,0
0.3545,0.4534,0.4453,0
0.3361,0.443,0.8572,0
0.4942,0.1959,0.59,0
0.4241,0.4629,0.6448,0
0.4212,0.6801,0.0884,1
0.6076,0.7295,0.2015,1
0.5534,0.9386,0.7001,1
0.9595,0.7001,0.9536,1
0.5994,0.7697,0.4702,1
0.5821,0.5597,0.4278,1
0.769,0.2299,0.7332,1
0.5392,0.746,0.0621,1
0.804,0.7781,0.4454,1
0.6578,0.6508,0.1264,1
0.3247,0.7014,0.7074,1
0.1219,0.331,0.39,0
0.8643,0.41,0.6619,1
0.759,0.0569,0.625,0
0.1524,0.6936,0.6078,0
0.9879,0.6874,0.8381,1
0.6895,0.0503,0.4503,0
0.0808,0.4234,0.7572,0
0.1263,0.7044,0.3366,0
0.2617,0.6312,0.3317,0
0.1713,0.5706,0.8107,0
0.3267,0.8249,0.0477,1
0.5344,0.0107,0.8353,0
0.5591,0.3728,0.2614,0
0.687,0.907,0.6432,1
0.1339,0.3957,0.7239,0
0.653,0.7215,0.9853,1
0.1848,0.7479,0.872,0
0.3509,0.7647,0.1482,1
0.3661,0.6954,0.2769,1
0.8867,0.1615,0.1301,1
0.0551,0.2667,0.3156,0
0.1272,0.4872,0.8892,0
0.7516,0.2906,0.8864,1
0.1403,0.8425,0.0357,1
0.1573,0.0896,0.1662,0
0.4914,0.3506,0.7264,0
0.8338,0.2976,0.0303,1
0.9671,0.1169,0.3064,1
0.4414,0.2668,0.0994,0
0.4165,0.9037,0.5345,1
0.8707,0.362,0.649,1
0.3926,0.8137,0.783,1
0.4071,0.2983,0.8752,0
0.526,0.8363,0.713,1
0.2655,0.7204,0.2764,1
0.4537,0.2068,0.2129,0
0.1033,0.7228,0.4903,0
0.8633,0.4533,0.2843,1
0.2744,0.3842,0.6659,0
0.2114,0.2744,0.7258,0
0.3907,0.4303,0.493,0
0.0524,0.0708,0.0143,0
0.7664,0.3372,0.2557,1
0.272,0.9447,0.8536,1
0.6592,0.7929,0.5045,1
0.3278,0.1316,0.1103,0
0.9305,0.0547,0.8802,1
0.5281,0.2279,0.579,0
0.7336,0.5841,0.0685,1
0.6114,0.6295,0.7704,1
0.6046,0.2134,0.8187,0
0.0584,0.3214,0.7231,0
0.7201,0.9965,0.7896,1
0.7532,0.7346,0.4915,1
0.0196,0.3199,0.2759,0
0.4519,0.0648,0.2132,0
0.287,0.9173,0.2384,1
0.5681,0.6488,0.1535,1
0.6366,0.1148,0.1511,0
0.0957,0.6675,0.9003,0
0.9442,0.8294,0.532,1
0.0462,0.0086,0.4855,0
