x1,x2,x3,label
0.5124,0.0634,0.3078,0
0.1672,0.8605,0.1341,0
0.6961,0.7485,0.2043,1
0.7793,0.2601,0.4911,0
0.9471,0.4152,0.9831,1
0.4189,0.2829,0.7673,0
0.8825,0.3717,0.8515,1
0.9218,0.6828,0.384,1
0.9455,0.49,0.2651,1
0.1792,0.55,0.3837,0
0.9303,0.834,0.3226,1
0.8061,0.1827,0.8656,1
0.1798,0.433,0.4764,0
0.5588,0.0052,0.4472,0
0.0363,0.3786,0.3691,0
0.6408,0.7463,0.2853,1
0.8796,0.5049,0.7631,1
0.9804,0.6078,0.1081,1
0.6942,0.0216,0.9441,1
0.7988,0.331,0.8628,1
0.5927,0.4343,0.1892,0
0.2487,0.4753,0.8375,0
0.5029,0.1758,0.3374,0
0.6434,0.9852,0.0613,1
0.6147,0.1672,0.3008,0
0.5135,0.5438,0.1445,0
0.4177,0.721,0.0722,0
0.4947,0.26,0.106,0
0.8037,0.8283,0.7989,1
0.2484,0.263,0.6154,0
0.4615,0.3813,0.9588,1
0.2342,0.3592,0.9505,0
0.5897,0.5872,0.9692,1
0.6429,0.3664,0.2836,1
0.3195,0.1289,0.6637,0
0.6831,0.9947,0.2594,1
0.4162,0.9891,0.6808,1
0.9558,0.5103,0.5795,1
0.6485,0.8241,0.0587,1
0.9678,0.9893,0.8633,1
0.119,0.188,0.1156,0
0.496,0.0426,0.6804,0
0.2566,0.2263,0.7947,0
0.8991,0.0125,0.1415,0
0.7362,0.3384,0.0658,0
0.3421,0.2481,0.1672,0
0.8342,0.7363,0.0774,1
0.9536,0.7465,0.9575,1
0.7718,0.7924,0.7428,1
0.037,0.5872,0.0411,0
0.5428,0.0077,0.4297,0
0.1884,0.8272,0.078,0
0.9057,0.0807,0.2266,0
0.6041,0.3735,0.3526,0
0.9459,0.03,0.066,0
0.3102,0.8204,0.0774,0
0.054,0.8155,0.5816,0
0.2947,0.3074,0.9785,0
0.5947,0.9822,0.9372,1
0.2728,0.2122,0.4721,0
0.957,0.7667,0.996,1
0.3148,0.9499,0.8998,1
0.7047,0.3972,0.8666,1
0.5093,0.828,0.5606,1
0.8163,0.0183,0.2982,0
0.7114,0.7487,0.81,1
0.3831,0.8993,0.7942,1
0.0334,0.7404,0.7971,0
0.8285,0.3685,0.4554,1
0.293,0.1085,0.9758,0
0.5339,0.7728,0.0309,0
0.2115,0.6243,0.7341,0
0.4537,0.5468,0.3962,0
0.8315,0.8454,0.1728,1
0.9991,0.8306,0.1505,1
0.1197,0.0476,0.4434,0
0.8731,0.7741,0.266,1
0.5262,0.1312,0.9108,0
0.9929,0.9935,0.283,1
0.3773,0.8433,0.54,1
0.0924,0.1965,0.8831,0
0.0901,0.06,0.2163,0
0.6909,0.6637,0.0837,0
0.8336,0.2293,0.8867,1
0.0887,0.0277,0.5796,0
0.4798,0.4933,0.1568,0
0.407,0.5399,0.8979,0
0.7094,0.2735,0.9961,1
0.6937,0.7992,0.5429,1
0.6323,0.2063,0.142,0
0.1502,0.3038,0.2491,0
0.6995,0.1056,0.3226,0
0.7107,0.7864,0.2486,1
0.2365,0.8315,0.2712,0
0.9031,0.2815,0.8704,1
0.8597,0.6267,0.3876,1
0.497,0.1946,0.37,0
0.0039,0.3494,0.5872,0
0.9845,0.4623,0.4412,1
0.9744,0.1582,0.6684,1
0.1283,0.0081,0.6049,0
0.8865,0.8508,0.8206,1
0.292,0.5489,0.6174,0
0.3569,0.2288,0.788,0
0.057,0.4508,0.1437,0
0.3069,0.3048,0.5152,0
0.1464,0.5634,0.5224,0
0.4676,0.4151,0.4451,0
0.9879,0.8867,0.9969,1
0.2086,0.6956,0.4349,0
0.7363,0.5609,0.3162,1
0.3752,0.9594,0.3109,0
0.4567,0.4868,0.5527,0
0.4816,0.7415,0.5159,1
0.1333,0.3521,0.5458,0
0.0736,0.652,0.0628,0
0.6876,0.5514,0.9083,1
0.2603,0.6183,0.5671,0
0.7618,0.6076,0.1063,1
0.0452,0.9045,0.7341,0
0.2649,0.462,0.4533,0
0.8592,0.9594,0.3379,1
0.6858,0.5559,0.2091,1
0.6745,0.3059,0.8342,1
0.0117,0.2214,0.7837,0
0.5349,0.9513,0.0106,1
0.8855,0.9889,0.6794,1
0.0131,0.5099,0.1308,0
0.0439,0.4304,0.5498,0
0.4867,0.2539,0.2049,0
0.4766,0.4114,0.8083,0
0.2126,0.524,0.2927,0
0.7833,0.5491,0.5248,1
0.2503,0.6331,0.4479,0
0.4094,0.3541,0.3027,0
0.444,0.5915,0.0019,0
0.7796,0.5037,0.3375,1
0.7117,0.0629,0.7882,1
0.5248,0.748,0.7712,1
