x1,x2,x3,label
0.1614,0.3265,0.851,0
0.0919,0.5556,0.9538,0
0.824,0.2938,0.6885,1
0.4608,0.8103,0.9474,1
0.6304,0.2645,0.9829,1
0.7441,0.2698,0.3245,1
0.9124,0.159,0.8651,1
0.3581,0.5073,0.4661,0
0.815,0.7003,0.6076,1
0.6667,0.6377,0.348,1
0.6899,0.3111,0.3891,0
0.7871,0.5036,0.454,1
0.1274,0.5569,0.0984,0
0.0885,0.5371,0.6401,0
0.5014,0.6529,0.5228,1
0.7202,0.2874,0.347,0
0.4684,0.7793,0.8086,1
0.3372,0.9891,0.5583,1
0.5657,0.7905,0.1333,1
0.5909,0.6827,0.9207,1
0.0147,0.4632,0.7438,0
0.7006,0.0566,0.9362,1
0.5011,0.6556,0.8914,1
0.825,0.0846,0.6781,1
0.5347,0.5676,0.5842,1
0.4009,0.2782,0.7837,0
0.5153,0.1708,0.0336,0
0.2192,0.5393,0.7151,0
0.8426,0.7025,0.5941,1
0.8191,0.085,0.705,1
0.5627,0.3311,0.759,1
0.6598,0.0448,0.5157,0
0.2255,0.5508,0.734,0
0.2013,0.7904,0.3625,0
0.8933,0.876,0.6863,1
0.2758,0.5836,0.5143,0
0.6942,0.2822,0.8258,1
0.6815,0.299,0.8525,1
0.0764,0.1251,0.8011,0
0.2722,0.7518,0.3092,0
0.3828,0.7956,0.6635,1
0.1101,0.6509,0.694,0
0.1728,0.2933,0.2883,0
0.0098,0.3443,0.3216,0
0.228,0.4001,0.7933,0
0.9506,0.7489,0.8364,1
0.1431,0.7347,0.3697,0
0.0688,0.5763,0.6822,0
0.6721,0.3173,0.2634,0
0.1185,0.6118,0.2356,0
0.2322,0.2574,0.4075,0
0.3533,0.8243,0.286,0
0.2271,0.8891,0.4761,0
0.7641,0.097,0.4609,0
0.0567,0.6591,0.9019,0
0.6507,0.3633,0.7042,1
0.7753,0.7187,0.909,1
0.0568,0.2167,0.6679,0
0.8394,0.4754,0.1086,1
0.5767,0.1993,0.2947,0
0.1932,0.1342,0.4981,0
0.898,0.4321,0.9587,1
0.6263,0.2841,0.2282,0
0.3363,0.9651,0.4169,0
0.3563,0.946,0.6144,1
0.6672,0.415,0.9383,1
0.9295,0.7408,0.8481,1
0.5722,0.118,0.1138,0
0.7596,0.0596,0.3308,0
0.9219,0.4528,0.8901,1
0.8898,0.0665,0.3471,1
0.4916,0.6492,0.3613,1
0.8691,0.8188,0.6978,1
0.4172,0.0184,0.6733,0
0.5193,0.9416,0.0951,1
0.4278,0.1897,0.8723,0
0.6929,0.4819,0.7491,1
0.7801,0.9807,0.1895,1
0.3607,0.6378,0.8334,0
0.9477,0.8154,0.0326,1
0.0221,0.7707,0.8981,0
0.0746,0.7554,0.0845,0
0.9634,0.5358,0.3222,1
0.6173,0.6325,0.1219,1
0.3284,0.165,0.3973,0
0.2151,0.3343,0.6538,0
0.8761,0.6374,0.8868,1
0.361,0.9588,0.8987,1
0.5406,0.9217,0.1538,1
0.3035,0.7968,0.7684,1
0.8832,0.9413,0.2297,1
0.9966,0.8769,0.359,1
0.2144,0.3522,0.1156,0
0.6913,0.8789,0.3482,1
0.867,0.4424,0.5958,1
0.8593,0.3667,0.8831,1
0.989,0.0796,0.9019,1
0.2815,0.2173,0.0266,0
0.6851,0.8366,0.0114,1
0.1055,0.4468,0.7914,0
0.3949,0.0703,0.3907,0
0.5007,0.1102,0.0456,0
0.8305,0.6711,0.5489,1
0.8572,0.6132,0.03,1
0.6052,0.6895,0.0143,0
0.9859,0.9704,0.969,1
0.2885,0.3297,0.9218,0
0.6491,0.1683,0.1903,0
0.5143,0.0821,0.9152,0
0.4761,0.5939,0.9646,1
0.0525,0.2802,0.9659,0
0.3938,0.5923,0.0088,0
0.0743,0.4891,0.9184,0
0.0587,0.4411,0.6747,0
0.0511,0.1315,0.8327,0
0.646,0.9045,0.2423,1
0.5446,0.3146,0.7969,1
0.309,0.7386,0.9685,1
0.9895,0.616,0.6686,1
0.0288,0.6031,0.5031,0
0.6981,0.1383,0.8199,1
0.0384,0.8282,0.614,0
0.1401,0.8211,0.1534,0
0.1581,0.9106,0.154,0
0.9822,0.1433,0.3746,1
0.0661,0.4685,0.7421,0
0.9314,0.4438,0.6357,1
0.0914,0.8493,0.3285,0
0.5795,0.0571,0.6711,0
0.7531,0.5375,0.8097,1
