x1,x2,x3
44.53,39.97,54.71
57.62,21.59,52.85
43.78,30.63,86.45
63.66,27.34,73.86
60.93,34.66,77.47
41.42,29.37,77.75
43.61,26.72,78.37
53.96,22.62,69.38
35.53,31.8,72.64
42.99,22.8,72.81
46.3,31.81,62.16
52.55,29.48,82.54
41.48,31.31,75.66
57.33,27.5,95.84
42.76,30.61,62.46
41.41,30.49,58.35
52.47,32.25,73.03
49.55,22.75,62.37
48.29,38.5,99.49
46.87,20.68,58.31
44.15,27.7,84.02
62.43,29.85,88.18
41.49,30.45,85.26
47.75,31.19,68.38
48.66,23.25,55.2
50.44,30.25,87.33
53.85,26.62,67.82
58.3,36.54,70.59
59.63,24.32,60.28
42.01,34.74,69.85
51.47,33.39,65.04
44.09,35.92,72.58
60.64,29.0,73.47
44.42,31.33,46.69
61.33,32.3,80.94
47.41,25.46,91.48
42.86,31.12,88.74
60.14,21.91,81.69
65.24,35.5,46.26
53.7,36.58,84.66
37.27,28.68,60.97
48.78,29.6,75.16
58.0,28.72,84.21
47.23,30.18,95.08
52.01,23.24,72.71
46.13,30.58,54.66
35.63,19.61,77.14
49.1,30.6,67.0
48.22,29.48,59.79
60.9,32.63,74.05
35.52,35.53,56.95
45.76,42.68,79.87
47.4,25.83,74.85
47.74,25.65,70.93
48.73,22.62,64.95
48.2,30.79,67.81
55.19,25.54,64.56
57.53,26.46,63.02
70.79,30.63,79.07
51.32,28.05,69.97
48.88,26.85,73.65
41.28,36.62,69.15
51.9,37.28,58.4
55.96,29.6,68.04
48.79,35.95,77.37
49.85,30.55,67.21
41.7,32.85,78.76
46.52,32.19,71.79
53.68,23.5,66.11
62.42,37.19,81.31
38.66,31.77,66.85
53.13,25.59,50.67
57.12,35.17,62.89
61.14,29.97,68.14
44.54,27.38,65.16
49.73,25.78,64.76
38.98,36.52,75.46
53.58,21.35,79.03
51.67,37.45,74.12
47.23,28.08,61.42
42.95,16.18,65.47
54.05,24.15,73.67
53.12,30.12,66.41
51.95,30.26,58.61
39.58,28.26,78.17
50.48,33.93,55.52
48.85,30.4,74.65
49.91,32.21,55.09
53.81,33.1,56.5
50.91,34.17,66.44
60.52,23.17,79.36
45.22,33.22,64.05
55.78,17.28,79.14
42.64,26.32,81.88
56.42,34.12,69.79
47.67,27.48,64.31
59.34,29.0,81.69
44.78,23.15,83.71
52.57,21.39,67.15
48.61,28.45,74.59
56.53,26.87,65.35
39.25,19.45,76.97
51.83,26.27,72.42
47.1,33.37,74.39
48.96,23.59,60.95
58.32,39.81,84.35
63.36,28.8,81.31
46.38,33.37,72.05
48.76,26.94,85.76
54.98,25.67,73.66
40.31,41.61,68.29
43.21,30.89,66.38
46.15,39.26,70.47
48.33,21.19,69.62
55.57,30.33,81.8
58.9,36.36,56.42
53.01,30.6,55.27
60.71,36.51,73.39
57.57,28.64,68.7
45.32,30.34,67.98
