x1,x2,x3,label
0.8615,0.3501,0.8873,1
0.0004,0.3053,0.4037,0
0.2835,0.0892,0.6897,0
0.4346,0.5112,0.3698,0
0.5425,0.4217,0.7658,0
0.014,0.4976,0.8444,0
0.2558,0.3924,0.9679,0
0.8736,0.311,0.4842,1
0.5853,0.6025,0.0785,0
0.8569,0.3392,0.0002,0
0.022,0.5117,0.7281,0
0.1783,0.1426,0.8505,0
0.3941,0.6788,0.9865,1
0.0505,0.4643,0.5068,0
0.6517,0.4184,0.8851,1
0.1658,0.6842,0.624,0
0.443,0.9156,0.0557,0
0.092,0.1718,0.292,0
0.2325,0.7934,0.7972,0
0.4497,0.8379,0.8542,1
0.6672,0.956,0.4347,1
0.7072,0.2493,0.0101,0
0.5695,0.8956,0.5287,1
0.4155,0.9459,0.9236,1
0.6323,0.7446,0.3353,1
0.2688,0.6177,0.1502,0
0.3667,0.0437,0.6084,0
0.4509,0.8093,0.7583,1
0.3279,0.2367,0.1498,0
0.7363,0.8836,0.4943,1
0.9078,0.4688,0.5864,1
0.6782,0.1956,0.812,1
0.8805,0.7336,0.8291,1
0.8415,0.7046,0.1939,1
0.669,0.1076,0.7582,0
0.1981,0.265,0.6246,0
0.7241,0.511,0.4802,1
0.8221,0.8607,0.1567,1
0.7848,0.1347,0.0684,0
0.504,0.8813,0.7282,1
0.2689,0.1711,0.8403,0
0.0384,0.2747,0.0082,0
0.0761,0.3467,0.5919,0
0.0926,0.62,0.2076,0
0.4487,0.774,0.2274,1
0.1808,0.0646,0.9769,0
0.0815,0.5012,0.4431,0
0.7435,0.7657,0.7241,1
0.4627,0.5503,0.8263,1
0.2876,0.1422,0.7366,0
0.0118,0.771,0.9327,0
0.9224,0.1283,0.296,1
0.154,0.4082,0.5666,0
0.0955,0.9187,0.9901,0
0.8665,0.8734,0.1283,1
0.0051,0.2952,0.5911,0
0.0211,0.9696,0.2934,0
0.5978,0.5956,0.3755,1
0.07,0.7868,0.9401,0
0.4182,0.7977,0.8032,1
0.1756,0.7835,0.1443,0
0.4303,0.33,0.9872,0
0.9702,0.7027,0.9433,1
0.5164,0.4176,0.776,0
0.774,0.3121,0.6306,1
0.7808,0.3158,0.2973,0
0.4823,0.7256,0.0039,0
0.7669,0.3677,0.4424,1
0.745,0.2713,0.5703,1
0.999,0.8411,0.4066,1
0.4132,0.8521,0.8987,1
0.1289,0.8542,0.578,0
0.5363,0.241,0.1591,0
0.845,0.8813,0.3244,1
0.2328,0.5097,0.2986,0
0.2203,0.7108,0.2408,0
0.2216,0.3554,0.7454,0
0.2064,0.86,0.5802,0
0.2213,0.9169,0.2725,0
0.4294,0.6846,0.806,1
0.1258,0.3746,0.3317,0
0.6372,0.4658,0.7406,1
0.9689,0.9984,0.9015,1
0.0739,0.6596,0.373,0
0.3842,0.3112,0.5176,0
0.5743,0.291,0.9171,1
0.6365,0.0967,0.8031,0
0.9053,0.1102,0.271,0
0.4288,0.4244,0.908,0
0.4511,0.1938,0.135,0
0.1764,0.6209,0.2334,0
0.0994,0.5291,0.2961,0
0.3428,0.8281,0.632,1
0.4035,0.9133,0.4143,0
0.2826,0.8559,0.5967,0
0.2425,0.6734,0.5218,0
0.3524,0.3992,0.172,0
0.8859,0.0925,0.7308,1
0.9334,0.6436,0.3362,1
0.4243,0.9596,0.9085,1
0.2689,0.1434,0.4344,0
0.7568,0.9823,0.6639,1
0.8838,0.1614,0.6229,1
0.0446,0.6874,0.0436,0
0.6763,0.2851,0.0371,0
0.9505,0.3038,0.8531,1
0.3273,0.8092,0.9872,1
0.3723,0.8304,0.8128,1
0.1107,0.7478,0.9921,0
0.8498,0.1196,0.5643,1
0.5758,0.3588,0.9904,1
0.3693,0.9781,0.5719,1
0.5052,0.6034,0.0188,0
0.7318,0.3968,0.214,1
0.501,0.2232,0.6208,0
0.9546,0.8901,0.531,1
0.2114,0.6703,0.4426,0
0.0001,0.311,0.7025,0
0.3416,0.6602,0.8177,0
0.5425,0.193,0.471,0
0.8436,0.6398,0.6474,1
0.7153,0.9614,0.4801,1
0.329,0.5941,0.2723,0
0.6336,0.8906,0.0491,1
0.0221,0.287,0.266,0
0.5001,0.3377,0.5521,0
0.9774,0.7784,0.1451,1
0.8034,0.0698,0.0884,0
0.2733,0.5018,0.3206,0
0.3913,0.3883,0.7639,0
0.1401,0.6361,0.7029,0
0.2468,0.5863,0.8348,0
0.3697,0.1053,0.5639,0
0.2784,0.6394,0.0395,0
0.2445,0.8363,0.391,0
0.3727,0.5608,0.7126,0
0.643,0.0223,0.7624,0
0.8173,0.2675,0.9967,1
0.8026,0.7229,0.2814,1
0.1746,0.2695,0.0921,0
0.8244,0.5831,0.4693,1
0.3888,0.2815,0.7576,0
0.9665,0.6888,0.1388,1
0.1726,0.3724,0.8071,0
0.7191,0.5367,0.4713,1
0.6887,0.6561,0.0292,1
0.4283,0.2562,0.848,0
0.1242,0.7988,0.1789,0
0.1246,0.264,0.1711,0
0.2331,0.3356,0.4999,0
0.5858,0.4778,0.62,0
0.9059,0.9402,0.2208,1
0.4837,0.7828,0.4474,1
0.8852,0.1989,0.1075,0
0.2371,0.7084,0.5201,0
0.4462,0.4894,0.5454,0
0.1566,0.0043,0.2919,0
0.7665,0.2306,0.8153,1
0.5995,0.9624,0.9001,1
0.8288,0.8341,0.3125,1
0.8984,0.7482,0.116,1
0.0766,0.5894,0.9439,0
0.5211,0.788,0.2207,1
0.4992,0.7334,0.204,1
0.4938,0.6405,0.6172,0
0.3547,0.6044,0.6766,0
0.9184,0.8618,0.7356,1
0.7685,0.6682,0.7484,1
0.1038,0.3877,0.6596,0
0.3755,0.021,0.1607,0
0.3725,0.4805,0.4638,0
0.4368,0.1007,0.4445,0
0.9344,0.359,0.7786,1
0.5209,0.7067,0.408,1
0.9311,0.1395,0.3327,1
0.8426,0.4128,0.8897,1
0.9944,0.2654,0.2656,1
0.7093,0.5562,0.4826,1
0.1713,0.5658,0.4605,0
0.8245,0.5605,0.3809,1
