x1,x2,x3,label
0.6275,0.1934,0.7033,0
0.8257,0.2022,0.1791,1
0.8049,0.7501,0.5612,1
0.7174,0.2871,0.9524,1
0.7904,0.591,0.6914,1
0.6227,0.1083,0.1408,0
0.5244,0.8042,0.1549,1
0.9766,0.2627,0.3217,1
0.5683,0.8073,0.9614,1
0.5093,0.463,0.708,1
0.1278,0.2107,0.9568,0
0.2837,0.6096,0.3692,0
0.8279,0.0085,0.959,0
0.703,0.8089,0.7672,1
0.6634,0.7122,0.5318,1
0.887,0.4195,0.7511,1
0.7741,0.7956,0.777,1
0.4289,0.0848,0.2247,0
0.459,0.8875,0.0865,1
0.8842,0.9276,0.7647,1
0.1233,0.9759,0.6714,1
0.8238,0.2447,0.9067,1
0.9853,0.3461,0.9518,1
0.4729,0.9355,0.0511,1
0.3543,0.0873,0.6996,0
0.9891,0.1528,0.2383,1
0.789,0.1698,0.1638,1
0.2636,0.4426,0.5953,0
0.3439,0.4228,0.4322,0
0.5203,0.8663,0.5173,1
0.2753,0.7327,0.4128,1
0.4782,0.3757,0.6417,0
0.6191,0.1691,0.9037,0
0.8732,0.7293,0.4837,1
0.9761,0.4672,0.1285,1
0.8338,0.6409,0.2943,1
0.4249,0.131,0.14,0
0.0278,0.6596,0.7925,0
0.5976,0.9484,0.6713,1
0.2695,0.4147,0.1158,0
0.5801,0.1142,0.3371,0
0.9316,0.9037,0.2569,1
0.5599,0.7709,0.533,1
0.5582,0.7135,0.503,1
0.5244,0.6903,0.5947,1
0.2034,0.4919,0.9533,0
0.7194,0.6362,0.3634,1
0.0635,0.2471,0.7074,0
0.6059,0.1202,0.8044,0
0.5679,0.0982,0.0004,0
0.3319,0.2397,0.9913,0
0.6517,0.8958,0.4929,1
0.205,0.2698,0.259,0
0.9167,0.7133,0.7692,1
0.3943,0.8417,0.8315,1
0.4162,0.2187,0.3466,0
0.7151,0.9291,0.0064,1
0.7672,0.099,0.1631,0
0.8414,0.1835,0.4258,1
0.6645,0.5297,0.3164,1
0.6254,0.7471,0.5287,1
0.0143,0.5131,0.2211,0
0.003,0.7185,0.6311,0
0.1626,0.5311,0.0449,0
0.9896,0.9022,0.4445,1
0.6481,0.6186,0.9821,1
0.881,0.054,0.5852,0
0.9223,0.82,0.1366,1
0.3696,0.5004,0.2172,0
0.945,0.8645,0.0586,1
0.2124,0.3823,0.3315,0
0.0286,0.6798,0.9331,0
0.2934,0.6164,0.149,0
0.5572,0.2638,0.2112,0
0.1934,0.1689,0.2397,0
0.8416,0.6583,0.9977,1
0.1072,0.4893,0.6893,0
0.9661,0.0029,0.4245,1
0.1003,0.645,0.2626,0
0.6844,0.8352,0.0273,1
