x1,x2,x3,label
0.499,0.9291,0.4776,1
0.6004,0.482,0.6788,1
0.4568,0.2209,0.7465,0
0.4027,0.1706,0.4123,0
0.1034,0.538,0.6187,0
0.3923,0.9378,0.7904,1
0.903,0.5876,0.2379,1
0.4797,0.0557,0.7728,0
0.4728,0.6727,0.6913,1
0.3879,0.5862,0.0038,1
0.5701,0.3363,0.6667,0
0.3582,0.2809,0.1068,0
0.0029,0.0441,0.473,0
0.2732,0.02,0.9473,0
0.2149,0.9468,0.895,1
0.0164,0.1349,0.0718,0
0.8128,0.9986,0.8602,1
0.1214,0.8179,0.3676,0
0.1871,0.2934,0.6126,0
0.3452,0.0831,0.7183,0
0.9577,0.6422,0.7654,1
0.2687,0.0183,0.1217,0
0.8387,0.8642,0.1547,1
0.9293,0.8874,0.6375,1
0.749,0.8801,0.8844,1
0.7084,0.4873,0.7873,1
0.5349,0.5924,0.9311,1
0.6329,0.7753,0.786,1
0.8698,0.5725,0.7563,1
0.3978,0.0594,0.5859,0
0.3146,0.248,0.2362,0
0.5847,0.9656,0.7205,1
0.9518,0.7496,0.1378,1
0.9784,0.4581,0.4401,1
0.3648,0.279,0.6905,0
0.3,0.577,0.8367,0
0.2654,0.3588,0.6472,0
0.2684,0.3835,0.7256,0
0.6847,0.122,0.327,0
0.7393,0.1309,0.8678,0
0.1749,0.404,0.763,0
0.1669,0.7165,0.1325,0
0.1631,0.6586,0.3109,0
0.2762,0.2059,0.7801,0
0.696,0.2987,0.5986,1
0.0345,0.7928,0.5712,0
0.1214,0.0286,0.4242,0
0.7558,0.1102,0.6873,0
0.7788,0.004,0.0792,0
0.3071,0.3755,0.7487,0
0.2323,0.3189,0.0153,0
0.0015,0.0555,0.5934,0
0.8158,0.9236,0.9526,1
0.0092,0.0679,0.9022,0
0.7525,0.6669,0.7362,1
0.3583,0.9159,0.535,1
0.2929,0.2748,0.1895,0
0.2149,0.1511,0.6896,0
0.9363,0.2928,0.9969,1
0.9638,0.0542,0.9722,1
0.228,0.9515,0.5783,1
0.2655,0.7219,0.847,1
0.5631,0.0932,0.5959,0
0.7791,0.5035,0.6222,1
0.8669,0.4477,0.6795,1
0.5592,0.4407,0.9098,1
0.5464,0.2752,0.2947,0
0.6968,0.9424,0.473,1
0.4768,0.0409,0.1728,0
0.9694,0.3708,0.1588,1
0.8587,0.2186,0.0824,1
0.6414,0.1894,0.2639,0
0.2351,0.941,0.8727,1
0.011,0.9243,0.2363,0
0.8415,0.7302,0.1892,1
0.808,0.6351,0.7282,1
0.373,0.8936,0.462,1
0.0443,0.6828,0.8327,0
0.8644,0.4863,0.2351,1
0.9063,0.4525,0.3163,1
