x1,x2,x3,label
0.9278,0.8316,0.6616,1
0.9336,0.2504,0.4446,1
0.8917,0.3896,0.2699,1
0.8845,0.1685,0.5147,1
0.7067,0.5931,0.4149,1
0.8167,0.7379,0.6781,1
0.8809,0.1257,0.9576,1
0.529,0.8651,0.2323,1
0.7292,0.293,0.6418,1
0.8026,0.1878,0.683,1
0.5902,0.984,0.8284,1
0.022,0.0775,0.097,0
0.9358,0.5437,0.4701,1
0.7992,0.3885,0.6288,1
0.6493,0.6165,0.1057,1
0.5483,0.3327,0.8684,0
0.8435,0.282,0.0488,1
0.7119,0.1281,0.3364,0
0.3925,0.9486,0.482,1
0.8866,0.0036,0.2945,0
0.5444,0.0117,0.1212,0
0.43,0.6586,0.384,1
0.7131,0.4886,0.1956,1
0.1889,0.0484,0.9097,0
0.7385,0.2937,0.0711,1
0.0949,0.3991,0.0236,0
0.6299,0.7104,0.3802,1
0.3988,0.8693,0.2564,1
0.464,0.1053,0.5589,0
0.373,0.8281,0.7295,1
0.94,0.6083,0.665,1
0.9255,0.6417,0.2017,1
0.7473,0.7945,0.0923,1
0.2436,0.4181,0.6646,0
0.9124,0.7948,0.0062,1
0.0479,0.7789,0.9359,0
0.0681,0.2319,0.0631,0
0.0751,0.7106,0.9023,0
0.2924,0.9005,0.1028,1
0.7744,0.9031,0.6136,1
0.0894,0.3697,0.7388,0
0.1011,0.6374,0.2751,0
0.1828,0.4929,0.7045,0
0.7792,0.5554,0.9987,1
0.2362,0.7272,0.5626,1
0.8554,0.3312,0.2591,1
0.2014,0.9024,0.3828,1
0.3827,0.9982,0.6012,1
0.0945,0.7274,0.4411,0
0.9169,0.4238,0.0325,1
0.9343,0.2039,0.7955,1
0.8764,0.7655,0.5165,1
0.9157,0.4662,0.5496,1
0.2667,0.9355,0.6562,1
0.4428,0.1234,0.2183,0
0.1034,0.0937,0.5764,0
0.3913,0.1117,0.1814,0
0.5079,0.9581,0.8412,1
0.5481,0.4547,0.8952,1
0.614,0.3157,0.9454,0
0.5695,0.7447,0.0913,1
0.7711,0.4632,0.3128,1
0.1369,0.2478,0.6119,0
0.0988,0.131,0.3487,0
0.0465,0.9166,0.0978,1
0.122,0.1911,0.2681,0
0.3337,0.9707,0.0943,1
0.2777,0.1636,0.8899,0
0.466,0.6299,0.3474,1
0.0749,0.6755,0.1176,0
0.5324,0.6666,0.201,1
0.577,0.0736,0.8751,0
0.6922,0.8391,0.0716,1
0.8181,0.4953,0.5699,1
0.3268,0.7604,0.9583,1
0.4416,0.2997,0.5382,0
0.9757,0.2507,0.2286,1
0.6668,0.9931,0.1212,1
0.9539,0.0114,0.5094,1
0.1607,0.4448,0.535,0
