time,value
1,117.4
2,108.69
3,109.26
4,85.73
5,108.49
6,121.22
7,116.33
8,124.26
9,98.13
10,108.67
11,120.54
12,121.95
13,115.69
14,123.83
15,122.31
16,131.58
17,135.86
18,133.92
19,140.56
20,131.25
21,130.28
22,139.47
23,147.28
24,139.07
25,145.64
26,148.91
27,142.56
28,148.87
29,146.27
30,147.33
31,154.05
32,160.57
33,161.21
34,164.71
35,164.53
36,163.35
37,155.94
38,157.97
39,153.96
40,165.77
41,170.89
42,171.76
43,181.31
44,187.37
45,174.02
46,184.27
47,185.18
48,187.84
49,185.04
50,176.42
51,194.92
52,199.62
53,200.76
54,184.47
55,202.93
56,209.18
57,203.65
58,188.21
59,217.73
60,205.69
