x1,x2,x3,label
0.9892,0.0661,0.5477,1
0.7287,0.8563,0.5301,1
0.7635,0.6553,0.1683,1
0.6776,0.1813,0.7064,0
0.102,0.8878,0.2098,1
0.2236,0.4356,0.4793,0
0.4113,0.1088,0.966,0
0.7744,0.6489,0.9322,1
0.8735,0.6231,0.087,1
0.042,0.2822,0.6924,0
0.2982,0.7314,0.036,1
0.7042,0.6155,0.893,1
0.71,0.4589,0.6559,1
0.1807,0.5646,0.8735,0
0.405,0.9322,0.4617,1
0.0565,0.6807,0.945,0
0.163,0.7157,0.062,0
0.3133,0.4732,0.9688,0
0.5941,0.6552,0.0468,1
0.1383,0.6979,0.4571,0
0.9654,0.3364,0.2008,1
0.8893,0.8072,0.5853,1
0.6845,0.5291,0.6217,1
0.7382,0.0998,0.4176,0
0.7672,0.0217,0.8735,0
0.4517,0.0885,0.5364,0
0.1072,0.4786,0.7859,0
0.649,0.8996,0.8953,1
0.5302,0.4569,0.4458,1
0.9932,0.5646,0.6202,1
0.562,0.7185,0.9735,1
0.3873,0.0224,0.2356,0
0.0299,0.5127,0.5489,0
0.305,0.4967,0.9177,0
0.0859,0.008,0.7061,0
0.3652,0.5461,0.2038,0
0.8659,0.5929,0.4378,1
0.5375,0.046,0.4413,0
0.6792,0.7886,0.1512,1
0.1128,0.0256,0.7904,0
0.9532,0.0865,0.8057,1
0.7509,0.2488,0.842,1
0.1415,0.0838,0.8616,0
0.9318,0.8806,0.6757,1
0.7585,0.9912,0.7946,1
0.7048,0.7567,0.8286,1
0.7132,0.508,0.5062,1
0.2362,0.6346,0.683,0
0.9691,0.2522,0.1206,1
0.4174,0.6609,0.3998,1
0.7912,0.8642,0.0327,1
0.4838,0.0261,0.0156,0
0.356,0.0663,0.2859,0
0.3245,0.0486,0.0809,0
0.0126,0.2759,0.1779,0
0.346,0.9961,0.5923,1
0.5432,0.0516,0.7089,0
0.6647,0.0296,0.6311,0
0.3729,0.5078,0.9569,0
0.4381,0.2657,0.6831,0
0.3615,0.8269,0.3814,1
0.2369,0.3244,0.2662,0
0.4662,0.6032,0.3306,1
0.7429,0.1204,0.6404,0
0.067,0.7841,0.2034,0
0.8452,0.5651,0.1394,1
0.6001,0.7992,0.2632,1
0.6121,0.3099,0.3424,0
0.4113,0.8079,0.8337,1
0.7466,0.1102,0.7971,0
0.5435,0.1783,0.6377,0
0.5456,0.9494,0.0265,1
0.8277,0.2792,0.6133,1
0.1456,0.5641,0.2144,0
0.6372,0.0661,0.7815,0
0.4511,0.951,0.4949,1
0.689,0.7351,0.1251,1
0.6476,0.7734,0.5933,1
0.515,0.6344,0.7996,1
0.5228,0.4274,0.8273,1
