time,value
1,98.48
2,114.15
3,102.58
4,105.56
5,101.13
6,118.7
7,103.11
8,114.14
9,122.16
10,126.39
11,115.77
12,132.98
13,126.01
14,124.0
15,126.72
16,140.35
17,121.61
18,129.42
19,136.49
20,137.08
21,144.68
22,150.53
23,134.11
24,152.31
25,135.44
26,158.08
27,147.87
28,137.68
29,160.47
30,160.1
31,166.37
32,159.18
33,161.89
34,163.5
35,160.03
36,149.0
37,171.41
38,177.68
39,173.05
40,175.63
41,180.57
42,183.58
43,188.09
44,179.38
45,192.39
46,187.65
47,187.82
48,182.85
49,189.31
50,185.17
51,189.63
52,205.41
53,176.2
54,207.88
55,185.85
56,195.63
57,201.91
58,218.3
59,204.46
60,209.77
