x1,x2,x3,label
0.9567,0.7633,0.1505,1
0.4859,0.063,0.3175,0
0.6231,0.5443,0.1164,1
0.821,0.3216,0.9378,1
0.1429,0.5945,0.9642,0
0.9278,0.7392,0.1892,1
0.4966,0.1421,0.9357,0
0.6799,0.7329,0.5731,1
0.695,0.8908,0.8983,1
0.1557,0.6341,0.3112,0
0.7027,0.3763,0.5585,1
0.8751,0.1135,0.2437,1
0.5778,0.5341,0.6457,1
0.276,0.4056,0.7301,0
0.1337,0.5115,0.8984,0
0.7032,0.6047,0.2587,1
0.0222,0.4978,0.9619,0
0.091,0.6814,0.6303,0
0.6813,0.1812,0.6539,0
0.1053,0.6387,0.0853,0
0.4844,0.4191,0.6629,0
0.8148,0.5768,0.9723,1
0.4593,0.9575,0.054,1
0.1314,0.4174,0.7566,0
0.826,0.1024,0.6606,0
0.4966,0.5924,0.7026,1
0.8977,0.4678,0.7042,1
0.9725,0.6093,0.7299,1
0.6519,0.3338,0.723,1
0.3756,0.5623,0.0387,0
0.2074,0.8238,0.3595,1
0.5511,0.2407,0.0369,0
0.226,0.0203,0.1786,0
0.6071,0.6664,0.9345,1
0.1514,0.0499,0.1763,0
0.1362,0.0018,0.7957,0
0.3315,0.4655,0.3152,0
0.7983,0.4243,0.7482,1
0.1501,0.9896,0.3196,1
0.0174,0.7919,0.5429,0
0.6419,0.1875,0.3633,0
0.3759,0.1425,0.0465,0
0.4399,0.5875,0.0802,1
0.4945,0.2473,0.5473,0
0.3515,0.3265,0.61,0
0.9437,0.2048,0.0317,1
0.6972,0.8238,0.4403,1
0.5202,0.5654,0.7931,1
0.1896,0.9809,0.2827,1
0.0441,0.3813,0.0348,0
0.7119,0.9086,0.2468,1
0.2168,0.4965,0.1974,0
0.8523,0.3427,0.5491,1
0.0996,0.2129,0.619,0
0.4051,0.0098,0.4882,0
0.8295,0.3466,0.7879,1
0.7742,0.7757,0.4925,1
0.3211,0.6863,0.9728,1
0.7681,0.2703,0.5307,1
0.1693,0.7089,0.8908,0
0.7608,0.0592,0.5762,0
0.0683,0.5228,0.7128,0
0.5847,0.4928,0.1809,1
0.9358,0.5439,0.0377,1
0.5123,0.979,0.6471,1
0.8239,0.0781,0.3398,0
0.8502,0.8275,0.8407,1
0.1934,0.5293,0.3281,0
0.3181,0.184,0.2374,0
0.5858,0.8939,0.478,1
0.2285,0.393,0.1604,0
0.5904,0.7567,0.7349,1
0.9337,0.1231,0.2541,1
0.2236,0.1257,0.0525,0
0.6781,0.0749,0.6143,0
0.6462,0.501,0.9587,1
0.9127,0.5537,0.0612,1
0.6445,0.2654,0.7279,0
0.9998,0.474,0.7075,1
0.2279,0.2509,0.9615,0
