time,value
1,104.62
2,86.76
3,108.96
4,110.58
5,122.33
6,111.58
7,104.62
8,106.24
9,116.03
10,106.48
11,123.52
12,108.39
13,117.2
14,122.14
15,108.9
16,117.95
17,123.37
18,127.36
19,146.05
20,126.31
21,132.34
22,144.71
23,136.17
24,142.16
25,131.07
26,151.34
27,139.84
28,136.68
29,161.39
30,166.67
31,148.52
32,164.49
33,166.48
34,159.63
35,164.18
36,158.96
37,168.06
38,169.12
39,172.01
40,159.96
41,189.65
42,172.04
43,176.34
44,173.81
45,186.65
46,171.3
47,173.97
48,184.2
49,194.47
50,187.07
51,196.61
52,186.89
53,199.13
54,190.41
55,183.21
56,199.97
57,203.16
58,203.03
59,213.4
60,187.21
