x1,x2,x3
43.06,28.52,63.12
47.52,38.99,68.33
60.39,34.52,62.06
51.77,26.36,70.25
57.38,32.01,70.73
44.57,32.14,72.7
65.72,32.96,81.88
37.84,22.22,82.34
57.54,27.2,52.17
54.12,33.67,73.52
41.96,28.98,60.67
50.52,25.78,68.59
46.65,25.86,60.29
41.75,33.19,65.6
44.78,31.88,56.76
56.55,27.58,56.55
56.27,29.97,64.35
36.95,28.91,92.57
55.78,22.33,69.75
45.88,29.68,73.82
59.94,30.88,60.42
45.43,25.77,64.98
59.67,24.1,65.39
38.87,30.52,79.15
43.7,31.26,62.24
51.29,34.4,81.39
40.93,35.74,68.93
48.39,20.59,88.27
59.55,31.6,72.06
44.73,34.19,76.98
57.34,37.85,48.37
49.48,28.65,66.38
44.38,32.23,67.02
53.22,24.68,57.2
51.85,29.74,57.57
47.8,30.04,71.44
63.16,33.21,65.39
48.98,28.9,75.99
54.37,36.15,66.52
54.62,14.99,71.35
40.14,29.18,80.11
51.82,31.0,68.73
43.78,34.08,68.13
40.35,29.22,46.12
47.5,31.21,77.05
39.31,36.86,57.23
43.09,39.05,72.28
59.47,31.4,58.6
45.39,28.42,66.0
46.92,30.98,73.21
54.23,37.61,84.95
55.75,38.67,75.0
48.08,25.64,61.06
48.31,29.3,61.78
44.73,28.9,69.9
42.99,29.55,90.68
37.5,23.77,75.36
55.78,34.99,49.08
52.62,41.1,72.74
58.9,25.0,72.6
40.57,37.92,63.69
41.83,31.01,90.6
56.16,25.59,73.45
46.59,32.05,73.56
52.4,30.04,52.5
45.53,32.37,77.33
52.66,29.73,100.66
52.21,28.1,76.86
47.62,30.43,76.15
39.13,28.7,69.39
44.66,30.0,81.19
48.23,24.28,58.33
54.42,23.93,62.46
54.32,21.32,68.2
54.18,31.95,86.92
61.1,31.04,71.3
46.44,31.64,88.06
50.08,31.42,70.03
72.6,39.41,70.6
51.6,36.18,73.7
56.67,25.15,65.68
52.77,39.21,49.05
44.37,28.26,72.33
48.23,27.0,62.19
57.95,34.5,73.02
37.63,32.83,59.46
55.91,34.8,62.89
69.98,36.43,62.03
42.9,30.95,57.34
58.34,31.64,45.89
58.65,26.67,67.35
49.48,34.17,53.15
44.96,29.22,69.93
47.47,27.31,57.19
72.28,22.0,58.51
34.06,27.9,78.7
41.56,23.98,93.78
47.17,30.35,71.2
42.25,38.31,65.36
35.51,26.4,71.56
40.52,33.13,70.53
42.18,33.09,63.73
32.64,40.58,63.88
51.62,35.05,71.79
66.23,34.41,66.4
45.0,27.49,77.77
46.42,28.04,77.73
45.16,34.42,61.44
61.34,29.26,68.05
47.72,27.02,73.21
53.76,29.22,60.21
38.54,21.23,64.63
45.3,23.07,77.69
35.15,27.12,57.54
57.19,25.57,65.85
58.92,35.9,64.57
53.05,31.05,76.82
61.43,33.39,89.48
40.62,34.99,58.62
36.79,34.36,80.33
