x1,x2,x3,label
0.9161,0.2774,0.9865,1
0.1724,0.4513,0.2545,0
0.6973,0.0073,0.9358,0
0.8543,0.525,0.1434,1
0.0763,0.587,0.1254,0
0.4525,0.9293,0.3774,1
0.0438,0.8586,0.0534,0
0.7899,0.3144,0.0519,1
0.6475,0.8779,0.2636,1
0.5423,0.48,0.178,1
0.4473,0.7948,0.5219,1
0.8447,0.5206,0.3935,1
0.4596,0.0356,0.6742,0
0.7978,0.0847,0.684,0
0.8693,0.7254,0.6284,1
0.9868,0.204,0.724,1
0.4177,0.2676,0.337,0
0.2991,0.4066,0.3537,0
0.8306,0.4107,0.6647,1
0.9159,0.7042,0.4289,1
0.185,0.2197,0.1792,0
0.1613,0.9813,0.399,1
0.8597,0.7105,0.3264,1
0.2856,0.3545,0.7778,0
0.6532,0.8909,0.7036,1
0.1199,0.0578,0.4377,0
0.0714,0.2144,0.4076,0
0.0172,0.2095,0.5526,0
0.3599,0.9872,0.8193,1
0.7924,0.7349,0.601,1
0.9827,0.0706,0.8587,1
0.4201,0.7349,0.1527,1
0.7615,0.439,0.7299,1
0.7966,0.8138,0.9919,1
0.6865,0.8497,0.8959,1
0.4281,0.7021,0.4606,1
0.8624,0.3107,0.3385,1
0.21,0.2017,0.9346,0
0.1494,0.3339,0.7079,0
0.1918,0.6264,0.7868,0
0.0274,0.5993,0.7809,0
0.0072,0.0188,0.4792,0
0.4243,0.6501,0.7489,1
0.8915,0.5652,0.9882,1
0.4136,0.9765,0.8764,1
0.3151,0.4556,0.1343,0
0.225,0.6915,0.7997,0
0.8397,0.7895,0.2222,1
0.8046,0.375,0.4875,1
0.3739,0.2358,0.3231,0
0.4448,0.6384,0.9762,1
0.3183,0.3296,0.7489,0
0.5274,0.0861,0.6364,0
0.6543,0.7399,0.864,1
0.9784,0.3325,0.0724,1
0.7534,0.8074,0.3482,1
0.8568,0.067,0.246,0
0.5868,0.1083,0.16,0
0.6167,0.6551,0.8132,1
0.8125,0.6787,0.8437,1
0.2474,0.0294,0.9083,0
0.1958,0.0585,0.4485,0
0.0434,0.6182,0.2629,0
0.8321,0.6075,0.5907,1
0.1424,0.4586,0.1781,0
0.9093,0.8925,0.083,1
0.3439,0.6824,0.9481,1
0.1687,0.4755,0.0682,0
0.2237,0.0081,0.4719,0
0.0254,0.4449,0.6273,0
0.9092,0.8066,0.8312,1
0.6144,0.7432,0.7452,1
0.076,0.8302,0.2251,0
0.2653,0.0116,0.9047,0
0.06,0.8654,0.1724,0
0.1015,0.43,0.978,0
0.9349,0.7887,0.3181,1
0.623,0.592,0.1335,1
0.5761,0.7102,0.068,1
0.9999,0.8071,0.1176,1
