x1,x2,x3,label
0.0659,0.8886,0.6819,1
0.0134,0.3058,0.8023,0
0.6933,0.4264,0.0426,1
0.2355,0.7322,0.777,1
0.1874,0.9028,0.0817,1
0.429,0.8676,0.8771,1
0.2885,0.6866,0.996,1
0.312,0.066,0.6005,0
0.5058,0.2911,0.3637,0
0.7692,0.9557,0.3641,1
0.5864,0.5829,0.0251,1
0.7175,0.1173,0.6985,0
0.8081,0.469,0.0353,1
0.7277,0.0894,0.8138,0
0.9458,0.0775,0.1323,1
0.7352,0.9741,0.6944,1
0.0388,0.7433,0.4548,0
0.2921,0.4451,0.2173,0
0.6896,0.9006,0.7157,1
0.9452,0.5747,0.0458,1
0.8433,0.71,0.8037,1
0.9685,0.7683,0.6941,1
0.0346,0.4086,0.314,0
0.6788,0.7372,0.6064,1
0.9221,0.2573,0.6861,1
0.3343,0.9295,0.0382,1
0.0772,0.761,0.0585,0
0.1755,0.1643,0.5687,0
0.5743,0.6263,0.7213,1
0.1636,0.6796,0.608,0
0.4737,0.8447,0.2103,1
0.2255,0.6707,0.2439,0
0.263,0.4924,0.0612,0
0.0695,0.6042,0.5155,0
0.6034,0.4498,0.2161,1
0.0829,0.4111,0.7336,0
0.5424,0.2696,0.0126,0
0.3392,0.7511,0.8322,1
0.424,0.6364,0.0121,1
0.6485,0.7377,0.1017,1
0.5864,0.0818,0.0823,0
0.3846,0.9194,0.9453,1
0.7822,0.478,0.8294,1
0.1806,0.609,0.5344,0
0.9218,0.0863,0.283,1
0.859,0.8262,0.8909,1
0.5578,0.4853,0.3073,1
0.7912,0.0215,0.0771,0
0.2836,0.7658,0.6201,1
0.4742,0.0201,0.8378,0
0.2978,0.662,0.8941,1
0.3708,0.41,0.661,0
0.0372,0.0141,0.9409,0
0.7941,0.5503,0.8421,1
0.7193,0.7019,0.2528,1
0.7058,0.3855,0.242,1
0.6642,0.4233,0.3428,1
0.1994,0.2731,0.7544,0
0.3121,0.7221,0.2245,1
0.2615,0.7157,0.8961,1
0.6618,0.7072,0.8806,1
0.453,0.0925,0.7038,0
0.5142,0.6324,0.0337,1
0.7103,0.379,0.5307,1
0.9309,0.2988,0.5242,1
0.8213,0.4283,0.6287,1
0.0971,0.8529,0.7129,0
0.6281,0.8049,0.2761,1
0.006,0.2926,0.2705,0
0.1315,0.1519,0.1354,0
0.0798,0.7469,0.0944,0
0.2931,0.8417,0.7823,1
0.4796,0.8846,0.5459,1
0.8257,0.5566,0.7166,1
0.4289,0.572,0.0247,1
0.4425,0.4524,0.9858,0
0.4596,0.4195,0.4263,0
0.8962,0.6653,0.3527,1
0.5499,0.6695,0.0713,1
0.7234,0.6507,0.4039,1
