time,value
1,116.01
2,110.0
3,118.35
4,108.59
5,102.77
6,105.49
7,115.47
8,130.09
9,123.65
10,107.23
11,114.41
12,116.39
13,116.93
14,132.27
15,120.69
16,115.79
17,144.07
18,136.81
19,135.62
20,134.83
21,152.2
22,148.87
23,140.19
24,136.16
25,137.38
26,147.74
27,158.07
28,152.12
29,170.97
30,144.15
31,161.83
32,162.96
33,157.64
34,159.26
35,160.1
36,183.28
37,166.46
38,164.49
39,166.51
40,161.1
41,176.45
42,166.98
43,195.0
44,190.23
45,169.38
46,177.99
47,177.42
48,186.46
49,191.8
50,187.99
51,189.88
52,197.73
53,199.79
54,195.92
55,195.54
56,208.73
57,195.77
58,205.47
59,194.21
60,208.55
