x1,x2,x3,label
0.0128,0.1782,0.6449,0
0.3454,0.2235,0.0114,0
0.0066,0.8454,0.3691,0
0.6391,0.269,0.0626,0
0.4812,0.9505,0.884,1
0.9168,0.6532,0.0391,1
0.73,0.5024,0.5332,1
0.7312,0.9491,0.0992,1
0.2979,0.8142,0.6283,1
0.3913,0.9198,0.8239,1
0.4182,0.1416,0.1251,0
0.5414,0.0583,0.2708,0
0.6989,0.0791,0.3244,0
0.9997,0.2692,0.6032,1
0.6596,0.0958,0.9897,0
0.3439,0.659,0.1994,1
0.6078,0.7633,0.2471,1
0.2207,0.8375,0.008,1
0.9225,0.4492,0.6114,1
0.9624,0.3178,0.6978,1
0.2745,0.1855,0.3662,0
0.0264,0.6021,0.5106,0
0.0246,0.0036,0.8694,0
0.4926,0.8401,0.838,1
0.4561,0.7574,0.1256,1
0.862,0.8981,0.3387,1
0.606,0.2702,0.6439,0
0.4124,0.8205,0.2975,1
0.1239,0.8241,0.566,0
0.1476,0.1879,0.1036,0
0.3737,0.2369,0.1076,0
0.494,0.9738,0.2798,1
0.4865,0.4151,0.592,0
0.0989,0.4607,0.3272,0
0.6394,0.8092,0.3957,1
0.8977,0.7291,0.0828,1
0.7335,0.0634,0.3145,0
0.7755,0.8418,0.2205,1
0.7842,0.9435,0.3065,1
0.0961,0.4073,0.6122,0
0.3929,0.0293,0.9371,0
0.0708,0.8821,0.4877,1
0.5981,0.182,0.1203,0
0.6747,0.9153,0.4103,1
0.828,0.4807,0.2395,1
0.6057,0.6912,0.2639,1
0.2881,0.9102,0.572,1
0.5805,0.1444,0.1859,0
0.1699,0.4985,0.9179,0
0.8245,0.4888,0.9996,1
0.1323,0.469,0.1386,0
0.6472,0.6472,0.8631,1
0.3466,0.5812,0.9888,0
0.6733,0.6547,0.4828,1
0.7849,0.6027,0.0068,1
0.2017,0.8509,0.6559,1
0.6767,0.7414,0.5234,1
0.6886,0.7261,0.1633,1
0.804,0.261,0.8556,1
0.5446,0.1799,0.1606,0
0.8225,0.2783,0.296,1
0.8504,0.4267,0.941,1
0.6412,0.9469,0.794,1
0.9778,0.2766,0.6635,1
0.3951,0.979,0.0321,1
0.4964,0.3669,0.0938,0
0.8766,0.9342,0.0607,1
0.7614,0.6868,0.5523,1
0.9804,0.317,0.2079,1
0.8074,0.1287,0.3211,0
0.3275,0.8112,0.9803,1
0.0795,0.5895,0.062,0
0.5767,0.5241,0.3289,1
0.4977,0.1627,0.4334,0
0.2502,0.1305,0.063,0
0.308,0.3864,0.7649,0
0.5611,0.6912,0.5911,1
0.389,0.4434,0.4179,0
0.496,0.2919,0.1312,0
0.889,0.2197,0.6851,1
