x1,x2,x3,label
0.1177,0.2424,0.694,0
0.9879,0.7969,0.0577,1
0.512,0.4401,0.4933,1
0.1271,0.7813,0.3437,0
0.7256,0.9713,0.1297,1
0.9052,0.6667,0.4792,1
0.3924,0.6209,0.1555,1
0.5632,0.6075,0.4026,1
0.5696,0.5729,0.5946,1
0.4533,0.3281,0.9947,0
0.041,0.7997,0.7091,0
0.5238,0.1469,0.6399,0
0.8367,0.1959,0.9983,1
0.1143,0.0393,0.6127,0
0.1984,0.9415,0.9981,1
0.571,0.2413,0.9387,0
0.0783,0.5911,0.9506,0
0.9312,0.0015,0.0586,0
0.3192,0.2254,0.4427,0
0.5154,0.232,0.7491,0
0.8526,0.4023,0.3573,1
0.1998,0.1656,0.957,0
0.8886,0.4646,0.4076,1
0.7378,0.8298,0.0773,1
0.2556,0.583,0.1672,0
0.5429,0.399,0.225,0
0.7712,0.1912,0.2974,1
0.4484,0.8389,0.5832,1
0.5863,0.0249,0.7115,0
0.7166,0.7348,0.9659,1
0.8941,0.5318,0.3078,1
0.1091,0.116,0.649,0
0.242,0.774,0.7022,1
0.3615,0.8121,0.1083,1
0.7674,0.3267,0.3384,1
0.7242,0.3826,0.4861,1
0.073,0.6545,0.5873,0
0.7951,0.8784,0.8972,1
0.1245,0.2184,0.4966,0
0.4996,0.4612,0.5235,1
0.5119,0.1891,0.2101,0
0.1,0.5298,0.1728,0
0.501,0.2669,0.0737,0
0.0814,0.2621,0.9531,0
0.3351,0.7696,0.8974,1
0.6847,0.1439,0.8812,0
0.3615,0.2824,0.6298,0
0.9108,0.5328,0.3114,1
0.6866,0.2723,0.6719,1
0.1008,0.3697,0.4736,0
0.2603,0.2255,0.4719,0
0.1396,0.0674,0.7755,0
0.5061,0.6073,0.2691,1
0.3831,0.6793,0.8596,1
0.2813,0.87,0.9338,1
0.196,0.1783,0.6521,0
0.306,0.4326,0.9574,0
0.9391,0.842,0.6589,1
0.3429,0.4302,0.5223,0
0.0647,0.2446,0.3839,0
0.1001,0.0998,0.5803,0
0.0285,0.8308,0.3116,0
0.7548,0.5893,0.7858,1
0.2393,0.748,0.9534,1
0.9472,0.6253,0.4772,1
0.3415,0.3935,0.2656,0
0.0005,0.6699,0.9377,0
0.5968,0.0702,0.124,0
0.2121,0.1851,0.4381,0
0.7744,0.7539,0.343,1
0.631,0.0948,0.7137,0
0.9496,0.5736,0.0581,1
0.3052,0.0297,0.7899,0
0.8185,0.1591,0.9412,1
0.8454,0.7272,0.7163,1
0.0986,0.9647,0.9587,1
0.1352,0.7958,0.8758,0
0.1976,0.6243,0.6104,0
0.9919,0.9526,0.5339,1
0.8327,0.6829,0.4999,1
