x1,x2,x3,label
0.8956,0.9074,0.2587,1
0.0932,0.6342,0.6879,0
0.5827,0.6675,0.9473,1
0.6353,0.1055,0.5357,0
0.1069,0.0532,0.5302,0
0.6742,0.5494,0.9594,1
0.1671,0.9135,0.2381,1
0.0233,0.9654,0.2668,1
0.4523,0.3721,0.8708,0
0.4835,0.4188,0.9023,0
0.1579,0.4075,0.1226,0
0.8873,0.5334,0.1919,1
0.8121,0.1128,0.3105,0
0.4456,0.2994,0.333,0
0.2704,0.1023,0.2327,0
0.9391,0.9874,0.8205,1
0.6194,0.4528,0.2525,1
0.7573,0.3425,0.4017,1
0.8409,0.2163,0.464,1
0.9083,0.0601,0.3941,1
0.0476,0.5695,0.0446,0
0.9237,0.0577,0.9981,1
0.6306,0.4551,0.3853,1
0.5286,0.9141,0.099,1
0.9393,0.6581,0.7529,1
0.1658,0.5553,0.2825,0
0.1338,0.0492,0.0249,0
0.3972,0.9986,0.3148,1
0.1048,0.7672,0.858,0
0.4237,0.6121,0.9988,1
0.3834,0.8346,0.9124,1
0.0306,0.3556,0.8952,0
0.5216,0.4569,0.8762,1
0.9833,0.0472,0.4009,1
0.7691,0.5641,0.7731,1
0.9383,0.7882,0.6658,1
0.6815,0.291,0.4111,1
0.1438,0.6026,0.6877,0
0.0963,0.0046,0.82,0
0.9927,0.9424,0.8759,1
0.7515,0.4113,0.7163,1
0.6652,0.33,0.2455,1
0.5299,0.2054,0.078,0
0.4158,0.2516,0.5983,0
0.3367,0.3952,0.5291,0
0.0902,0.3743,0.3593,0
0.9514,0.066,0.8149,1
0.3329,0.5952,0.8706,0
0.8978,0.3261,0.0014,1
0.0341,0.1301,0.3807,0
0.1268,0.0172,0.1248,0
0.5902,0.3654,0.0986,1
0.5717,0.1537,0.9512,0
0.6949,0.2699,0.4077,1
0.054,0.5617,0.5223,0
0.8729,0.9336,0.8134,1
0.07,0.6374,0.3466,0
0.1813,0.0807,0.872,0
0.9524,0.0728,0.9709,1
0.1421,0.2775,0.604,0
0.5798,0.6696,0.6968,1
0.4149,0.0611,0.801,0
0.9373,0.3494,0.9309,1
0.9356,0.9337,0.1145,1
0.5594,0.6138,0.5778,1
0.5003,0.2915,0.0314,0
0.1309,0.9888,0.7663,1
0.8368,0.3243,0.0278,1
0.2143,0.3193,0.6829,0
0.1875,0.4412,0.4477,0
0.146,0.3456,0.118,0
0.8639,0.8088,0.3866,1
0.1372,0.0062,0.2439,0
0.1874,0.6423,0.5943,0
0.6795,0.6278,0.8826,1
0.1421,0.3436,0.3272,0
0.5241,0.8703,0.2225,1
0.5283,0.6667,0.105,1
0.1901,0.9771,0.0849,1
0.3119,0.5241,0.5087,0
