x1,x2,x3,label
0.5009,0.253,0.5484,0
0.3651,0.8866,0.2018,1
0.9837,0.9578,0.4317,1
0.5982,0.0074,0.6003,0
0.1196,0.9764,0.1602,1
0.6618,0.5778,0.9291,1
0.0225,0.2602,0.3516,0
0.3976,0.3917,0.5055,0
0.8351,0.4893,0.8455,1
0.9856,0.2472,0.8247,1
0.1949,0.8904,0.6062,1
0.6839,0.7914,0.2777,1
0.0323,0.9068,0.286,0
0.5216,0.5049,0.3095,1
0.0549,0.8323,0.2619,0
0.4307,0.2149,0.7132,0
0.0697,0.5927,0.2072,0
0.3112,0.1029,0.9179,0
0.4607,0.1581,0.9067,0
0.027,0.4282,0.5908,0
0.4672,0.1725,0.1842,0
0.9298,0.8414,0.2836,1
0.9741,0.4258,0.2978,1
0.4937,0.4223,0.5619,0
0.569,0.0239,0.1667,0
0.9257,0.2687,0.2342,1
0.1678,0.2506,0.9779,0
0.8566,0.5636,0.2682,1
0.8228,0.432,0.4153,1
0.8894,0.3082,0.4445,1
0.9308,0.2105,0.0346,1
0.9546,0.3512,0.1428,1
0.8207,0.755,0.1107,1
0.618,0.3849,0.769,1
0.0163,0.5389,0.1086,0
0.5368,0.6457,0.3881,1
0.242,0.9935,0.0663,1
0.7444,0.2206,0.9644,1
0.3717,0.9888,0.5923,1
0.5994,0.688,0.8708,1
0.0768,0.361,0.6866,0
0.0548,0.6703,0.3453,0
0.7406,0.9589,0.856,1
0.4071,0.0265,0.981,0
0.3688,0.4695,0.424,0
0.5452,0.505,0.4482,1
0.5267,0.2388,0.5399,0
0.0277,0.2005,0.0588,0
0.9282,0.7629,0.601,1
0.0629,0.2554,0.7762,0
0.2753,0.2142,0.4538,0
0.766,0.3178,0.3936,1
0.3664,0.1881,0.1953,0
0.8072,0.8493,0.0406,1
0.4289,0.0183,0.1399,0
0.9147,0.229,0.424,1
0.9101,0.5292,0.8845,1
0.2746,0.0504,0.0898,0
0.3264,0.5899,0.1924,0
0.3716,0.9462,0.4362,1
0.9507,0.2963,0.0821,1
0.0093,0.8691,0.8942,0
0.2857,0.4825,0.5674,0
0.8544,0.4431,0.2001,1
0.9328,0.3359,0.5666,1
0.8711,0.5975,0.8489,1
0.6394,0.3525,0.6328,1
0.5555,0.9096,0.0719,1
0.0601,0.0677,0.7707,0
0.4428,0.8384,0.4853,1
0.1488,0.447,0.3045,0
0.6296,0.7396,0.4507,1
0.2743,0.293,0.0678,0
0.4623,0.4846,0.5461,0
0.2193,0.3017,0.0519,0
0.5526,0.4684,0.1121,1
0.6111,0.4303,0.5681,1
0.8433,0.3287,0.9214,1
0.5343,0.3523,0.2331,0
0.7181,0.5729,0.4728,1
