x1,x2,x3,label
0.1207,0.5538,0.4512,0
0.6097,0.2679,0.6077,0
0.8348,0.5844,0.2653,1
0.8693,0.2247,0.5931,1
0.0697,0.5843,0.699,0
0.4913,0.8781,0.5123,1
0.9089,0.6443,0.7134,1
0.4077,0.8144,0.5634,1
0.5841,0.1321,0.441,0
0.4084,0.7262,0.2631,0
0.4776,0.441,0.2144,0
0.405,0.7157,0.3104,0
0.3856,0.3527,0.3899,0
0.7782,0.715,0.5726,1
0.7182,0.7242,0.28,1
0.1998,0.8677,0.5425,0
0.1031,0.9747,0.733,0
0.2571,0.5715,0.9803,0
0.6628,0.1238,0.9825,1
0.9588,0.6991,0.3987,1
0.0904,0.0864,0.4941,0
0.6185,0.36,0.313,0
0.3966,0.8898,0.9214,1
0.855,0.0869,0.0494,0
0.7124,0.6303,0.8812,1
0.6738,0.4921,0.3346,1
0.9853,0.7642,0.217,1
0.0133,0.0871,0.2311,0
0.8312,0.9389,0.9555,1
0.3566,0.7704,0.2584,0
0.7433,0.976,0.2723,1
0.7719,0.8438,0.3009,1
0.3933,0.7636,0.1815,0
0.4403,0.7937,0.7998,1
0.8407,0.8899,0.7348,1
0.6626,0.9846,0.5429,1
0.1818,0.0413,0.9899,0
0.403,0.18,0.7495,0
0.0843,0.1151,0.6094,0
0.9013,0.8495,0.7841,1
0.5165,0.6032,0.4875,0
0.1013,0.5779,0.9473,0
0.8308,0.9867,0.6921,1
0.7252,0.7704,0.295,1
0.5088,0.5796,0.3017,0
0.9933,0.0709,0.7192,1
0.6697,0.5908,0.0157,0
0.6884,0.28,0.1832,0
0.0485,0.9538,0.2902,0
0.2593,0.76,0.3727,0
0.5761,0.6046,0.6766,1
0.4313,0.3514,0.2418,0
0.1539,0.8383,0.9257,0
0.6927,0.442,0.1176,0
0.6577,0.1148,0.6616,1
0.1277,0.2455,0.1908,0
0.9546,0.7746,0.0061,1
0.1654,0.3752,0.4638,0
0.6605,0.934,0.5865,1
0.5979,0.1838,0.0954,0
0.5288,0.1318,0.606,0
0.474,0.1812,0.4533,0
0.6484,0.2111,0.024,0
0.4325,0.5881,0.3246,0
0.3275,0.8229,0.8695,1
0.4016,0.7132,0.1334,0
0.0561,0.9086,0.3328,0
0.449,0.9556,0.2302,1
0.0246,0.7245,0.0968,0
0.4202,0.6431,0.3805,0
0.7581,0.5584,0.1007,1
0.2779,0.6445,0.9365,1
0.8244,0.3939,0.2891,1
0.4758,0.5632,0.5771,0
0.8668,0.3347,0.043,1
0.6706,0.982,0.6558,1
0.901,0.9225,0.4176,1
0.9958,0.547,0.5858,1
0.0228,0.1274,0.436,0
0.404,0.1503,0.3746,0
0.8427,0.548,0.8499,1
0.6285,0.4423,0.4432,1
0.4967,0.2715,0.4636,0
0.9814,0.3169,0.3959,1
0.1365,0.6775,0.7824,0
0.4175,0.2765,0.2519,0
0.7316,0.0313,0.7095,1
0.2809,0.3804,0.5701,0
0.1116,0.6852,0.8676,0
0.1555,0.5848,0.3761,0
0.379,0.7699,0.95,1
0.5208,0.3597,0.8333,0
0.1802,0.3862,0.4306,0
0.9372,0.7695,0.6395,1
0.0236,0.6689,0.5294,0
0.4372,0.3708,0.5161,0
0.1625,0.6404,0.4369,0
0.9708,0.3938,0.8085,1
0.4561,0.578,0.3592,0
0.3683,0.8554,0.5704,0
0.2672,0.9361,0.5829,0
0.8827,0.758,0.674,1
0.1266,0.0431,0.1433,0
0.998,0.8351,0.2477,1
0.3246,0.0169,0.4826,0
0.7623,0.4258,0.2808,1
0.7913,0.8169,0.749,1
0.6754,0.8026,0.9118,1
0.156,0.0132,0.1322,0
0.6559,0.5671,0.8918,1
0.5011,0.7658,0.4489,1
0.3816,0.4681,0.3462,0
0.8376,0.3073,0.8428,1
0.038,0.0448,0.6015,0
0.3788,0.767,0.1418,0
0.8126,0.8634,0.7998,1
0.3001,0.495,0.8782,0
0.785,0.2746,0.1674,0
0.9043,0.1446,0.2204,0
0.5057,0.9843,0.5686,1
0.8064,0.5721,0.907,1
0.6012,0.2189,0.313,0
0.8287,0.0551,0.556,1
0.9993,0.6189,0.7108,1
0.7345,0.7301,0.1287,1
0.1227,0.8635,0.8176,0
0.6989,0.3296,0.1096,0
0.9464,0.0698,0.2525,1
0.1539,0.2992,0.6411,0
0.082,0.7793,0.7428,0
0.5721,0.1829,0.0062,0
0.3767,0.2127,0.1748,0
0.7191,0.0289,0.6305,0
0.9722,0.2793,0.1809,1
0.0186,0.7686,0.2874,0
0.6482,0.9166,0.9123,1
0.1862,0.6073,0.1387,0
0.9229,0.355,0.131,1
0.3067,0.8994,0.1815,0
0.3887,0.1737,0.5566,0
0.3009,0.1951,0.064,0
0.7091,0.2755,0.3894,0
0.2584,0.7962,0.972,1
0.5832,0.5509,0.5442,1
0.7915,0.0479,0.5681,1
0.806,0.5722,0.1116,1
0.0199,0.0858,0.5322,0
0.0238,0.3486,0.3108,0
0.2339,0.4866,0.6732,0
0.8796,0.4596,0.2336,1
0.8508,0.609,0.6019,1
0.0511,0.066,0.5511,0
0.9775,0.9111,0.9306,1
0.8706,0.5895,0.5734,1
0.8622,0.9757,0.833,1
0.6081,0.2688,0.9866,1
0.867,0.4928,0.4415,1
0.735,0.8162,0.9795,1
0.066,0.6507,0.146,0
0.4221,0.0306,0.4113,0
0.1234,0.85,0.2639,0
0.2511,0.3468,0.3283,0
0.243,0.0908,0.626,0
0.5175,0.1545,0.0491,0
0.8594,0.4049,0.7695,1
0.6288,0.1173,0.3152,0
0.8091,0.9511,0.0325,1
0.8973,0.3603,0.2705,1
0.6217,0.4721,0.554,1
0.9295,0.2367,0.5135,1
0.1821,0.804,0.3814,0
0.5204,0.9386,0.7173,1
0.1787,0.4825,0.9612,0
0.5,0.6619,0.8106,1
0.7599,0.7762,0.1347,1
0.8318,0.8308,0.2026,1
0.1644,0.4192,0.133,0
0.2881,0.9732,0.7513,1
0.1858,0.5309,0.5593,0
0.2159,0.3805,0.1854,0
