time,value
1,104.65
2,102.39
3,97.26
4,110.56
5,109.71
6,112.19
7,105.88
8,111.21
9,124.36
10,119.06
11,125.97
12,125.49
13,122.15
14,111.38
15,142.63
16,127.9
17,130.91
18,124.7
19,125.06
20,132.99
21,142.52
22,140.73
23,140.12
24,147.7
25,147.29
26,148.29
27,151.34
28,138.06
29,151.08
30,148.74
31,153.24
32,165.94
33,159.93
34,171.22
35,170.54
36,175.97
37,176.95
38,170.56
39,166.8
40,176.68
41,169.89
42,174.54
43,190.08
44,186.44
45,178.15
46,181.97
47,190.96
48,189.13
49,198.6
50,185.26
51,186.94
52,200.34
53,195.29
54,187.79
55,192.99
56,197.88
57,199.81
58,200.5
59,215.45
60,215.86
