x1,x2,x3,label
0.2405,0.1527,0.561,0
0.4073,0.3202,0.1164,0
0.8483,0.6483,0.436,1
0.5081,0.1207,0.9552,0
0.4244,0.2412,0.7796,0
0.8809,0.7769,0.353,1
0.2688,0.8518,0.6842,1
0.7844,0.9768,0.2542,1
0.2909,0.253,0.9458,0
0.8579,0.9465,0.1745,1
0.5386,0.8706,0.1063,1
0.3788,0.2565,0.4583,0
0.8035,0.8294,0.8574,1
0.9495,0.5954,0.5377,1
0.5788,0.3025,0.3852,0
0.8085,0.074,0.6562,0
0.9752,0.0051,0.6764,1
0.5885,0.5914,0.5689,1
0.3363,0.5472,0.0273,0
0.1304,0.2516,0.3703,0
0.3124,0.8885,0.5953,1
0.2176,0.5493,0.8137,0
0.741,0.7337,0.8187,1
0.9403,0.4955,0.8564,1
0.5932,0.5454,0.4808,1
0.9103,0.3007,0.0823,1
0.6057,0.4877,0.0211,1
0.5928,0.1108,0.9594,0
0.1863,0.172,0.0206,0
0.5549,0.2489,0.4076,0
0.9373,0.5492,0.8357,1
0.6332,0.5321,0.0357,1
0.8843,0.5122,0.5835,1
0.6702,0.6637,0.8833,1
0.4245,0.7005,0.9414,1
0.4564,0.7552,0.9016,1
0.1918,0.4331,0.1041,0
0.929,0.5555,0.8608,1
0.7761,0.6037,0.2251,1
0.5352,0.322,0.0302,0
0.8103,0.5124,0.1114,1
0.1851,0.8222,0.432,1
0.5349,0.7143,0.1876,1
0.7156,0.817,0.0287,1
0.8083,0.9636,0.1213,1
0.4501,0.5152,0.1357,1
0.0929,0.9642,0.7908,1
0.0576,0.6178,0.3166,0
0.9017,0.6706,0.6338,1
0.9608,0.2,0.8497,1
0.4114,0.0521,0.6968,0
0.4348,0.6659,0.121,1
0.7238,0.9487,0.9943,1
0.0999,0.1471,0.2342,0
0.2716,0.8356,0.8725,1
0.8149,0.332,0.6592,1
0.9041,0.1747,0.9045,1
0.2068,0.1857,0.3261,0
0.0452,0.4223,0.1602,0
0.6327,0.1485,0.3088,0
0.9693,0.65,0.0754,1
0.3461,0.5387,0.7712,0
0.3527,0.9434,0.0084,1
0.0732,0.7965,0.4895,0
0.6573,0.6423,0.8728,1
0.1075,0.5461,0.901,0
0.807,0.1784,0.6901,1
0.6557,0.4115,0.7534,1
0.9822,0.492,0.3817,1
0.2539,0.2811,0.3406,0
0.1969,0.3537,0.7718,0
0.0163,0.2953,0.4898,0
0.8235,0.9315,0.5885,1
0.2396,0.7257,0.9763,1
0.0713,0.7467,0.7054,0
0.6466,0.0918,0.5721,0
0.8398,0.9464,0.9571,1
0.6568,0.1122,0.2874,0
0.438,0.7923,0.2405,1
0.1967,0.6792,0.3488,0
