x1,x2,x3,label
0.068,0.0092,0.5681,0
0.6708,0.1429,0.7226,0
0.4417,0.6078,0.5224,1
0.1013,0.2737,0.8251,0
0.4268,0.4726,0.3927,0
0.9662,0.19,0.9899,1
0.5606,0.2727,0.9034,0
0.2629,0.2282,0.538,0
0.5003,0.5424,0.6553,1
0.7541,0.6546,0.0108,1
0.9425,0.5873,0.9188,1
0.1933,0.0078,0.5602,0
0.4186,0.0007,0.9434,0
0.9717,0.5034,0.824,1
0.6533,0.1896,0.4934,0
0.3023,0.0889,0.8234,0
0.2945,0.2058,0.1177,0
0.8553,0.8592,0.9634,1
0.1785,0.4852,0.5651,0
0.0018,0.5471,0.9136,0
0.5701,0.0756,0.4463,0
0.0692,0.4964,0.9987,0
0.6347,0.0817,0.0972,0
0.3081,0.7057,0.4959,1
0.4764,0.8008,0.4085,1
0.0952,0.4974,0.8616,0
0.4047,0.4541,0.4537,0
0.9969,0.5882,0.664,1
0.4957,0.0983,0.7058,0
0.6706,0.0612,0.5468,0
0.8034,0.9192,0.1577,1
0.9166,0.8946,0.3867,1
0.4537,0.7916,0.3631,1
0.9573,0.3218,0.964,1
0.6018,0.9493,0.1778,1
0.6536,0.3899,0.6826,1
0.0477,0.6398,0.5061,0
0.3853,0.1721,0.0782,0
0.9908,0.9985,0.7469,1
0.882,0.4168,0.4012,1
0.0886,0.5864,0.0328,0
0.8248,0.241,0.9682,1
0.0249,0.0471,0.3093,0
0.849,0.9225,0.4672,1
0.3083,0.5026,0.6292,0
0.551,0.4176,0.1492,1
0.9734,0.2012,0.4766,1
0.3757,0.1813,0.7473,0
0.1482,0.063,0.08,0
0.7529,0.9702,0.8876,1
0.9867,0.1749,0.5144,1
0.021,0.8748,0.505,0
0.2462,0.5107,0.3227,0
0.6551,0.1358,0.3428,0
0.438,0.5668,0.1862,1
0.2767,0.2684,0.1594,0
0.6358,0.5633,0.5329,1
0.293,0.0714,0.8283,0
0.1871,0.6262,0.8719,0
0.4766,0.3919,0.0545,0
0.0278,0.6112,0.5033,0
0.635,0.04,0.9202,0
0.4975,0.9442,0.8579,1
0.0496,0.5998,0.871,0
0.0671,0.4956,0.9125,0
0.193,0.2508,0.2246,0
0.6699,0.822,0.6018,1
0.1037,0.9546,0.8913,1
0.6575,0.8302,0.101,1
0.4903,0.6056,0.2111,1
0.0696,0.6989,0.0648,0
0.7146,0.6793,0.4337,1
0.9475,0.7598,0.9977,1
0.6349,0.9343,0.123,1
0.8481,0.3667,0.6405,1
0.855,0.6371,0.1117,1
0.62,0.2227,0.323,0
0.9361,0.7054,0.3181,1
0.0538,0.1092,0.1833,0
0.3439,0.6544,0.8805,1
