x1,x2,x3,label
0.5523,0.3996,0.3738,1
0.214,0.9528,0.9779,1
0.9229,0.0251,0.1049,0
0.3825,0.1398,0.4225,0
0.9463,0.4086,0.8973,1
0.0022,0.7084,0.6099,0
0.8293,0.9903,0.862,1
0.308,0.6891,0.8693,1
0.0136,0.2583,0.7333,0
0.6567,0.4438,0.9293,1
0.4449,0.3185,0.0687,0
0.0114,0.094,0.1913,0
0.2432,0.8821,0.5614,1
0.8974,0.7541,0.1062,1
0.9957,0.1754,0.1619,1
0.667,0.9362,0.5663,1
0.2294,0.1733,0.9692,0
0.1144,0.0538,0.5831,0
0.7792,0.0162,0.4519,0
0.5846,0.8238,0.8593,1
0.7935,0.2289,0.0596,1
0.6001,0.4799,0.6475,1
0.3251,0.4516,0.4077,0
0.955,0.3491,0.9444,1
0.2899,0.8271,0.2889,1
0.4106,0.4109,0.8787,0
0.5678,0.5857,0.1211,1
0.7343,0.2529,0.079,1
0.9187,0.9471,0.501,1
0.9767,0.8492,0.5154,1
0.2285,0.382,0.8385,0
0.4829,0.1659,0.7763,0
0.1619,0.3549,0.6876,0
0.6049,0.8951,0.2493,1
0.3922,0.6083,0.1193,1
0.2736,0.317,0.5903,0
0.8147,0.1503,0.138,1
0.8929,0.6826,0.2668,1
0.0734,0.8101,0.5194,0
0.1298,0.332,0.7627,0
0.9901,0.0555,0.0975,1
0.8578,0.3807,0.5809,1
0.1563,0.2429,0.0753,0
0.9056,0.1324,0.8815,1
0.216,0.6909,0.0443,0
0.0033,0.0751,0.237,0
0.0633,0.8463,0.3954,0
0.9768,0.6218,0.5503,1
0.6847,0.074,0.2095,0
0.9963,0.926,0.0573,1
0.8533,0.4759,0.5533,1
0.7645,0.5014,0.8414,1
0.4548,0.1123,0.5882,0
0.2818,0.949,0.9188,1
0.52,0.1233,0.3911,0
0.3174,0.3959,0.2946,0
0.8817,0.0548,0.2613,0
0.3223,0.495,0.2871,0
0.7312,0.2066,0.8003,0
0.214,0.3279,0.4788,0
0.9737,0.5176,0.0228,1
0.4658,0.5536,0.8811,1
0.1126,0.299,0.0068,0
0.1364,0.7251,0.1892,0
0.1085,0.7721,0.0053,0
0.0609,0.3356,0.1986,0
0.5486,0.0177,0.3398,0
0.8294,0.0582,0.3664,0
0.5159,0.5994,0.2899,1
0.9272,0.6525,0.757,1
0.9284,0.6706,0.6256,1
0.3472,0.8736,0.4658,1
0.513,0.5837,0.7562,1
0.7212,0.0591,0.2018,0
0.2559,0.9034,0.6683,1
0.2512,0.7377,0.3585,1
0.1675,0.4219,0.5879,0
0.2284,0.565,0.5759,0
0.3431,0.6948,0.4487,1
0.0945,0.9407,0.5249,1
