x1,x2,x3,label
0.2325,0.8142,0.7388,1
0.7926,0.3641,0.1796,1
0.3368,0.3145,0.7902,0
0.0072,0.7989,0.6959,0
0.2196,0.0741,0.9421,0
0.5836,0.6269,0.8216,1
0.8435,0.9409,0.5176,1
0.2361,0.573,0.0178,0
0.4714,0.0407,0.5357,0
0.0259,0.3879,0.595,0
0.7352,0.2036,0.3454,0
0.4308,0.8254,0.0903,1
0.5289,0.1484,0.4216,0
0.9379,0.1856,0.7235,1
0.7325,0.4267,0.2608,1
0.3228,0.0983,0.6727,0
0.8506,0.0385,0.4512,0
0.5786,0.5045,0.4702,1
0.4298,0.149,0.6703,0
0.24,0.0043,0.2349,0
0.8522,0.6035,0.2098,1
0.2515,0.1906,0.857,0
0.2688,0.5031,0.3634,0
0.7012,0.5754,0.8231,1
0.7533,0.5797,0.822,1
0.4892,0.9131,0.0101,1
0.4938,0.783,0.816,1
0.207,0.377,0.3718,0
0.4918,0.9274,0.8772,1
0.9807,0.9905,0.6254,1
0.9397,0.8218,0.1843,1
0.4694,0.3133,0.3147,0
0.6634,0.0135,0.7358,0
0.7861,0.9094,0.1956,1
0.1149,0.694,0.0682,0
0.3802,0.755,0.0151,1
0.7343,0.2208,0.1204,1
0.8292,0.9767,0.5455,1
0.6608,0.2312,0.9884,0
0.9029,0.4559,0.5705,1
0.3023,0.3557,0.5236,0
0.7489,0.2659,0.5053,1
0.6646,0.2535,0.6005,0
0.5729,0.7414,0.7816,1
0.8005,0.4091,0.533,1
0.2592,0.3131,0.9642,0
0.2985,0.4013,0.5786,0
0.7806,0.6503,0.2173,1
0.8785,0.1986,0.3048,1
0.003,0.2513,0.0779,0
0.3544,0.4946,0.226,0
0.7118,0.3539,0.466,1
0.3052,0.7698,0.6478,1
0.5972,0.2542,0.3234,0
0.5568,0.0627,0.4872,0
0.5063,0.3058,0.7202,0
0.0571,0.4098,0.2987,0
0.9962,0.4305,0.9285,1
0.7619,0.1988,0.0757,1
0.7702,0.2795,0.9867,1
0.3016,0.3813,0.2577,0
0.1074,0.0631,0.5522,0
0.7836,0.4913,0.635,1
0.9047,0.5085,0.9958,1
0.2084,0.4166,0.3274,0
0.2735,0.0459,0.7931,0
0.0044,0.5299,0.7193,0
0.7355,0.2628,0.3889,1
0.9434,0.4377,0.0929,1
0.7086,0.3256,0.1078,1
0.053,0.5593,0.5922,0
0.188,0.9204,0.1068,1
0.5392,0.2767,0.0021,0
0.112,0.7345,0.2113,0
0.6421,0.6318,0.4096,1
0.5895,0.8787,0.198,1
0.6054,0.9266,0.8908,1
0.6258,0.8145,0.6173,1
0.0793,0.7223,0.4849,0
0.2385,0.8361,0.4392,1
