x1,x2,x3
40.62,28.04,70.59
38.02,42.53,83.58
48.12,33.43,64.0
45.63,30.54,66.29
60.19,34.39,66.76
46.82,29.3,57.39
58.69,30.0,76.21
58.78,30.03,60.69
37.56,30.79,56.45
47.31,28.32,65.96
50.68,33.49,54.38
42.09,25.52,62.57
56.91,31.88,65.0
48.47,29.08,58.41
42.18,23.41,75.6
37.29,28.63,63.03
44.91,31.19,55.64
45.88,27.18,80.03
53.08,33.18,88.93
56.7,31.73,67.8
45.49,31.85,79.67
41.12,27.87,97.15
42.94,27.2,74.55
59.97,29.55,68.43
48.29,30.53,77.43
55.35,29.13,68.75
41.26,32.59,68.3
43.84,38.37,71.2
40.6,24.22,65.11
36.79,32.08,69.3
43.88,32.35,76.38
62.35,41.15,75.86
35.91,33.85,51.72
48.93,31.98,50.68
47.48,36.11,73.16
69.4,32.61,60.26
42.8,29.74,65.2
47.79,40.15,68.24
56.68,32.64,76.09
58.21,25.42,92.49
37.22,30.35,69.15
39.53,25.09,59.79
56.23,39.67,62.74
52.11,28.27,40.03
44.07,23.29,75.91
48.63,44.76,68.55
47.58,32.11,67.66
51.13,32.92,66.7
53.87,34.43,58.44
46.71,36.72,76.82
37.22,33.44,69.98
55.85,27.69,64.88
57.1,30.66,71.72
53.23,31.18,68.54
59.15,29.27,55.4
52.53,24.97,57.15
30.45,35.93,89.66
40.03,35.85,52.37
57.44,39.72,51.14
52.01,24.16,69.92
57.39,30.33,52.21
43.11,23.47,54.06
43.3,25.89,80.71
38.6,38.12,70.73
45.14,19.35,94.24
33.02,31.74,67.42
50.83,38.84,68.97
56.89,36.18,65.92
29.86,25.02,84.25
36.43,33.28,78.54
43.79,27.68,76.74
46.33,33.75,54.24
44.26,33.85,77.74
51.58,32.67,38.89
48.17,30.23,81.69
47.37,25.94,68.92
42.93,32.43,68.85
41.96,32.29,76.84
52.05,25.85,63.46
46.27,31.58,66.85
44.89,30.98,61.73
51.29,26.91,77.98
47.59,39.3,88.16
56.21,28.85,67.44
54.06,20.56,55.56
45.24,18.96,84.1
61.13,38.48,58.23
44.58,25.03,66.98
51.74,28.95,70.48
56.45,33.9,74.82
34.34,23.75,80.46
58.05,19.92,79.4
45.51,29.35,70.04
47.37,24.72,60.49
40.92,26.86,77.26
41.07,36.69,71.25
49.07,34.95,67.19
53.82,37.34,70.49
41.57,28.63,79.01
50.51,31.63,61.06
46.05,34.51,78.57
50.05,32.25,74.18
54.4,29.69,62.18
46.68,32.28,61.37
53.21,43.41,78.98
40.33,28.56,78.9
47.25,23.09,55.26
47.77,25.23,58.0
54.6,32.76,80.33
38.26,29.4,76.8
53.34,32.38,77.49
51.96,26.23,63.86
47.59,31.68,81.52
52.71,33.54,63.9
47.71,27.69,71.52
51.89,29.04,75.56
55.94,32.53,85.7
52.5,34.25,60.49
53.13,32.63,63.72
64.77,31.49,62.37
