x1,x2,x3,label
0.8051,0.1397,0.046,0
0.7793,0.9631,0.6849,1
0.772,0.8892,0.3879,1
0.4135,0.6965,0.8193,1
0.4104,0.1311,0.7555,0
0.1336,0.3354,0.2878,0
0.3899,0.996,0.781,1
0.6773,0.5665,0.1512,1
0.1301,0.2596,0.4709,0
0.021,0.4928,0.623,0
0.5494,0.3016,0.8811,0
0.0421,0.9497,0.9506,1
0.5602,0.9497,0.4884,1
0.9358,0.6986,0.3582,1
0.3704,0.6354,0.6426,1
0.3197,0.1405,0.2488,0
0.8737,0.5942,0.3407,1
0.5933,0.6667,0.6373,1
0.8444,0.878,0.1672,1
0.5592,0.55,0.5019,1
0.5764,0.7902,0.7109,1
0.2858,0.6163,0.0289,0
0.1975,0.2977,0.1948,0
0.7986,0.1472,0.4663,0
0.2913,0.655,0.5308,0
0.5279,0.4375,0.7603,1
0.2588,0.6039,0.6883,0
0.7185,0.9752,0.8866,1
0.0283,0.389,0.2315,0
0.4814,0.7543,0.5585,1
0.0995,0.9662,0.6297,1
0.8015,0.6228,0.3753,1
0.8196,0.0824,0.8588,0
0.634,0.1207,0.0718,0
0.2253,0.5816,0.218,0
0.0676,0.7779,0.5878,0
0.0803,0.7635,0.9065,0
0.0998,0.2638,0.9722,0
0.2495,0.6127,0.2709,0
0.1411,0.6099,0.5348,0
0.3608,0.0056,0.7293,0
0.5596,0.0705,0.0134,0
0.8441,0.3953,0.0998,1
0.8275,0.0935,0.2437,0
0.6884,0.5994,0.3083,1
0.216,0.0679,0.1313,0
0.4557,0.6856,0.9109,1
0.0037,0.7284,0.0293,0
0.2487,0.4825,0.3642,0
0.1954,0.0432,0.7246,0
0.7997,0.9016,0.3454,1
0.0789,0.776,0.8672,0
0.6627,0.3906,0.7203,1
0.1947,0.971,0.4782,1
0.6027,0.8083,0.1048,1
0.7794,0.8071,0.8611,1
0.0556,0.6742,0.3971,0
0.0196,0.659,0.5348,0
0.2237,0.817,0.1249,1
0.8034,0.5434,0.4481,1
0.1238,0.0338,0.0687,0
0.3076,0.5514,0.6127,0
0.3838,0.3977,0.9352,0
0.51,0.0146,0.288,0
0.6898,0.8243,0.5388,1
0.692,0.4337,0.573,1
0.2192,0.0704,0.13,0
0.5072,0.2281,0.611,0
0.4324,0.7916,0.3651,1
0.1627,0.4015,0.5085,0
0.0409,0.9354,0.188,1
0.1656,0.1716,0.1948,0
0.9894,0.8644,0.7173,1
0.9686,0.304,0.4805,1
0.2342,0.5127,0.1855,0
0.3477,0.2771,0.2038,0
0.4542,0.5872,0.9001,1
0.4574,0.3947,0.0584,0
0.4778,0.4337,0.9838,0
0.0666,0.3271,0.8102,0
