x1,x2,x3
38.86,27.06,60.72
60.87,27.34,59.17
51.98,34.25,74.82
54.52,26.09,76.97
46.26,26.32,64.99
45.02,39.89,86.83
48.78,35.7,76.04
55.17,26.21,87.38
45.87,27.53,64.07
54.25,24.94,77.29
57.74,28.26,80.96
47.8,34.78,65.49
50.47,33.58,69.01
50.3,31.91,61.91
57.3,36.02,92.55
50.54,26.4,53.65
48.07,28.4,66.85
52.9,21.3,80.32
44.98,34.04,54.61
62.54,40.09,64.59
57.63,29.91,79.15
31.16,26.72,50.99
53.05,24.97,69.68
61.65,35.19,72.67
53.44,29.48,67.24
49.7,26.83,55.43
49.09,36.47,56.99
49.84,26.92,60.08
36.93,28.86,66.21
48.99,35.2,57.48
40.74,27.29,60.56
52.1,20.42,81.96
36.55,33.17,68.95
59.82,30.99,66.71
56.92,34.68,54.31
56.86,24.38,82.72
49.35,33.11,54.04
41.6,30.49,74.58
44.6,27.57,64.67
45.02,23.71,74.3
48.94,23.08,54.61
60.83,23.64,65.71
53.69,28.86,75.3
45.34,32.83,53.07
56.36,30.36,82.05
30.66,32.92,53.75
66.58,31.04,66.39
36.33,26.36,85.13
49.75,32.7,71.99
37.29,29.56,64.43
60.05,32.66,67.47
45.32,36.88,74.26
55.84,24.21,62.99
66.09,30.13,79.97
57.67,19.81,90.86
53.91,31.3,65.03
45.12,36.11,68.75
58.46,26.45,75.2
46.35,21.63,65.09
56.39,31.48,64.84
58.89,28.58,70.97
53.76,28.93,69.88
45.41,38.05,57.23
46.42,26.84,69.92
47.03,25.89,64.91
52.55,18.81,86.9
54.81,40.35,76.47
43.79,24.25,55.03
55.51,31.35,77.06
46.14,44.92,82.04
47.61,29.46,74.82
48.55,29.59,83.81
45.53,33.39,82.66
46.57,23.82,80.15
39.57,31.08,77.93
58.56,21.66,67.31
54.49,38.27,71.24
43.66,29.51,81.47
50.87,38.07,86.39
50.65,27.36,77.21
37.56,26.79,69.13
50.9,27.94,76.03
68.75,28.73,64.02
68.06,39.11,76.84
44.74,28.19,66.0
54.22,33.08,72.17
44.68,13.94,69.92
66.67,24.25,69.36
40.76,30.52,59.72
51.7,24.95,77.27
41.09,25.16,75.65
55.65,28.94,87.45
29.35,39.24,54.04
39.93,32.45,81.43
60.9,31.45,66.2
54.85,27.32,91.4
60.72,23.2,79.12
42.4,26.31,59.19
46.03,37.05,65.45
51.34,22.04,70.7
49.27,27.05,89.29
69.42,37.53,63.18
56.27,30.52,76.5
50.55,27.58,76.11
50.92,35.92,83.04
58.73,32.65,54.02
36.2,34.38,74.47
51.77,30.17,65.62
50.91,30.58,67.0
40.94,33.57,78.83
68.05,24.27,78.01
64.41,30.41,67.72
49.97,36.4,98.96
40.6,35.96,69.62
48.36,29.83,60.06
61.63,34.31,69.89
41.63,31.05,83.56
48.24,29.25,71.63
49.74,35.03,68.06
52.04,24.12,71.05
