x1,x2,x3,label
0.1492,0.8708,0.2021,1
0.5431,0.969,0.335,1
0.482,0.8974,0.8339,1
0.355,0.8885,0.584,1
0.7669,0.9097,0.0526,1
0.009,0.0744,0.2445,0
0.8623,0.644,0.4939,1
0.238,0.4377,0.7616,0
0.6108,0.3068,0.2129,0
0.4745,0.2608,0.955,0
0.1805,0.3713,0.4694,0
0.166,0.6318,0.4321,0
0.1738,0.2986,0.8577,0
0.4009,0.7194,0.6631,1
0.9201,0.4132,0.1818,1
0.4097,0.2911,0.3736,0
0.4241,0.9565,0.3107,1
0.8483,0.4753,0.7482,1
0.79,0.5256,0.4513,1
0.5572,0.3492,0.9742,0
0.9409,0.9278,0.885,1
0.1551,0.7892,0.0984,0
0.8726,0.7985,0.4049,1
0.3168,0.6166,0.4927,0
0.9093,0.6816,0.7227,1
0.9952,0.9969,0.2108,1
0.234,0.2574,0.9147,0
0.0326,0.9862,0.918,1
0.4731,0.4747,0.3048,0
0.1899,0.048,0.7977,0
0.3075,0.7666,0.7177,1
0.1223,0.227,0.4405,0
0.2971,0.7096,0.9107,1
0.6965,0.1673,0.3175,0
0.5194,0.6448,0.1907,1
0.0327,0.659,0.4204,0
0.8901,0.3398,0.0494,1
0.1233,0.5657,0.7756,0
0.077,0.5893,0.293,0
0.3144,0.5185,0.1928,0
0.0456,0.8185,0.3416,0
0.0204,0.1124,0.912,0
0.5959,0.2741,0.1575,0
0.7974,0.4017,0.2611,1
0.339,0.9641,0.9265,1
0.9326,0.1127,0.2801,1
0.2286,0.6374,0.7796,0
0.7018,0.8694,0.7873,1
0.7341,0.7695,0.7283,1
0.8502,0.6478,0.9063,1
0.7926,0.2289,0.3538,1
0.4746,0.7664,0.9251,1
0.2614,0.3715,0.1335,0
0.0256,0.0676,0.9791,0
0.6036,0.0831,0.6733,0
0.2746,0.6115,0.6465,0
0.7601,0.2293,0.3145,1
0.261,0.9987,0.5395,1
0.8699,0.0794,0.6243,0
0.4096,0.5302,0.0736,0
0.1505,0.3175,0.6426,0
0.1378,0.9776,0.0765,1
0.9378,0.7408,0.2144,1
0.2418,0.0041,0.5912,0
0.2368,0.0872,0.6826,0
0.7491,0.7329,0.8284,1
0.9795,0.3432,0.7181,1
0.1116,0.2244,0.4641,0
0.3561,0.8247,0.1927,1
0.2296,0.3581,0.1987,0
0.4105,0.2204,0.7743,0
0.2831,0.0532,0.873,0
0.5567,0.6825,0.6118,1
0.2444,0.2865,0.8586,0
0.8064,0.3023,0.3654,1
0.9445,0.0478,0.8418,1
0.5498,0.872,0.9892,1
0.552,0.1406,0.4738,0
0.7743,0.9722,0.0252,1
0.758,0.9698,0.6127,1
