x1,x2,x3,label
0.2033,0.1894,0.9683,0
0.43,0.9357,0.4607,1
0.296,0.2039,0.1452,0
0.7556,0.5043,0.4434,1
0.9527,0.011,0.5017,1
0.7234,0.3249,0.4616,1
0.6812,0.0325,0.5026,0
0.413,0.3311,0.1543,0
0.0759,0.2729,0.7367,0
0.3648,0.6397,0.0615,1
0.4085,0.8389,0.5054,1
0.3819,0.2527,0.5957,0
0.7169,0.001,0.6617,0
0.3043,0.788,0.7977,1
0.0133,0.759,0.7025,0
0.8525,0.3479,0.2221,1
0.477,0.0732,0.4774,0
0.9505,0.366,0.8576,1
0.3729,0.0393,0.6353,0
0.1888,0.0368,0.6653,0
0.3841,0.9318,0.701,1
0.7921,0.2569,0.2023,1
0.1415,0.5182,0.2412,0
0.5909,0.9244,0.8705,1
0.4385,0.782,0.9659,1
0.2773,0.9741,0.0389,1
0.7477,0.2332,0.1914,1
0.8974,0.7991,0.2815,1
0.7921,0.1687,0.7449,1
0.0331,0.6641,0.1081,0
0.0416,0.261,0.3001,0
0.791,0.3353,0.2449,1
0.938,0.0183,0.5835,1
0.4376,0.6747,0.8973,1
0.5646,0.088,0.107,0
0.224,0.0914,0.4937,0
0.0955,0.5804,0.8573,0
0.4968,0.6093,0.2525,1
0.6237,0.4543,0.7878,1
0.446,0.0877,0.1777,0
0.5815,0.5526,0.0231,1
0.1488,0.1357,0.9311,0
0.9961,0.6088,0.7793,1
0.705,0.9586,0.0581,1
0.2527,0.3913,0.7418,0
0.1377,0.6369,0.1568,0
0.4711,0.4006,0.3985,0
0.0107,0.3305,0.7628,0
0.4495,0.2705,0.7255,0
0.7144,0.0911,0.2284,0
0.3088,0.1905,0.6211,0
0.4431,0.4096,0.7181,0
0.4295,0.7896,0.2558,1
0.0742,0.0248,0.4421,0
0.7237,0.7482,0.1276,1
0.7473,0.5883,0.0118,1
0.4926,0.5769,0.1776,1
0.5318,0.6025,0.8626,1
0.5551,0.9287,0.4104,1
0.0265,0.502,0.5369,0
0.202,0.8661,0.3992,1
0.7093,0.6453,0.3747,1
0.4951,0.9259,0.09,1
0.0545,0.8685,0.685,0
0.8035,0.2327,0.4262,1
0.7807,0.1461,0.4361,0
0.533,0.752,0.9236,1
0.2956,0.7565,0.4826,1
0.8548,0.6816,0.1289,1
0.9876,0.0148,0.1099,1
0.2168,0.1762,0.6064,0
0.6251,0.2451,0.1626,0
0.578,0.5362,0.1992,1
0.5204,0.8242,0.5002,1
0.7082,0.6411,0.1607,1
0.8575,0.3187,0.4094,1
0.4489,0.242,0.6185,0
0.3848,0.474,0.5116,0
0.3085,0.1131,0.7916,0
0.4535,0.7128,0.0345,1
