x1,x2,x3,label
0.6022,0.1132,0.9752,0
0.5098,0.9748,0.3848,1
0.7194,0.3426,0.2998,1
0.7509,0.9812,0.2022,1
0.0495,0.4821,0.5185,0
0.4483,0.6865,0.3989,1
0.6867,0.2697,0.6955,1
0.6506,0.066,0.8081,0
0.5625,0.9767,0.4594,1
0.3705,0.6489,0.1803,1
0.4135,0.3646,0.3408,0
0.4459,0.6221,0.9067,1
0.1102,0.6263,0.1015,0
0.037,0.7493,0.9247,0
0.8463,0.9856,0.6613,1
0.7023,0.339,0.8543,1
0.0927,0.0909,0.7136,0
0.9011,0.6496,0.2812,1
0.1485,0.3197,0.1993,0
0.8078,0.7626,0.0961,1
0.4688,0.2265,0.6853,0
0.0401,0.2913,0.3084,0
0.2811,0.71,0.9393,1
0.7952,0.3576,0.0643,1
0.0652,0.9068,0.1449,1
0.9513,0.4092,0.7511,1
0.3458,0.7041,0.5743,1
0.7221,0.5995,0.103,1
0.8012,0.0492,0.455,0
0.4052,0.1844,0.7727,0
0.1149,0.9876,0.8607,1
0.2429,0.181,0.0576,0
0.47,0.4637,0.6171,0
0.5788,0.723,0.5128,1
0.016,0.4198,0.1349,0
0.4186,0.0074,0.1688,0
0.4875,0.3144,0.0166,0
0.0445,0.4008,0.2267,0
0.3001,0.7528,0.1999,1
0.8395,0.5454,0.1283,1
0.2703,0.0871,0.7342,0
0.197,0.6364,0.7425,0
0.8677,0.8385,0.0669,1
0.3316,0.5749,0.8036,0
0.376,0.832,0.8378,1
0.3167,0.7431,0.2533,1
0.3212,0.0112,0.8038,0
0.0063,0.7695,0.6917,0
0.2649,0.8776,0.8115,1
0.7078,0.3179,0.8764,1
0.0486,0.7528,0.226,0
0.1158,0.6726,0.9001,0
0.6198,0.4581,0.0963,1
0.2091,0.4653,0.7774,0
0.7497,0.7733,0.7396,1
0.63,0.4745,0.5423,1
0.5903,0.1978,0.7567,0
0.4973,0.1164,0.1568,0
0.8991,0.9915,0.8025,1
0.7395,0.7289,0.212,1
0.5683,0.7019,0.2113,1
0.0131,0.3875,0.6134,0
0.275,0.435,0.8613,0
0.1225,0.1161,0.8851,0
0.6725,0.6727,0.2557,1
0.3482,0.7472,0.8526,1
0.2205,0.8362,0.4181,1
0.593,0.5352,0.2141,1
0.3328,0.0721,0.9063,0
0.2831,0.8925,0.0599,1
0.3467,0.314,0.3514,0
0.6306,0.3845,0.5886,1
0.3466,0.2273,0.8619,0
0.1862,0.0288,0.6048,0
0.6995,0.5639,0.7716,1
0.3406,0.8707,0.4707,1
0.6965,0.7139,0.3582,1
0.2959,0.4655,0.5172,0
0.9388,0.1412,0.3692,1
0.5956,0.4434,0.6045,1
