x1,x2,x3
38.39,32.8,59.11
43.96,25.98,47.94
54.48,32.76,86.36
51.61,25.93,59.75
61.4,30.42,65.53
55.41,35.65,64.79
48.37,29.28,77.17
38.24,22.8,74.35
34.83,28.17,81.79
52.86,21.42,81.55
61.48,21.02,70.35
41.88,26.07,64.3
50.24,28.03,63.45
53.9,26.47,79.13
36.28,37.46,67.6
41.07,27.08,71.88
52.11,30.17,58.07
64.82,31.38,69.03
56.76,23.69,86.43
59.48,24.15,84.11
47.91,32.38,60.59
47.14,30.73,86.74
55.41,30.2,69.22
42.06,39.36,63.86
39.32,29.68,65.35
46.91,27.8,70.75
59.79,34.29,78.76
51.7,40.3,37.99
61.24,25.01,77.39
46.48,27.53,52.23
41.51,30.46,70.16
43.71,32.7,65.7
45.44,34.22,76.92
58.52,22.93,77.08
57.12,31.95,64.91
49.44,33.18,70.61
49.67,25.49,85.65
50.37,23.15,82.47
53.09,33.34,69.26
46.92,36.92,59.3
50.35,36.09,83.48
55.31,26.35,77.45
33.78,19.96,64.19
49.8,30.33,61.14
48.94,30.57,68.81
55.77,23.81,92.56
43.42,28.71,82.54
64.76,32.49,74.99
43.28,30.42,80.39
57.88,35.35,58.98
56.0,28.1,83.68
43.89,36.09,57.57
65.54,42.04,66.05
55.12,28.59,60.56
54.02,31.5,71.98
39.07,22.78,65.02
57.42,33.5,75.33
42.53,29.62,68.2
52.01,38.74,108.58
41.77,21.26,73.93
49.24,39.34,84.25
43.29,37.94,64.18
42.3,19.97,58.53
36.28,27.09,61.28
48.53,39.11,59.14
51.88,28.06,89.21
49.72,25.64,57.43
43.2,35.81,63.09
45.1,34.14,66.09
54.61,34.64,72.78
54.62,21.48,69.68
46.68,35.87,66.31
46.91,33.94,71.47
36.45,30.98,68.99
59.17,26.48,70.31
44.89,32.48,64.03
40.98,27.38,59.51
56.24,29.06,82.18
60.03,33.9,68.57
52.33,20.97,68.94
49.57,27.76,58.33
44.34,22.79,58.24
42.37,26.66,64.72
48.0,30.83,67.99
50.24,23.04,69.03
35.75,37.02,66.73
50.64,23.5,74.95
46.09,39.53,60.85
55.4,37.09,73.91
29.43,23.88,75.12
52.77,28.62,76.49
36.96,32.34,68.35
43.72,33.21,75.12
40.47,22.46,74.31
49.39,31.53,76.39
49.19,20.86,62.62
41.81,28.43,78.26
39.52,25.19,69.03
43.1,22.59,58.58
48.39,25.89,71.6
45.48,27.24,63.4
44.51,33.26,71.07
54.38,35.14,70.01
53.23,34.4,68.13
43.58,31.52,79.61
48.97,20.16,48.27
55.21,31.69,78.49
47.8,26.83,59.5
39.61,27.37,78.68
41.05,24.82,82.42
45.45,26.24,84.31
59.64,34.31,68.58
56.92,27.98,77.93
51.62,46.43,71.47
49.47,33.54,69.0
54.11,36.58,66.06
55.59,34.37,68.12
50.13,25.62,65.3
55.88,33.43,68.8
60.24,29.6,65.61
