x1,x2,x3,label
0.9118,0.6469,0.0421,1
0.8513,0.0172,0.4587,0
0.2028,0.8718,0.5703,1
0.4007,0.4394,0.1412,0
0.7699,0.9612,0.9967,1
0.9367,0.1983,0.9061,1
0.5566,0.064,0.3316,0
0.1438,0.5021,0.0871,0
0.943,0.4393,0.3605,1
0.5567,0.1541,0.8915,0
0.0393,0.1595,0.9197,0
0.0558,0.8851,0.0439,0
0.8194,0.2259,0.8356,1
0.1292,0.6833,0.1862,0
0.3474,0.141,0.4443,0
0.5593,0.1471,0.4345,0
0.6261,0.7293,0.1068,1
0.6274,0.9355,0.1753,1
0.5513,0.698,0.1215,1
0.6261,0.9723,0.2573,1
0.1797,0.0678,0.9944,0
0.4817,0.5262,0.017,1
0.9268,0.6798,0.3099,1
0.1689,0.8178,0.3539,1
0.2914,0.3711,0.8681,0
0.1994,0.0344,0.685,0
0.5392,0.174,0.0504,0
0.1604,0.5918,0.2374,0
0.6332,0.7123,0.3734,1
0.5367,0.6648,0.1449,1
0.3953,0.7997,0.6482,1
0.9203,0.6589,0.5778,1
0.9466,0.8923,0.0784,1
0.7788,0.1688,0.5132,0
0.6151,0.5681,0.1984,1
0.7776,0.3749,0.1905,1
0.1035,0.5427,0.429,0
0.8793,0.7721,0.0341,1
0.5117,0.2488,0.0962,0
0.1192,0.6609,0.3636,0
0.697,0.1922,0.9735,0
0.528,0.2352,0.325,0
0.0235,0.0668,0.2432,0
0.2695,0.0771,0.5768,0
0.0858,0.464,0.3505,0
0.4302,0.9135,0.1958,1
0.0915,0.0565,0.6914,0
0.3323,0.7598,0.0391,1
0.17,0.9914,0.6462,1
0.4807,0.9214,0.3067,1
0.0028,0.4759,0.799,0
0.9835,0.7682,0.9998,1
0.9686,0.9522,0.2957,1
0.5226,0.6912,0.6974,1
0.724,0.2111,0.8025,0
0.6888,0.8039,0.3714,1
0.8327,0.9316,0.9114,1
0.3555,0.7217,0.564,1
0.3039,0.6725,0.5432,1
0.324,0.5424,0.4709,0
0.9888,0.3221,0.5426,1
0.4407,0.9076,0.5098,1
0.7652,0.3921,0.639,1
0.8856,0.7758,0.98,1
0.8789,0.7157,0.8488,1
0.8343,0.6793,0.6211,1
0.2589,0.4205,0.5182,0
0.2759,0.994,0.1695,1
0.3461,0.5845,0.6176,0
0.8419,0.7369,0.4045,1
0.5235,0.7546,0.6729,1
0.9906,0.723,0.8902,1
0.5894,0.8513,0.9086,1
0.1274,0.1436,0.3595,0
0.4871,0.9227,0.1989,1
0.8484,0.0627,0.1581,0
0.4257,0.4377,0.1162,0
0.4927,0.0702,0.6807,0
0.2316,0.2831,0.1386,0
0.0576,0.3977,0.104,0
