x1,x2,x3,label
0.2948,0.5947,0.7877,0
0.3274,0.8522,0.7454,1
0.814,0.9153,0.1912,1
0.7472,0.7686,0.6441,1
0.8806,0.194,0.2469,1
0.9036,0.2599,0.3032,1
0.7078,0.8051,0.67,1
0.7801,0.5336,0.1644,1
0.59,0.6863,0.3982,1
0.6557,0.9693,0.0795,1
0.1228,0.4992,0.8077,0
0.7631,0.2644,0.268,1
0.5826,0.331,0.754,0
0.344,0.1667,0.9998,0
0.1265,0.4372,0.0477,0
0.3066,0.4955,0.7174,0
0.7382,0.7305,0.0037,1
0.0555,0.9405,0.0711,1
0.1374,0.4074,0.1292,0
0.534,0.6142,0.539,1
0.078,0.3169,0.8061,0
0.3441,0.4381,0.2712,0
0.3072,0.168,0.0965,0
0.6066,0.557,0.8035,1
0.5809,0.2571,0.5986,0
0.0145,0.0588,0.6216,0
0.0918,0.92,0.7513,1
0.7487,0.0738,0.9943,0
0.3115,0.7627,0.1831,1
0.5895,0.2921,0.9167,0
0.5215,0.0768,0.0017,0
0.384,0.28,0.4771,0
0.4296,0.6578,0.7512,1
0.1531,0.3521,0.3687,0
0.1183,0.2869,0.3084,0
0.6466,0.9074,0.7677,1
0.1097,0.7028,0.5562,0
0.3585,0.6275,0.9072,1
0.0176,0.3454,0.4024,0
0.5111,0.3646,0.6513,0
0.7268,0.9866,0.9183,1
0.8441,0.4034,0.3263,1
0.597,0.4545,0.555,1
0.7888,0.2592,0.6773,1
0.207,0.2493,0.4573,0
0.5193,0.8935,0.1404,1
0.724,0.9118,0.1294,1
0.568,0.2451,0.983,0
0.5668,0.7245,0.14,1
0.1148,0.238,0.6675,0
0.8899,0.4307,0.743,1
0.3955,0.3043,0.414,0
0.4977,0.0017,0.0906,0
0.7145,0.5103,0.2638,1
0.4415,0.5333,0.8537,1
0.1197,0.8979,0.7261,1
0.6069,0.9156,0.3425,1
0.5559,0.1317,0.0119,0
0.3491,0.5877,0.6466,0
0.4502,0.1732,0.4465,0
0.808,0.0541,0.2284,0
0.7519,0.2807,0.0783,1
0.2445,0.8796,0.7881,1
0.5942,0.6942,0.1297,1
0.622,0.9913,0.6002,1
0.8817,0.1259,0.1509,1
0.4464,0.6017,0.8074,1
0.2064,0.7373,0.081,0
0.5634,0.8624,0.9193,1
0.8929,0.535,0.6093,1
0.9785,0.66,0.1545,1
0.7447,0.4187,0.3155,1
0.354,0.7248,0.1651,1
0.855,0.1503,0.8519,1
0.763,0.3048,0.831,1
0.8536,0.0886,0.4723,0
0.8327,0.6329,0.9064,1
0.7593,0.3434,0.9521,1
0.9716,0.8864,0.0092,1
0.7626,0.3605,0.284,1
