x1,x2,x3,label
0.0381,0.6377,0.6904,0
0.875,0.3053,0.5524,1
0.7539,0.4035,0.7978,1
0.3654,0.2753,0.5181,0
0.0442,0.6776,0.1669,0
0.0779,0.673,0.6788,0
0.9538,0.2658,0.4247,1
0.5212,0.869,0.6267,1
0.1185,0.3349,0.9047,0
0.0906,0.7638,0.4294,0
0.8576,0.2023,0.6855,1
0.6305,0.5476,0.9285,1
0.0067,0.4266,0.8444,0
0.7225,0.87,0.3553,1
0.8315,0.0704,0.1582,0
0.9809,0.3478,0.2037,1
0.7188,0.4332,0.9706,1
0.3506,0.5632,0.287,0
0.1392,0.086,0.0204,0
0.1432,0.0426,0.722,0
0.6138,0.6543,0.6899,1
0.2308,0.5505,0.9479,0
0.4989,0.2832,0.1875,0
0.5063,0.2049,0.3945,0
0.0824,0.5494,0.0986,0
0.8117,0.8877,0.554,1
0.636,0.9654,0.9991,1
0.3942,0.0154,0.5596,0
0.048,0.0721,0.7064,0
0.1212,0.0263,0.5095,0
0.8249,0.7264,0.6646,1
0.4982,0.6751,0.7234,1
0.895,0.4618,0.8112,1
0.8847,0.157,0.0715,1
0.7031,0.7037,0.6246,1
0.2237,0.9024,0.475,1
0.0389,0.2628,0.3459,0
0.4472,0.5583,0.5553,1
0.9833,0.148,0.2076,1
0.9488,0.5739,0.7535,1
0.263,0.4466,0.8453,0
0.4253,0.2227,0.313,0
0.6607,0.8799,0.9012,1
0.227,0.0607,0.7371,0
0.0671,0.7561,0.4097,0
0.8045,0.0137,0.19,0
0.4562,0.4093,0.3818,0
0.23,0.6706,0.7752,0
0.5909,0.2836,0.0907,0
0.6689,0.7271,0.4639,1
0.2818,0.8134,0.1978,1
0.1631,0.6881,0.622,0
0.7393,0.4859,0.6891,1
0.2651,0.5973,0.1052,0
0.6679,0.7211,0.2475,1
0.7027,0.1244,0.2212,0
0.6651,0.5527,0.9162,1
0.4024,0.7296,0.559,1
0.8214,0.5677,0.5865,1
0.0194,0.3236,0.1449,0
0.8052,0.7292,0.145,1
0.0863,0.4113,0.0042,0
0.5895,0.354,0.827,0
0.9275,0.2858,0.6397,1
0.0728,0.5506,0.0456,0
0.7962,0.4977,0.9185,1
0.2519,0.4455,0.4758,0
0.0033,0.7235,0.1088,0
0.7781,0.429,0.7826,1
0.5016,0.6264,0.1452,1
0.4239,0.1409,0.8976,0
0.3629,0.1715,0.3996,0
0.8573,0.4351,0.0492,1
0.0118,0.2916,0.908,0
0.3099,0.2235,0.081,0
0.1158,0.6898,0.8038,0
0.5373,0.9829,0.1434,1
0.8549,0.0883,0.7188,0
0.6109,0.5133,0.8105,1
0.8759,0.725,0.6246,1
