x1,x2,x3,label
0.0837,0.397,0.0109,0
0.524,0.9324,0.7067,1
0.3707,0.5815,0.6939,1
0.2206,0.8797,0.2885,1
0.0507,0.848,0.3388,0
0.3836,0.2502,0.1614,0
0.6635,0.9436,0.8685,1
0.2841,0.1872,0.2866,0
0.6197,0.4581,0.9551,1
0.0768,0.4902,0.0332,0
0.4658,0.8128,0.6067,1
0.6935,0.4062,0.7556,1
0.1379,0.6253,0.7492,0
0.6176,0.7452,0.3586,1
0.2096,0.1049,0.0769,0
0.4565,0.9795,0.8582,1
0.793,0.9368,0.8902,1
0.7623,0.0866,0.2572,0
0.4966,0.9417,0.4583,1
0.4209,0.6336,0.6186,1
0.6477,0.9358,0.8634,1
0.2086,0.6348,0.2211,0
0.8032,0.8729,0.2239,1
0.1628,0.2762,0.298,0
0.4468,0.6205,0.5736,1
0.0351,0.0373,0.807,0
0.0543,0.1567,0.4683,0
0.2676,0.8417,0.8437,1
0.8156,0.6781,0.5831,1
0.6591,0.3279,0.8207,1
0.5493,0.245,0.6872,0
0.5328,0.7691,0.6777,1
0.9103,0.6368,0.2113,1
0.2713,0.6664,0.4091,0
0.6444,0.4136,0.0617,1
0.3055,0.4248,0.0449,0
0.8426,0.117,0.6294,1
0.2674,0.4783,0.3147,0
0.9301,0.6194,0.3047,1
0.1019,0.4478,0.9784,0
0.2398,0.5045,0.8016,0
0.8628,0.8465,0.1705,1
0.3803,0.4768,0.9542,0
0.2461,0.6222,0.2718,0
0.0275,0.7582,0.154,0
0.876,0.0088,0.8146,0
0.964,0.2952,0.3248,1
0.3676,0.0494,0.0193,0
0.676,0.7625,0.0024,1
0.2282,0.5615,0.1394,0
0.1712,0.7825,0.935,1
0.0105,0.7014,0.0154,0
0.2313,0.1474,0.3282,0
0.9434,0.7017,0.5477,1
0.862,0.4983,0.5941,1
0.8034,0.4463,0.3468,1
0.9943,0.795,0.372,1
0.3495,0.6176,0.3963,1
0.6172,0.7523,0.9803,1
0.3202,0.5022,0.4129,0
0.4748,0.0271,0.0836,0
0.5568,0.2347,0.2513,0
0.5342,0.2424,0.3024,0
0.5101,0.1141,0.1398,0
0.3975,0.9763,0.3358,1
0.5399,0.7825,0.8371,1
0.2429,0.0534,0.2695,0
0.2221,0.2393,0.6474,0
0.637,0.4902,0.8854,1
0.0643,0.9069,0.7419,1
0.5057,0.9092,0.4204,1
0.6982,0.4209,0.706,1
0.2786,0.4039,0.2001,0
0.1271,0.2171,0.8489,0
0.1995,0.478,0.1957,0
0.6344,0.2255,0.0298,0
0.7195,0.4733,0.6499,1
0.2241,0.5466,0.4548,0
0.9834,0.014,0.5418,1
0.4783,0.1519,0.3042,0
