x1,x2,x3,label
0.756,0.6123,0.9825,1
0.3887,0.4862,0.8919,0
0.0068,0.1745,0.6369,0
0.1918,0.9606,0.7184,1
0.4341,0.9704,0.3573,1
0.4384,0.3345,0.4929,0
0.2496,0.105,0.7862,0
0.1912,0.183,0.118,0
0.221,0.1867,0.9683,0
0.5269,0.3331,0.3786,0
0.3345,0.8386,0.6921,0
0.5253,0.2061,0.5364,0
0.0949,0.3789,0.2279,0
0.4182,0.188,0.8542,0
0.3007,0.5717,0.4869,0
0.7654,0.992,0.8492,1
0.3037,0.0207,0.3182,0
0.1163,0.9617,0.7513,0
0.9772,0.0004,0.6586,1
0.9252,0.3255,0.6426,1
0.89,0.0495,0.4234,1
0.3756,0.4433,0.7554,0
0.1558,0.6145,0.5989,0
0.847,0.5136,0.4846,1
0.3944,0.4579,0.7471,0
0.3499,0.7914,0.1378,0
0.2477,0.7637,0.2761,0
0.9285,0.4306,0.7383,1
0.5547,0.472,0.6164,0
0.1275,0.643,0.3823,0
0.979,0.0456,0.3921,1
0.8641,0.3435,0.4196,1
0.1449,0.7002,0.7164,0
0.6513,0.2215,0.7916,1
0.8152,0.2271,0.3753,0
0.5679,0.3565,0.1441,0
0.7464,0.5715,0.8128,1
0.8266,0.0935,0.009,0
0.5971,0.31,0.1777,0
0.5972,0.5055,0.0728,0
0.4412,0.9251,0.8074,1
0.1301,0.3054,0.5898,0
0.9253,0.0364,0.0316,0
0.9242,0.9834,0.5755,1
0.8724,0.2729,0.5777,1
0.1229,0.6781,0.8704,0
0.8319,0.5342,0.1118,1
0.2589,0.277,0.3148,0
0.422,0.4306,0.9195,0
0.8989,0.0975,0.7109,1
0.6791,0.0945,0.3255,0
0.5574,0.6362,0.0964,0
0.2905,0.3145,0.875,0
0.0989,0.5225,0.5663,0
0.9909,0.6885,0.6252,1
0.5597,0.9161,0.6229,1
0.1845,0.7575,0.0237,0
0.294,0.7707,0.5542,0
0.4798,0.9316,0.3631,1
0.5795,0.8141,0.5634,1
0.2217,0.6514,0.0237,0
0.4388,0.9267,0.7488,1
0.4471,0.9656,0.5228,1
0.9166,0.8389,0.8764,1
0.1696,0.7586,0.7041,0
0.4762,0.3672,0.1461,0
0.8376,0.9702,0.8866,1
0.0314,0.9998,0.1368,0
0.3727,0.2675,0.0518,0
0.3531,0.0237,0.8354,0
0.8192,0.4381,0.4778,1
0.4083,0.3324,0.903,0
0.78,0.4136,0.5606,1
0.6224,0.099,0.5113,0
0.8387,0.8475,0.8227,1
0.6984,0.3821,0.3187,1
0.5418,0.0257,0.7339,0
0.5353,0.5693,0.3522,1
0.2461,0.874,0.9864,1
0.013,0.5133,0.6532,0
0.3133,0.0355,0.9665,0
0.6747,0.7488,0.8133,1
0.2357,0.1028,0.4902,0
0.053,0.8439,0.0972,0
0.7626,0.8417,0.2741,1
0.3268,0.7536,0.2845,0
0.5431,0.2278,0.7904,0
0.4727,0.1871,0.8628,0
0.5903,0.6712,0.0778,0
0.3507,0.0288,0.1219,0
0.5122,0.7943,0.2533,0
0.4136,0.3681,0.7754,0
0.6378,0.4329,0.0837,0
0.4922,0.4704,0.871,1
0.8058,0.4232,0.1864,1
0.5167,0.2439,0.18,0
0.9455,0.5861,0.9339,1
0.0328,0.1309,0.9699,0
0.9348,0.472,0.6719,1
0.5447,0.9687,0.6622,1
0.1836,0.3073,0.1898,0
0.9962,0.2918,0.3176,1
0.2625,0.5188,0.2712,0
0.3102,0.8809,0.6092,1
0.9958,0.4463,0.3231,1
0.929,0.212,0.3005,1
0.5897,0.9745,0.6297,1
0.0251,0.3241,0.7291,0
0.8872,0.7168,0.5675,1
0.0409,0.914,0.6969,0
0.3144,0.2187,0.2676,0
0.3093,0.5041,0.0055,0
0.7815,0.57,0.6315,1
0.0553,0.4017,0.4363,0
0.1817,0.613,0.8656,0
0.4983,0.1467,0.5057,0
0.7281,0.765,0.5794,1
0.002,0.181,0.2689,0
0.1351,0.3016,0.7881,0
0.1543,0.0978,0.0538,0
0.5143,0.8692,0.0482,0
0.7187,0.0218,0.8159,0
0.3182,0.3319,0.8734,0
0.6731,0.2571,0.042,0
0.8126,0.2901,0.4045,1
0.8126,0.9135,0.3759,1
0.7821,0.5108,0.0907,1
0.8203,0.5168,0.6984,1
0.076,0.3979,0.9797,0
0.737,0.2949,0.4073,1
0.9279,0.0795,0.4219,1
0.9057,0.5991,0.9803,1
0.0145,0.5207,0.0973,0
0.1879,0.7887,0.8394,0
0.1763,0.4024,0.9597,0
0.4937,0.388,0.0635,0
0.5912,0.4367,0.7475,1
0.1362,0.8581,0.1365,0
0.4902,0.4002,0.8119,0
0.1383,0.5966,0.5716,0
0.0699,0.1864,0.7728,0
0.9552,0.4439,0.5516,1
0.1908,0.9696,0.3676,0
0.7946,0.2704,0.3122,0
0.1901,0.0162,0.1469,0
0.661,0.9227,0.9443,1
0.8008,0.8188,0.9566,1
0.6429,0.8456,0.5828,1
0.7468,0.3192,0.8217,1
0.7099,0.5797,0.524,1
0.0208,0.2709,0.1779,0
0.868,0.6159,0.6844,1
0.9499,0.5451,0.2408,1
0.9883,0.659,0.3577,1
0.9375,0.3643,0.4856,1
0.4027,0.1872,0.2975,0
0.8722,0.3715,0.2131,1
0.9391,0.6111,0.7005,1
0.3207,0.7605,0.8189,1
0.1599,0.0874,0.7966,0
0.608,0.2215,0.5788,0
0.3517,0.8752,0.2195,0
0.8816,0.3428,0.1184,1
0.2187,0.3319,0.7067,0
0.4785,0.697,0.7655,1
0.3192,0.2792,0.0412,0
0.091,0.9023,0.8272,0
0.1318,0.8798,0.6695,0
0.7152,0.7872,0.9966,1
0.5868,0.9202,0.0501,1
0.9157,0.1631,0.3321,1
0.0016,0.6171,0.9103,0
0.8534,0.3605,0.3774,1
0.2885,0.2979,0.5668,0
0.5418,0.0128,0.8232,0
0.8135,0.224,0.5623,1
0.3284,0.6965,0.9431,1
0.3146,0.2643,0.4248,0
0.9457,0.1944,0.2006,1
0.4417,0.7188,0.6671,1
